bvid,title,description,owner_mid,owner_name,published_at,view,like,coin,favorite,share,reply,danmaku,source_url,source_type,metric_precision,collected_at,age_days,content_type,explicit_operator,publication_year,views_per_day,weighted_interactions,weighted_engagement_rate,intent_rate,discussion_rate,archive_reach_score,archive_momentum_score,archive_engagement_score,archive_content_score
BV1RhtV6iEt3,《明日方舟》干员「结城理」技能展示PV,"《明日方舟》干员「结城理」技能展示PV

————————————
【明日方舟 × 女神异闻录３ Reload】SideStory「月行水上」限时活动即将开启

更多活动详情内容详见游戏内公告。",161775300,明日方舟,2026-09-02T03:00:00+00:00,1205190,74075,14699,8531,59724,13492,5822,https://www.bilibili.com/video/BV1RhtV6iEt3,official_public_aggregate,exact_api,2026-09-02T18:57:54.799963+08:00,2.6792766520949076,operator_pv,结城理,2026,449819.1700575864,322856.0,0.26788805084675443,0.07590919274139347,0.016025688895526847,31.876138433515482,99.81785063752277,93.80692167577413,70.83788706739526
BV1zCtA6mEay,【明日方舟×女神异闻录３ Reload】SideStory「月行水上」活动宣传PV,"【明日方舟 × 女神异闻录３ Reload】SideStory「月行水上」限时活动即将开启

“您只需支付一项代价——为自己的选择负起相应的责任。”

———————————— 
详细活动内容敬请关注《明日方舟》游戏内相关公告。",161775300,明日方舟,2026-08-29T03:00:00+00:00,4493069,286817,106530,55193,149996,35530,31635,https://www.bilibili.com/video/BV1zCtA6mEay,official_public_aggregate,exact_api,2026-09-02T18:57:54.799963+08:00,6.679276652094908,event_pv,,2026,672687.9621898549,1129363.5,0.25135681201423793,0.0816617772840791,0.014948579690185038,94.1712204007286,100.0,90.89253187613843,94.93624772313298
BV1PLhw6fELK,【明日方舟×女神异闻录３ Reload】SideStory「月行水上」先导预告,推开门扉，步入月影，向夜色深处寻求答案。,161775300,明日方舟,2026-08-28T03:00:00+00:00,1997088,135424,31014,18867,81887,28801,6390,https://www.bilibili.com/video/BV1PLhw6fELK,official_public_aggregate,exact_api,2026-09-02T18:57:50.067339+08:00,7.679276652094908,event_pv,,2026,260061.99417951613,527243.5,0.26400614294412666,0.07542732218109567,0.01762115640372382,63.57012750455373,99.63570127504553,92.89617486338798,83.18761384335156
BV1N7gM6FEUA,《明日方舟》EP - Summer Calling,"8 月 16 日 Summer Calling 正式上架各音乐平台

【专辑介绍】
日光掠过滚烫原野，汗水随呼吸蒸腾闪耀。
追随灼风的召唤，奔涌于热浪之上。
让我们的呐喊，轰鸣成炽热狂潮。

【歌曲列表】
Summer Calling
Summer Calling (Instrumental)",161775300,明日方舟,2026-08-16T03:00:00+00:00,583210,61292,9937,10538,7380,4234,966,https://www.bilibili.com/video/BV1N7gM6FEUA,official_public_aggregate,exact_api,2026-09-02T18:51:38.129423+08:00,19.679276652094906,music_ep,,2026,29635.7437476197,131216.0,0.22498928344850053,0.06583048987500215,0.008916170847550624,7.468123861566485,97.26775956284153,81.4207650273224,56.59380692167577
BV15QGP6ME3s,《明日方舟》EP - Every Road is a Yes,"8 月 1 日 Every Road is a Yes 正式上架各音乐平台

【专辑介绍】
风吹拂着头发，也吹散了迟疑。
藏在心间的远方，已落成脚下的节拍。 
天际的风景渐次可见，我知道，答案正在路上！

【歌曲列表】
Every Road is a Yes
Every Road is a Yes (Instrumental)",161775300,明日方舟,2026-08-01T03:00:00+00:00,615355,62910,15367,15640,4047,9596,1541,https://www.bilibili.com/video/BV15QGP6ME3s,official_public_aggregate,exact_api,2026-09-02T18:57:28.278486+08:00,34.679276652094906,music_ep,,2026,17744.170565415403,152229.5,0.24738484289556434,0.08238171462001609,0.018098495990119524,9.289617486338798,95.44626593806922,89.79963570127505,59.2896174863388
BV13J3F6SEWr,《明日方舟》限定干员「予愿安洁莉娜」前瞻PV,是安洁莉娜的话，一定没问题！在她为人们带去的五彩斑斓中，总会有一抹属于她的色彩。,161775300,明日方舟,2026-07-28T03:00:00+00:00,1174491,84451,26611,15399,9869,7502,9232,https://www.bilibili.com/video/BV13J3F6SEWr,official_public_aggregate,exact_api,2026-09-02T18:57:15.817512+08:00,38.679276652094906,operator_pv,予愿安洁莉娜,2026,30364.86464222408,213947.0,0.18216146398737837,0.057282686712797286,0.014247874185498229,31.329690346083787,97.44990892531877,51.183970856102,57.12204007285975
BV1nB3u6tEHD,《明日方舟》EP - 酸橙色信笺,"7 月 28 日 18点 酸橙色信笺 将正式上架各音乐平台

【专辑介绍】
将心事折入纸页，送上天空。
繁星与晨光为旅途盖下邮戳，
当暖风拂过，信笺已染上大地的颜色。

【歌曲列表】
酸橙色信笺
酸橙色信笺 (Instrumental) 

感谢各位博士为安洁莉娜寄来的夏日影像，共同记录下这个夏天最美好的瞬间！",161775300,明日方舟,2026-07-25T12:57:41+00:00,3512725,280389,218440,141255,55293,45578,35931,https://www.bilibili.com/video/BV1nB3u6tEHD,official_public_aggregate,exact_api,2026-09-02T18:57:41.470092+08:00,41.26421878172454,music_ep,,2026,85127.62639664335,1251990.5,0.35641574561060146,0.15835085297027238,0.023203922880384885,89.61748633879782,99.4535519125683,98.36065573770492,95.19125683060109
BV1o43g69E9z,《明日方舟》2026夏日嘉年华特别通讯视频,"《明日方舟》2026夏日嘉年华特别通讯现已结束，感谢大家的支持。本次夏日嘉年华特别通讯视频现已上传。

————————————
更多活动详情内容详见游戏内公告。",161775300,明日方舟,2026-07-25T12:25:00+00:00,1680792,71860,16268,9718,7311,9800,16423,https://www.bilibili.com/video/BV1o43g69E9z,official_public_aggregate,exact_api,2026-09-02T18:53:06.976545+08:00,41.2869155409838,other_official,,2026,40710.040408117864,168676.5,0.1003553681835706,0.02559210181866644,0.015601573543900732,52.459016393442624,98.54280510018215,3.825136612021858,51.69398907103826
BV1Ag3M6ZESL,明日方舟 x 女神异闻录3 Reload 联动前瞻预告,明日方舟 x 女神异闻录3 Reload 联动SideStory筹备中,161775300,明日方舟,2026-07-25T12:20:00+00:00,2685893,129590,21875,16431,72699,21149,7663,https://www.bilibili.com/video/BV1Ag3M6ZESL,official_public_aggregate,exact_api,2026-09-02T18:57:31.370677+08:00,41.29038776320602,other_official,,2026,65048.8684049949,459854.0,0.17121084123604327,0.04744641726234068,0.010727158527908596,80.32786885245902,99.08925318761385,42.25865209471767,74.53551912568307
BV1cL3M6xEQf,《明日方舟》限时活动「奇象巡展」宣传PV,"《明日方舟》限时活动「奇象巡展」宣传PV

关卡开放时间：08月08日 16:00 - 09月04日 03:59
解锁条件：通关主线1-10
活动说明：活动期间将开放「奇象巡展」限时活动，玩家可参与奇象寻迹、奇象拟合、巡展像素项目，通过完成【出展任务】获取【巡展纪念章】，消耗【巡展纪念章】来兑换【兑换处】中奖励

【兑换处】开放时间：08月08日 16:00 - 09月07日 03:59
【兑换处】主要奖励：时装【珊瑚海岸系列 - 悠然假日 HD91 - 协律】、模组养成材料、高级养成素材、作战记录、龙门",161775300,明日方舟,2026-07-25T12:05:00+00:00,648935,36011,4036,3502,2491,2665,315,https://www.bilibili.com/video/BV1cL3M6xEQf,official_public_aggregate,exact_api,2026-09-02T18:51:44.425692+08:00,41.300804429872684,other_pv,,2026,15712.405822551686,62715.0,0.09664296115943816,0.020851086780648294,0.00459213942844815,10.92896174863388,94.89981785063752,3.096539162112933,33.77049180327869
