bvid,title,description,owner_mid,owner_name,published_at,view,like,coin,favorite,share,reply,danmaku,source_url,source_type,metric_precision,collected_at,age_days,content_type,explicit_operator,publication_year,views_per_day,weighted_interactions,weighted_engagement_rate,intent_rate,discussion_rate,archive_reach_score,archive_momentum_score,archive_engagement_score,archive_content_score,operator,association_type,association_weight,days_from_anchor,window_before_days,window_after_days
BV1XjoWYBE1u,《明日方舟》EP - From Ash to Fire,"4月15日 From Ash to Fire 正式上架塞壬唱片官网，QQ音乐及网易云音乐等平台

塞壬唱片官网链接：https://monster-siren.hypergryph.com/music/697604

【专辑介绍】
塞壬唱片-MSR音乐系列《人物》，三期上线。
我自踏薪而行。

【歌曲列表】
From Ash to Fire
From Ash to Fire (Instrumental)",161775300,明日方舟,2025-04-15T03:01:55+00:00,1370072,98714,39164,34077,18761,7252,13875,https://www.bilibili.com/video/BV1XjoWYBE1u,official_public_aggregate,exact_api,2026-09-02T18:57:08.768929+08:00,507.6779456335764,music_ep,,2025,2698.7030100158586,319294.5,0.23304943097880987,0.09202363087487372,0.015420357470264337,40.43715846994536,70.67395264116576,84.69945355191257,62.786885245901644,Mon3tr,campaign_window,0.6785,9.0013,14,14
BV131R2YcEuc,《明日方舟》EP - Skeletal Wings,"4月7日 Skeletal Wings 正式上架塞壬唱片官网，QQ音乐及网易云音乐等平台

塞壬唱片官网链接：https://monster-siren.hypergryph.com/music/461130

【专辑介绍】
风掠过时间的潮汐，携回忆嵌入遗尘漫长。
骨翼铭刻昨日，丈量未竟远方。

【歌曲列表】
Skeletal Wings
Skeletal Wings (Instrumental)",161775300,明日方舟,2025-04-07T08:01:07+00:00,1980124,110789,49194,48687,8228,11527,7467,https://www.bilibili.com/video/BV131R2YcEuc,official_public_aggregate,exact_api,2026-09-02T18:57:29.059707+08:00,515.4701678557986,music_ep,,2025,3841.3939806385347,352259.0,0.17789744480648687,0.07817490217784341,0.00959232856124162,62.659380692167574,78.68852459016394,47.540983606557376,62.93260473588342,Mon3tr,campaign_window,0.9568,1.2091,14,14
BV1rXdcYQEFE,《明日方舟》干员「Mon3tr」技能展示PV,"《明日方舟》干员「Mon3tr」技能展示PV
“我正在抓紧适应自己的工作和职责，我会在我们重逢之前准备好。”

————————————
《明日方舟》主题曲【离解复合】即将开放
更多活动详情内容详见官方自媒体账号。",161775300,明日方舟,2025-04-06T03:00:00+00:00,2446101,136753,24116,14275,54729,16889,14777,https://www.bilibili.com/video/BV1rXdcYQEFE,official_public_aggregate,exact_api,2026-09-02T18:53:00.696764+08:00,516.6792766520949,operator_pv,Mon3tr,2025,4734.2734855748395,410444.0,0.16779519733649592,0.04390456485647976,0.01294549979743273,75.40983606557377,83.06010928961749,39.89071038251366,67.04918032786885,Mon3tr,direct_operator,1.0,0.0,14,14
BV1dWfgYVEeu,《明日方舟》主题曲【离解复合】开放 限时纪念活动宣传pv,"主题曲【离解复合】开放，限时纪念活动开启

“总有一天，你会理解这艘罗德岛所承载的意义是什么。”
“这是你做出的选择，这是我们最后的希望。”

————————————
详细活动内容敬请关注《明日方舟》官网及游戏内相关公告。",161775300,明日方舟,2025-04-03T03:00:00+00:00,4865663,153434,67335,34421,61856,23216,32482,https://www.bilibili.com/video/BV1dWfgYVEeu,official_public_aggregate,exact_api,2026-09-02T18:57:25.959277+08:00,519.6792766520949,event_pv,,2025,9362.81898971579,593579.0,0.12199344673069219,0.040700106028715925,0.011447155300315702,94.89981785063752,90.1639344262295,9.836065573770492,67.959927140255,Mon3tr,campaign_window,0.8929,-3.0,14,14
BV1NLZHYxEdH,《ARK no NIGHTS》即将上映,"《ARK no NIGHTS》即将上映

详细活动玩法介绍请关注后续官方自媒体相关内容。",161775300,明日方舟,2025-04-01T02:00:00+00:00,2237502,162898,50946,26239,56528,13539,12798,https://www.bilibili.com/video/BV1NLZHYxEdH,official_public_aggregate,exact_api,2026-09-02T18:57:30.589921+08:00,521.7209433187616,other_official,,2025,4288.694998070892,513559.5,0.2295235937219274,0.07148686347542929,0.011770715735673086,70.12750455373407,79.78142076502732,83.60655737704919,77.06739526411657,Mon3tr,campaign_window,0.8199,-5.0417,14,14
BV1A4oQYiEwj,「2025明日方舟音律联觉-熠曲丰碑」情报公开,"「2025明日方舟音律联觉-熠曲丰碑」活动情报正式公开！
详细活动专题页及票务信息将会于近期发布，请持续关注@明日方舟 

旋律 化为时光针脚
红毯 铺就星辉长廊
当月色坠入香槟杯
聚光灯下
音乐，是永不褪色的定制之艺

一、「2025明日方舟音律联觉-熠曲丰碑」
【活动地点】
上海|梅赛德斯-奔驰文化中心（上海市浦东新区世博大道1200号）
【活动时间】
「熠曲丰碑-日场」：5月1日-5月4日12:00
「熠曲丰碑-夜场」：5月1日-5月4日19:30
【温馨提醒】
*「2025明日方舟音律联觉-熠曲丰",161775300,明日方舟,2025-03-28T03:01:39+00:00,1428277,85345,26319,14538,41171,10964,6612,https://www.bilibili.com/video/BV1A4oQYiEwj,official_public_aggregate,exact_api,2026-09-02T18:57:20.440548+08:00,525.6781308187616,offline_event,,2025,2717.018107212126,310324.0,0.21727157967257052,0.06761013444870988,0.012305736212233341,42.4408014571949,70.85610200364299,78.5063752276867,61.78506375227687,Mon3tr,campaign_window,0.6786,-8.9989,14,14
BV1P5ZMYUEnM,「2025明日方舟音律联觉-熠曲丰碑」先导预告公开,"「2025明日方舟音律联觉-熠曲丰碑」先导预告公开

“悄然奏响的，尘封记忆中共属于你我的旋律，跨越岁月的低语，正诉说着过去与未来的相遇。”
“它悄无声息地穿透时光的边界，让每段旋律久久回响，成为我们不曾遗忘的足迹。”

活动详情及票务信息将于近期发布，请持续关注@明日方舟 。",161775300,明日方舟,2025-03-27T03:00:00+00:00,1723455,130784,47987,26454,55542,13719,9184,https://www.bilibili.com/video/BV1P5ZMYUEnM,official_public_aggregate,exact_api,2026-09-02T18:57:48.485422+08:00,526.6792766520949,event_pv,,2025,3272.3045625705363,471462.5,0.2735566057715461,0.09076941376479224,0.013289003774395038,54.462659380692166,74.86338797814209,94.53551912568307,72.60473588342441,Mon3tr,campaign_window,0.6429,-10.0,14,14
BV15QGP6ME3s,《明日方舟》EP - Every Road is a Yes,"8 月 1 日 Every Road is a Yes 正式上架各音乐平台

【专辑介绍】
风吹拂着头发，也吹散了迟疑。
藏在心间的远方，已落成脚下的节拍。 
天际的风景渐次可见，我知道，答案正在路上！

【歌曲列表】
Every Road is a Yes
Every Road is a Yes (Instrumental)",161775300,明日方舟,2026-08-01T03:00:00+00:00,615355,62910,15367,15640,4047,9596,1541,https://www.bilibili.com/video/BV15QGP6ME3s,official_public_aggregate,exact_api,2026-09-02T18:57:28.278486+08:00,34.679276652094906,music_ep,,2026,17744.170565415403,152229.5,0.24738484289556434,0.08238171462001609,0.018098495990119524,9.289617486338798,95.44626593806922,89.79963570127505,59.2896174863388,予愿安洁莉娜,campaign_window,0.8571,4.0,14,14
BV13J3F6SEWr,《明日方舟》限定干员「予愿安洁莉娜」前瞻PV,是安洁莉娜的话，一定没问题！在她为人们带去的五彩斑斓中，总会有一抹属于她的色彩。,161775300,明日方舟,2026-07-28T03:00:00+00:00,1174491,84451,26611,15399,9869,7502,9232,https://www.bilibili.com/video/BV13J3F6SEWr,official_public_aggregate,exact_api,2026-09-02T18:57:15.817512+08:00,38.679276652094906,operator_pv,予愿安洁莉娜,2026,30364.86464222408,213947.0,0.18216146398737837,0.057282686712797286,0.014247874185498229,31.329690346083787,97.44990892531877,51.183970856102,57.12204007285975,予愿安洁莉娜,direct_operator,1.0,0.0,14,14
BV1nB3u6tEHD,《明日方舟》EP - 酸橙色信笺,"7 月 28 日 18点 酸橙色信笺 将正式上架各音乐平台

【专辑介绍】
将心事折入纸页，送上天空。
繁星与晨光为旅途盖下邮戳，
当暖风拂过，信笺已染上大地的颜色。

【歌曲列表】
酸橙色信笺
酸橙色信笺 (Instrumental) 

感谢各位博士为安洁莉娜寄来的夏日影像，共同记录下这个夏天最美好的瞬间！",161775300,明日方舟,2026-07-25T12:57:41+00:00,3512725,280389,218440,141255,55293,45578,35931,https://www.bilibili.com/video/BV1nB3u6tEHD,official_public_aggregate,exact_api,2026-09-02T18:57:41.470092+08:00,41.26421878172454,music_ep,,2026,85127.62639664335,1251990.5,0.35641574561060146,0.15835085297027238,0.023203922880384885,89.61748633879782,99.4535519125683,98.36065573770492,95.19125683060109,予愿安洁莉娜,campaign_window,0.9077,-2.5849,14,14
