operator,bilibili_content_count,bilibili_heat,bilibili_reach,bilibili_momentum,bilibili_engagement,bilibili_intent,bilibili_discussion,weibo_content_count,weibo_heat,weibo_reach,weibo_momentum,weibo_engagement,weibo_intent,weibo_discussion,weibo_role_data_available,xiaohongshu_role_data_available,weibo_heat_imputed,cross_platform_heat,reach_score,momentum_score,engagement_score,intent_score,discussion_score,cross_platform_consistency,role_level_platform_coverage,confidence_score,data_quality_grade,heat_score,evergreen_score,viral_potential_score,merch_opportunity_score,commerce_validation_status,heat_rank,platform_gap,bilibili_campaign_content_count,bilibili_direct_content_count,bilibili_window_content_count,bilibili_campaign_content_types,bilibili_campaign_views,bilibili_weighted_campaign_views,bilibili_weighted_intent_actions,bilibili_campaign_median_views,bilibili_campaign_first_published,bilibili_campaign_last_published,bilibili_campaign_exposure_score,bilibili_campaign_depth_score,organic_sku_count,sales_proxy_min,numeric_sales_coverage,median_price,average_rank,market_visibility,category_breadth,official_share,fanmade_share,presale_share,taobao_observed,supply_score,demand_proxy_score,visibility_score,price_power_score,assortment_score,commercial_heat_score,commerce_confidence_score,commerce_data_grade,commerce_rank,business_quadrant,content_commerce_gap,commercial_validation_priority
纯烬艾雅法拉,1,60.666666666666664,66.66666666666666,10.0,100.0,90.0,30.0,2.0,57.85714285714286,60.714285714285715,60.714285714285715,60.714285714285715,46.42857142857143,60.714285714285715,True,False,57.85714285714286,59.823809523809516,64.88095238095238,25.214285714285715,88.21428571428572,76.92857142857142,39.214285714285715,97.1904761904762,0.6666666666666666,83.33333333333333,B,59.823809523809516,74.21428571428572,30.814285714285717,73.23142857142857,常规补充商业数据,5,2.809523809523803,9,1,8,6,25210970,20718717.4865,918975.316,1602597.0,2023-07-21T04:00:00+00:00,2023-08-02T03:00:00+00:00,83.33333333333334,63.33333333333333,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,10.0,D,6,内容热、商业供给待验证,59.823809523809516,75.15285714285713
维娜·维多利亚,1,64.66666666666667,86.66666666666667,36.666666666666664,80.0,83.33333333333334,13.333333333333334,,,,,,,,False,False,50.0,60.266666666666666,75.66666666666666,40.666666666666664,71.0,73.33333333333334,24.333333333333336,,0.3333333333333333,56.666666666666664,D,60.266666666666666,73.8,34.13333333333333,61.45333333333333,优先补充淘宝销量/收藏加购,4,,4,1,3,3,7001136,6415018.2239,413956.7679,1487644.0,2024-10-02T03:03:59+00:00,2024-10-09T11:31:31+00:00,16.666666666666664,16.666666666666664,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,10.0,D,5,内容热、商业供给待验证,60.266666666666666,74.45333333333333
黍,1,58.333333333333336,53.333333333333336,20.0,93.33333333333333,93.33333333333333,26.666666666666668,,,,,,,,False,False,50.0,55.833333333333336,52.333333333333336,29.0,80.33333333333333,80.33333333333333,33.66666666666667,,0.3333333333333333,56.666666666666664,D,55.833333333333336,63.53333333333333,30.866666666666667,61.20833333333333,常规补充商业数据,10,,9,1,8,5,22000246,19788338.614400003,1468835.3011,1225645.0,2024-01-23T09:02:04+00:00,2024-02-10T04:00:46+00:00,80.0,60.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,10.0,D,11,内容热、商业供给待验证,55.833333333333336,74.20833333333333
予愿安洁莉娜,1,59.666666666666664,16.666666666666664,96.66666666666667,66.66666666666666,60.0,56.666666666666664,3.0,67.61904761904762,66.66666666666667,66.66666666666667,66.66666666666667,76.19047619047619,66.66666666666667,True,False,67.61904761904762,62.05238095238095,31.666666666666664,87.66666666666667,66.66666666666666,64.85714285714286,59.666666666666664,92.04761904761904,0.6666666666666666,83.33333333333333,B,62.05238095238095,45.66666666666666,76.46666666666667,70.445,优先补充淘宝销量/收藏加购,3,7.952380952380956,10,1,9,6,17881769,15671307.5523,1075906.2205,1662841.5,2026-07-18T04:00:00+00:00,2026-08-01T03:00:00+00:00,66.66666666666666,66.66666666666666,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,10.0,D,4,内容热、商业供给待验证,62.05238095238095,73.13785714285714
归溟幽灵鲨,1,60.166666666666664,90.0,13.333333333333334,70.0,76.66666666666667,53.333333333333336,,,,,,,,False,False,50.0,57.11666666666666,78.0,24.333333333333336,64.0,68.66666666666666,52.333333333333336,,0.3333333333333333,56.666666666666664,D,57.11666666666666,72.4,35.53333333333334,58.86916666666666,常规补充商业数据,9,,19,1,18,7,36274605,30752093.0636,2107798.3383,1354738.0,2022-04-14T08:30:00+00:00,2022-05-03T03:00:28+00:00,96.66666666666667,100.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,10.0,D,10,内容热、商业供给待验证,57.11666666666666,71.86916666666666
赤刃明霄陈,1,63.33333333333333,63.33333333333333,80.0,60.0,70.0,20.0,,,,,,,,False,False,50.0,59.33333333333333,59.33333333333333,71.0,57.0,64.0,29.0,,0.3333333333333333,56.666666666666664,D,59.33333333333333,58.39999999999999,54.2,58.7,常规补充商业数据,6,,5,1,4,4,13115131,12796282.6842,988966.7068,1596939.0,2026-02-06T11:51:25+00:00,2026-02-08T10:00:49+00:00,53.333333333333336,30.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,10.0,D,7,内容热、商业供给待验证,59.33333333333333,71.7
缪尔赛思,1,48.5,40.0,6.666666666666667,90.0,80.0,23.333333333333332,,,,,,,,False,False,50.0,48.949999999999996,43.0,19.666666666666668,78.0,71.0,31.333333333333332,,0.3333333333333333,56.666666666666664,D,48.949999999999996,57.0,24.333333333333336,55.7775,常规补充商业数据,19,,15,1,14,5,25289278,20973459.3959,1185890.8699,1244638.0,2023-04-16T03:00:00+00:00,2023-05-03T02:52:48+00:00,86.66666666666667,76.66666666666667,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,10.0,D,19,低成本观察,48.949999999999996,68.7775
缄默德克萨斯,1,51.49999999999999,83.33333333333334,16.666666666666664,63.33333333333333,66.66666666666666,6.666666666666667,,,,,,,,False,False,50.0,51.04999999999999,73.33333333333334,26.666666666666664,59.33333333333333,61.66666666666666,19.666666666666668,,0.3333333333333333,56.666666666666664,D,51.04999999999999,67.73333333333335,23.866666666666667,54.38916666666666,常规补充商业数据,16,,15,1,14,7,28645455,24245242.9975,1897621.1409,1314376.0,2022-10-23T12:20:29+00:00,2022-11-10T03:00:00+00:00,90.0,83.33333333333334,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,10.0,D,16,低成本观察,51.04999999999999,67.38916666666665
凛御银灰,1,60.33333333333333,60.0,70.0,46.666666666666664,50.0,86.66666666666667,,,,,,,,False,False,50.0,57.23333333333333,57.0,64.0,47.666666666666664,50.0,75.66666666666666,,0.3333333333333333,56.666666666666664,D,57.23333333333333,53.266666666666666,68.66666666666666,54.254999999999995,常规补充商业数据,8,,16,1,15,6,19599523,16945159.2069,918869.75,816604.5,2025-10-25T12:10:00+00:00,2025-11-10T03:03:45+00:00,70.0,86.66666666666667,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,10.0,D,9,内容热、商业供给待验证,57.23333333333333,67.255
余,1,45.33333333333333,6.666666666666667,23.333333333333332,76.66666666666667,73.33333333333333,76.66666666666667,,,,,,,,False,False,50.0,46.73333333333333,19.666666666666668,31.333333333333332,68.66666666666666,66.33333333333333,68.66666666666666,,0.3333333333333333,56.666666666666664,D,46.73333333333333,39.266666666666666,46.266666666666666,53.61333333333333,常规补充商业数据,22,,10,1,9,7,11285087,9578078.1413,508301.3796,1009540.5,2025-01-11T08:40:00+00:00,2025-01-31T03:00:00+00:00,40.0,71.66666666666667,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,10.0,D,22,低成本观察,46.73333333333333,66.61333333333333
