case_id,order_id,sku_id,case_type,reason,requested_at,resolved_at,units,refund_amount,case_status,is_simulated,simulation_seed
AS-000001,ORD-0000008,荒芜拉普兰德-装饰摆件,refund,运输破损,2026-07-25,2026-07-30,1,89.0,closed,True,20260903
AS-000002,ORD-0000050,贝洛内-手办模玩,exchange,涂装瑕疵,2026-08-16,2026-08-23,1,0.0,closed,True,20260903
AS-000003,ORD-0000076,佩佩-手办模玩,exchange,零件损坏,2026-06-22,2026-06-24,1,0.0,closed,True,20260903
AS-000004,ORD-0000093,凯尔希·思衡托-装饰摆件,exchange,运输破损,2026-08-11,2026-08-14,1,0.0,closed,True,20260903
AS-000005,ORD-0000098,斩业星熊-日用生活,return,材质与预期不符,2026-07-03,2026-07-07,1,99.0,closed,True,20260903
AS-000006,ORD-0000131,归溟幽灵鲨-吧唧（徽章）,return,表面划痕,2026-08-20,2026-08-24,1,18.0,closed,True,20260903
AS-000007,ORD-0000140,黍-手办模玩,return,到货与宣传差异,2026-06-15,2026-06-22,1,699.0,closed,True,20260903
AS-000008,ORD-0000140,纯烬艾雅法拉-通行证,refund,运输折损,2026-06-27,2026-06-28,1,39.0,closed,True,20260903
AS-000009,ORD-0000146,新约能天使-通行证,exchange,重复购买,2026-07-26,2026-07-30,1,0.0,closed,True,20260903
AS-000010,ORD-0000151,贝洛内-手办模玩,refund,涂装瑕疵,2026-07-10,2026-07-17,1,699.0,closed,True,20260903
AS-000011,ORD-0000172,怒潮凛冬-亚克力制品,refund,尺寸与预期不符,2026-07-13,2026-07-17,1,48.0,closed,True,20260903
AS-000012,ORD-0000181,死芒-毛绒玩偶,return,车线瑕疵,2026-08-04,2026-08-07,1,128.0,closed,True,20260903
AS-000013,ORD-0000229,归溟幽灵鲨-吧唧（徽章）,refund,表面划痕,2026-08-02,2026-08-05,1,18.0,closed,True,20260903
AS-000014,ORD-0000244,黍-手办模玩,refund,涂装瑕疵,2026-08-12,2026-08-17,1,699.0,closed,True,20260903
AS-000015,ORD-0000270,怒潮凛冬-手办模玩,return,零件损坏,2026-06-11,2026-06-12,1,699.0,closed,True,20260903
AS-000016,ORD-0000284,斩业星熊-装饰摆件,return,安装困难,2026-07-04,2026-07-05,1,89.0,closed,True,20260903
AS-000017,ORD-0000327,凯尔希·思衡托-日用生活,return,尺码不合适,2026-08-26,2026-08-29,1,99.0,closed,True,20260903
AS-000018,ORD-0000335,凛御银灰-手办模玩,return,到货与宣传差异,2026-08-30,2026-09-02,1,699.0,closed,True,20260903
AS-000019,ORD-0000346,真言-通行证,exchange,重复购买,2026-07-21,2026-07-22,1,0.0,closed,True,20260903
