category,reason,case_count,affected_units,refund_amount,average_resolution_days,affected_operator_count,case_share,cumulative_case_share,pareto_priority,is_simulated
手办模玩,到货与宣传差异,43,44,27261.0,3.953488372093023,23,0.1096938775510204,0.1096938775510204,核心原因,True
手办模玩,零件损坏,32,32,17475.0,3.59375,21,0.08163265306122448,0.1913265306122449,核心原因,True
日用生活,功能异常,29,29,2178.0,3.9655172413793105,19,0.07397959183673469,0.26530612244897955,核心原因,True
日用生活,材质与预期不符,25,26,2079.0,3.6,21,0.06377551020408163,0.3290816326530612,核心原因,True
毛绒玩偶,尺寸与预期不符,24,25,2816.0,4.166666666666667,16,0.061224489795918366,0.39030612244897955,核心原因,True
装饰摆件,运输破损,24,24,1869.0,4.083333333333333,18,0.061224489795918366,0.45153061224489793,核心原因,True
手办模玩,涂装瑕疵,21,21,11883.0,4.095238095238095,14,0.05357142857142857,0.5051020408163265,核心原因,True
日用生活,尺码不合适,21,21,1485.0,4.476190476190476,16,0.05357142857142857,0.5586734693877551,核心原因,True
装饰摆件,安装困难,21,21,1157.0,3.619047619047619,16,0.05357142857142857,0.6122448979591837,核心原因,True
毛绒玩偶,填充不均,18,18,1920.0,3.5555555555555554,15,0.04591836734693878,0.6581632653061225,核心原因,True
毛绒玩偶,车线瑕疵,16,16,1664.0,4.0625,14,0.04081632653061224,0.6989795918367347,核心原因,True
亚克力制品,印刷偏色,16,16,624.0,4.375,14,0.04081632653061224,0.739795918367347,核心原因,True
吧唧（徽章）,别针松动,16,17,252.0,3.4375,13,0.04081632653061224,0.7806122448979593,核心原因,True
通行证,印刷瑕疵,14,14,429.0,2.9285714285714284,10,0.03571428571428571,0.816326530612245,核心原因,True
吧唧（徽章）,表面划痕,14,14,180.0,4.357142857142857,9,0.03571428571428571,0.8520408163265307,长尾原因,True
装饰摆件,尺寸与预期不符,12,12,801.0,4.583333333333333,11,0.030612244897959183,0.8826530612244899,长尾原因,True
亚克力制品,尺寸与预期不符,12,12,384.0,3.9166666666666665,11,0.030612244897959183,0.9132653061224492,长尾原因,True
通行证,运输折损,10,10,273.0,3.2,8,0.025510204081632654,0.9387755102040818,长尾原因,True
通行证,重复购买,10,10,273.0,3.2,8,0.025510204081632654,0.9642857142857144,长尾原因,True
亚克力制品,表面划痕,7,7,288.0,3.0,6,0.017857142857142856,0.9821428571428573,长尾原因,True
吧唧（徽章）,重复购买,7,7,108.0,4.857142857142857,5,0.017857142857142856,1.0000000000000002,长尾原因,True
