date,order_count,paid_order_count,cancelled_order_count,paid_amount,product_net_revenue,sold_units,requested_units,fulfilled_units,stockout_units,closing_stock,after_sales_case_count,refund_amount,payment_rate,average_order_value,fill_rate,rolling_7d_revenue,rolling_7d_units,rolling_7d_refund_amount,is_simulated
2026-06-01,41.0,39.0,2.0,8935.6,8801.6,55.0,55.0,55.0,0.0,6553.0,0.0,0.0,0.9512195121951219,229.11794871794874,1.0,8801.6,55.0,0.0,True
2026-06-02,41.0,41.0,0.0,8064.65,7934.65,59.0,58.0,58.0,0.0,6495.0,0.0,0.0,1.0,196.69878048780487,1.0,16736.25,114.0,0.0,True
2026-06-03,53.0,51.0,2.0,8423.1,8225.1,71.0,70.0,70.0,0.0,6425.0,1.0,699.0,0.9622641509433962,165.15882352941176,1.0,24961.35,185.0,699.0,True
2026-06-04,46.0,43.0,3.0,9784.35,9660.35,64.0,63.0,63.0,0.0,6362.0,0.0,0.0,0.9347826086956522,227.54302325581395,1.0,34621.7,249.0,699.0,True
2026-06-05,40.0,40.0,0.0,7299.75,7143.75,54.0,54.0,54.0,0.0,6308.0,0.0,0.0,1.0,182.49375,1.0,41765.45,303.0,699.0,True
2026-06-06,54.0,52.0,2.0,11088.55,10950.55,77.0,70.0,70.0,0.0,6238.0,1.0,99.0,0.9629629629629629,213.24134615384614,1.0,52716.0,380.0,798.0,True
2026-06-07,64.0,62.0,2.0,18165.45,17981.45,94.0,91.0,91.0,0.0,6147.0,1.0,99.0,0.96875,292.9911290322581,1.0,70697.45,474.0,897.0,True
2026-06-08,36.0,35.0,1.0,8508.15,8428.15,52.0,52.0,52.0,0.0,6095.0,1.0,0.0,0.9722222222222222,243.09,1.0,70324.0,471.0,897.0,True
2026-06-09,50.0,48.0,2.0,11716.95,11566.95,71.0,71.0,71.0,0.0,6025.0,5.0,1143.0,0.96,244.103125,1.0,73956.3,483.0,2040.0,True
2026-06-10,60.0,57.0,3.0,13582.3,13422.3,89.0,86.0,86.0,0.0,5939.0,0.0,0.0,0.95,238.2859649122807,1.0,79153.5,501.0,1341.0,True
2026-06-11,53.0,52.0,1.0,12334.35,12188.35,80.0,80.0,80.0,0.0,5860.0,4.0,964.0,0.9811320754716981,237.19903846153846,1.0,81681.5,517.0,2305.0,True
2026-06-12,58.0,56.0,2.0,15226.8,15040.8,80.0,80.0,80.0,0.0,5783.0,0.0,0.0,0.9655172413793104,271.90714285714284,1.0,89578.55,543.0,2305.0,True
2026-06-13,75.0,70.0,5.0,15674.05,15484.05,102.0,101.0,101.0,0.0,5684.0,2.0,0.0,0.9333333333333333,223.915,1.0,94112.05,568.0,2206.0,True
2026-06-14,72.0,72.0,0.0,17211.15,17047.15,114.0,104.0,104.0,0.0,5582.0,5.0,246.0,1.0,239.04375000000002,1.0,93177.75,588.0,2353.0,True
2026-06-15,76.0,75.0,1.0,17716.2,17488.2,113.0,112.0,112.0,0.0,5471.0,4.0,1398.0,0.9868421052631579,236.216,1.0,102237.79999999999,649.0,3751.0,True
2026-06-16,101.0,98.0,3.0,18946.55,18536.55,129.0,129.0,129.0,0.0,5343.0,5.0,941.0,0.9702970297029703,193.33214285714286,1.0,109207.4,707.0,3549.0,True
2026-06-17,116.0,109.0,7.0,23947.2,23635.2,162.0,161.0,161.0,0.0,5182.0,6.0,936.0,0.9396551724137931,219.69908256880734,1.0,119420.29999999999,780.0,4485.0,True
2026-06-18,119.0,117.0,2.0,24354.05,23986.05,166.0,162.0,162.0,0.0,5024.0,1.0,128.0,0.9831932773109243,208.1542735042735,1.0,131218.0,866.0,3649.0,True
2026-06-19,126.0,121.0,5.0,25574.5,25206.5,182.0,181.0,181.0,0.0,4845.0,7.0,2184.0,0.9603174603174603,211.3595041322314,1.0,141383.7,968.0,5833.0,True
2026-06-20,122.0,117.0,5.0,30036.5,29708.5,172.0,168.0,168.0,0.0,4707.0,7.0,522.0,0.9590163934426229,256.72222222222223,1.0,155608.15,1038.0,6355.0,True
2026-06-21,138.0,135.0,3.0,28556.5,28180.5,197.0,189.0,189.0,0.0,4522.0,5.0,2235.0,0.9782608695652174,211.52962962962962,1.0,166741.5,1121.0,8344.0,True
2026-06-22,100.0,99.0,1.0,21736.45,21404.45,152.0,150.0,150.0,0.0,4377.0,2.0,699.0,0.99,219.56010101010102,1.0,170657.75,1160.0,7645.0,True
2026-06-23,105.0,101.0,4.0,23308.05,23008.05,145.0,140.0,138.0,2.0,4263.0,7.0,2261.0,0.9619047619047619,230.77277227722772,0.9857142857142858,175129.25,1176.0,8965.0,True
2026-06-24,67.0,65.0,2.0,19694.15,19554.15,89.0,88.0,88.0,0.0,4205.0,3.0,137.0,0.9701492537313433,302.9869230769231,1.0,171048.19999999998,1103.0,8166.0,True
2026-06-25,70.0,67.0,3.0,16376.1,16146.1,99.0,98.0,98.0,0.0,4157.0,1.0,99.0,0.9571428571428572,244.41940298507464,1.0,163208.25,1036.0,8137.0,True
2026-06-26,54.0,54.0,0.0,9859.800000000001,9705.8,82.0,77.0,77.0,0.0,4155.0,10.0,1909.0,1.0,182.5888888888889,1.0,147707.55000000002,936.0,7862.0,True
2026-06-27,70.0,67.0,3.0,13651.35,13459.35,100.0,100.0,100.0,0.0,4106.0,9.0,3160.0,0.9571428571428572,203.75149253731342,1.0,131458.4,864.0,10500.0,True
