sku_id,operator,category,price,unit_cost,initial_stock,reorder_point,purchase_lead_time_days,sold_units,gross_sales,discount_amount,net_sales,cogs,return_units,refund_amount,average_inventory,ending_inventory,inbound_units,stockout_units,net_sales_after_refund,gross_profit,gross_margin_rate,return_rate,sell_through_rate,inventory_turnover,days_of_inventory,stockout_rate,inventory_status,recommended_action,is_simulated,simulation_seed
新约能天使-亚克力制品,新约能天使,亚克力制品,48.0,16.8,27,19,18,56,2688.0,96.0,2592.0,940.8000000000001,1.0,48.0,18.144444444444446,19,48,0,2544.0,1603.1999999999998,0.630188679245283,0.017857142857142856,0.7466666666666667,3.0863441518677277,30.535714285714285,0.0,healthy,维持现有补货节奏,True,20260903
新约能天使-通行证,新约能天使,通行证,39.0,12.48,23,15,14,47,1833.0,74.1,1758.8999999999999,586.5600000000001,2.0,39.0,19.233333333333334,27,48,0,1719.8999999999999,1133.3399999999997,0.6589569160997731,0.0425531914893617,0.6619718309859155,2.44367417677643,51.702127659574465,0.0,healthy,维持现有补货节奏,True,20260903
新约能天使-吧唧（徽章）,新约能天使,吧唧（徽章）,18.0,5.4,23,15,12,45,810.0,39.6,770.4,243.00000000000003,2.0,18.0,21.377777777777776,30,48,0,752.4,509.4,0.6770334928229665,0.044444444444444446,0.6338028169014085,2.1049896049896053,60.0,0.0,healthy,维持现有补货节奏,True,20260903
新约能天使-毛绒玩偶,新约能天使,毛绒玩偶,128.0,61.44,38,30,40,42,5376.0,249.60000000000002,5126.4,2580.48,3.0,384.0,28.666666666666668,28,30,0,4742.4,2161.9199999999996,0.4558704453441295,0.07142857142857142,0.6176470588235294,1.4651162790697674,60.0,0.0,healthy,维持现有补货节奏,True,20260903
新约能天使-手办模玩,新约能天使,手办模玩,699.0,433.38,72,61,90,55,38445.0,1363.0500000000002,37081.95,23835.9,4.0,2097.0,44.15555555555556,20,0,0,34984.95,11149.049999999996,0.3186813186813186,0.07272727272727272,0.7638888888888888,1.245596376446905,32.72727272727273,0.0,replenish_now,立即补货,True,20260903
新约能天使-装饰摆件,新约能天使,装饰摆件,89.0,37.38,31,23,25,53,4717.0,178.0,4539.0,1981.14,2.0,89.0,19.377777777777776,24,46,0,4450.0,2468.8599999999997,0.5548,0.03773584905660377,0.6883116883116883,2.7350917431192663,40.75471698113208,0.0,healthy,维持现有补货节奏,True,20260903
新约能天使-日用生活,新约能天使,日用生活,99.0,45.54,33,25,30,60,5940.0,272.25,5667.75,2732.4,4.0,297.0,17.522222222222222,26,51,0,5370.75,2638.35,0.4912442396313364,0.06666666666666667,0.7142857142857143,3.4242232086239697,39.0,0.0,healthy,维持现有补货节奏,True,20260903
凯尔希·思衡托-亚克力制品,凯尔希·思衡托,亚克力制品,48.0,16.8,27,19,18,42,2016.0,67.2,1948.8,705.6,1.0,48.0,21.244444444444444,38,48,0,1900.8,1195.1999999999998,0.6287878787878787,0.023809523809523808,0.56,1.9769874476987446,81.42857142857143,0.0,healthy,维持现有补货节奏,True,20260903
凯尔希·思衡托-通行证,凯尔希·思衡托,通行证,39.0,12.48,23,15,14,51,1989.0,83.85,1905.15,636.48,0.0,0.0,18.9,20,48,0,1905.15,1268.67,0.6659160696008188,0.0,0.7183098591549296,2.6984126984126986,35.294117647058826,0.0,healthy,维持现有补货节奏,True,20260903
凯尔希·思衡托-吧唧（徽章）,凯尔希·思衡托,吧唧（徽章）,18.0,5.4,23,15,12,42,756.0,21.6,734.4,226.8,1.0,18.0,21.511111111111113,29,48,0,716.4,489.59999999999997,0.6834170854271356,0.023809523809523808,0.5915492957746479,1.952479338842975,62.14285714285714,0.0,healthy,维持现有补货节奏,True,20260903
