sku_id,operator,category,heat_score,price,unit_cost,live_fit,production_risk,page_views,orders,launch_inventory,sold_units,return_units,is_simulated,simulation_seed
新约能天使-亚克力制品,新约能天使,亚克力制品,71.9333,48.0,16.8,0.88,0.24,6247,547,803,679,26,True,20260901
新约能天使-通行证,新约能天使,通行证,71.9333,39.0,12.48,0.82,0.2,5715,472,685,586,16,True,20260901
新约能天使-吧唧（徽章）,新约能天使,吧唧（徽章）,71.9333,18.0,5.4,0.92,0.15,6254,564,850,738,6,True,20260901
新约能天使-毛绒玩偶,新约能天使,毛绒玩偶,71.9333,128.0,61.44,0.82,0.46,5791,449,677,537,27,True,20260901
新约能天使-手办模玩,新约能天使,手办模玩,71.9333,699.0,433.38,0.55,0.8,3836,277,455,330,27,True,20260901
新约能天使-装饰摆件,新约能天使,装饰摆件,71.9333,89.0,37.38,0.76,0.38,5162,381,489,397,18,True,20260901
新约能天使-日用生活,新约能天使,日用生活,71.9333,99.0,45.54,0.72,0.52,5000,377,583,455,23,True,20260901
凯尔希·思衡托-亚克力制品,凯尔希·思衡托,亚克力制品,69.25,48.0,16.8,0.88,0.24,5928,533,695,587,18,True,20260901
凯尔希·思衡托-通行证,凯尔希·思衡托,通行证,69.25,39.0,12.48,0.82,0.2,6312,587,692,592,14,True,20260901
凯尔希·思衡托-吧唧（徽章）,凯尔希·思衡托,吧唧（徽章）,69.25,18.0,5.4,0.92,0.15,6405,554,745,647,17,True,20260901
凯尔希·思衡托-毛绒玩偶,凯尔希·思衡托,毛绒玩偶,69.25,128.0,61.44,0.82,0.46,4510,353,461,366,17,True,20260901
凯尔希·思衡托-手办模玩,凯尔希·思衡托,手办模玩,69.25,699.0,433.38,0.55,0.8,4211,282,465,337,25,True,20260901
凯尔希·思衡托-装饰摆件,凯尔希·思衡托,装饰摆件,69.25,89.0,37.38,0.76,0.38,5790,370,557,452,19,True,20260901
凯尔希·思衡托-日用生活,凯尔希·思衡托,日用生活,69.25,99.0,45.54,0.72,0.52,4801,404,575,449,28,True,20260901
予愿安洁莉娜-亚克力制品,予愿安洁莉娜,亚克力制品,62.0524,48.0,16.8,0.88,0.24,5399,475,684,578,21,True,20260901
予愿安洁莉娜-通行证,予愿安洁莉娜,通行证,62.0524,39.0,12.48,0.82,0.2,5427,454,661,565,18,True,20260901
予愿安洁莉娜-吧唧（徽章）,予愿安洁莉娜,吧唧（徽章）,62.0524,18.0,5.4,0.92,0.15,6479,505,648,563,16,True,20260901
予愿安洁莉娜-毛绒玩偶,予愿安洁莉娜,毛绒玩偶,62.0524,128.0,61.44,0.82,0.46,6443,496,736,584,28,True,20260901
予愿安洁莉娜-手办模玩,予愿安洁莉娜,手办模玩,62.0524,699.0,433.38,0.55,0.8,2848,199,316,229,19,True,20260901
予愿安洁莉娜-装饰摆件,予愿安洁莉娜,装饰摆件,62.0524,89.0,37.38,0.76,0.38,4403,341,503,408,12,True,20260901
予愿安洁莉娜-日用生活,予愿安洁莉娜,日用生活,62.0524,99.0,45.54,0.72,0.52,5170,390,588,459,25,True,20260901
维娜·维多利亚-亚克力制品,维娜·维多利亚,亚克力制品,60.2667,48.0,16.8,0.88,0.24,5446,459,570,482,17,True,20260901
维娜·维多利亚-通行证,维娜·维多利亚,通行证,60.2667,39.0,12.48,0.82,0.2,5436,432,610,522,20,True,20260901
维娜·维多利亚-吧唧（徽章）,维娜·维多利亚,吧唧（徽章）,60.2667,18.0,5.4,0.92,0.15,6061,464,585,508,11,True,20260901
维娜·维多利亚-毛绒玩偶,维娜·维多利亚,毛绒玩偶,60.2667,128.0,61.44,0.82,0.46,4702,340,461,366,21,True,20260901
维娜·维多利亚-手办模玩,维娜·维多利亚,手办模玩,60.2667,699.0,433.38,0.55,0.8,4147,260,430,312,25,True,20260901
维娜·维多利亚-装饰摆件,维娜·维多利亚,装饰摆件,60.2667,89.0,37.38,0.76,0.38,5726,388,561,455,19,True,20260901
维娜·维多利亚-日用生活,维娜·维多利亚,日用生活,60.2667,99.0,45.54,0.72,0.52,4586,338,476,372,22,True,20260901
纯烬艾雅法拉-亚克力制品,纯烬艾雅法拉,亚克力制品,59.8238,48.0,16.8,0.88,0.24,6091,440,660,558,23,True,20260901
纯烬艾雅法拉-通行证,纯烬艾雅法拉,通行证,59.8238,39.0,12.48,0.82,0.2,6341,521,779,666,20,True,20260901
纯烬艾雅法拉-吧唧（徽章）,纯烬艾雅法拉,吧唧（徽章）,59.8238,18.0,5.4,0.92,0.15,5753,530,704,611,15,True,20260901
纯烬艾雅法拉-毛绒玩偶,纯烬艾雅法拉,毛绒玩偶,59.8238,128.0,61.44,0.82,0.46,5410,436,627,498,28,True,20260901
纯烬艾雅法拉-手办模玩,纯烬艾雅法拉,手办模玩,59.8238,699.0,433.38,0.55,0.8,3699,264,454,329,28,True,20260901
纯烬艾雅法拉-装饰摆件,纯烬艾雅法拉,装饰摆件,59.8238,89.0,37.38,0.76,0.38,4840,408,683,554,27,True,20260901
纯烬艾雅法拉-日用生活,纯烬艾雅法拉,日用生活,59.8238,99.0,45.54,0.72,0.52,4540,290,384,300,17,True,20260901
赤刃明霄陈-亚克力制品,赤刃明霄陈,亚克力制品,59.3333,48.0,16.8,0.88,0.24,5249,448,668,565,20,True,20260901
赤刃明霄陈-通行证,赤刃明霄陈,通行证,59.3333,39.0,12.48,0.82,0.2,4703,333,428,366,13,True,20260901
赤刃明霄陈-吧唧（徽章）,赤刃明霄陈,吧唧（徽章）,59.3333,18.0,5.4,0.92,0.15,6289,530,716,622,21,True,20260901
赤刃明霄陈-毛绒玩偶,赤刃明霄陈,毛绒玩偶,59.3333,128.0,61.44,0.82,0.46,5203,458,693,550,28,True,20260901
赤刃明霄陈-手办模玩,赤刃明霄陈,手办模玩,59.3333,699.0,433.38,0.55,0.8,3367,238,405,294,21,True,20260901
赤刃明霄陈-装饰摆件,赤刃明霄陈,装饰摆件,59.3333,89.0,37.38,0.76,0.38,5617,369,543,441,24,True,20260901
赤刃明霄陈-日用生活,赤刃明霄陈,日用生活,59.3333,99.0,45.54,0.72,0.52,3822,285,430,336,15,True,20260901
