order_id,order_date,channel,customer_segment,payment_status,fulfillment_status,order_amount,discount_amount,shipping_fee,paid_amount,is_simulated,simulation_seed
ORD-0000001,2026-06-21,官方商城,core_buyer,paid,delivered,89.0,0.0,10.0,99.0,True,20260903
ORD-0000002,2026-07-08,官方商城,potential_buyer,paid,delivered,39.0,0.0,8.0,47.0,True,20260903
ORD-0000003,2026-06-12,官方商城,core_buyer,cancelled,cancelled,128.0,19.2,0.0,0.0,True,20260903
ORD-0000004,2026-06-23,官方商城,potential_buyer,paid,delivered,128.0,0.0,0.0,128.0,True,20260903
ORD-0000005,2026-06-16,二手平台,potential_buyer,paid,delivered,39.0,0.0,10.0,49.0,True,20260903
ORD-0000006,2026-06-17,淘宝/天猫,core_buyer,paid,delivered,48.0,2.4,8.0,53.6,True,20260903
ORD-0000007,2026-08-12,线下展会或快闪店,core_buyer,paid,delivered,128.0,12.8,0.0,115.2,True,20260903
ORD-0000008,2026-07-17,B站会员购,core_buyer,paid,delivered,89.0,4.45,8.0,92.55,True,20260903
ORD-0000009,2026-06-06,官方商城,core_buyer,paid,delivered,75.0,0.0,8.0,83.0,True,20260903
ORD-0000010,2026-06-18,淘宝/天猫,potential_buyer,paid,delivered,78.0,0.0,0.0,78.0,True,20260903
ORD-0000011,2026-08-10,官方商城,potential_buyer,paid,delivered,39.0,0.0,0.0,39.0,True,20260903
ORD-0000012,2026-07-15,淘宝/天猫,core_buyer,cancelled,cancelled,89.0,0.0,12.0,0.0,True,20260903
ORD-0000013,2026-08-24,直播间,occasional_buyer,paid,delivered,18.0,0.9,0.0,17.1,True,20260903
ORD-0000014,2026-06-22,B站会员购,occasional_buyer,paid,delivered,699.0,34.95,0.0,664.05,True,20260903
ORD-0000015,2026-07-20,官方商城,occasional_buyer,paid,delivered,89.0,0.0,10.0,99.0,True,20260903
ORD-0000016,2026-08-23,线下展会或快闪店,potential_buyer,paid,delivered,99.0,0.0,0.0,99.0,True,20260903
ORD-0000017,2026-06-13,官方商城,occasional_buyer,paid,delivered,89.0,0.0,12.0,101.0,True,20260903
ORD-0000018,2026-08-18,官方商城,potential_buyer,paid,delivered,99.0,0.0,0.0,99.0,True,20260903
ORD-0000019,2026-07-19,淘宝/天猫,occasional_buyer,paid,shipped,66.0,0.0,0.0,66.0,True,20260903
ORD-0000020,2026-08-04,B站会员购,occasional_buyer,paid,delivered,99.0,0.0,0.0,99.0,True,20260903
ORD-0000021,2026-08-28,B站会员购,occasional_buyer,paid,delivered,137.0,0.0,0.0,137.0,True,20260903
ORD-0000022,2026-06-07,淘宝/天猫,core_buyer,cancelled,cancelled,18.0,0.0,10.0,0.0,True,20260903
ORD-0000023,2026-07-19,官方商城,potential_buyer,paid,delivered,144.0,9.6,0.0,134.4,True,20260903
ORD-0000024,2026-06-13,淘宝/天猫,occasional_buyer,paid,delivered,89.0,0.0,0.0,89.0,True,20260903
ORD-0000025,2026-08-25,官方商城,occasional_buyer,paid,delivered,48.0,0.0,8.0,56.0,True,20260903
ORD-0000026,2026-08-06,B站会员购,occasional_buyer,paid,delivered,48.0,2.4,8.0,53.6,True,20260903
ORD-0000027,2026-06-13,官方商城,potential_buyer,paid,delivered,96.0,0.0,10.0,106.0,True,20260903
ORD-0000028,2026-06-06,B站会员购,core_buyer,paid,delivered,99.0,4.95,0.0,94.05,True,20260903
ORD-0000029,2026-07-15,B站会员购,occasional_buyer,paid,delivered,735.0,3.6,0.0,731.4,True,20260903
ORD-0000030,2026-07-08,官方商城,core_buyer,paid,delivered,699.0,0.0,0.0,699.0,True,20260903
ORD-0000031,2026-06-11,淘宝/天猫,core_buyer,paid,delivered,717.0,35.85,0.0,681.15,True,20260903
ORD-0000032,2026-06-03,淘宝/天猫,occasional_buyer,paid,delivered,48.0,0.0,8.0,56.0,True,20260903
ORD-0000033,2026-06-15,官方商城,core_buyer,paid,delivered,206.0,6.4,0.0,199.6,True,20260903
ORD-0000034,2026-07-25,B站会员购,occasional_buyer,paid,delivered,699.0,34.95,0.0,664.05,True,20260903
ORD-0000035,2026-08-29,官方商城,occasional_buyer,paid,delivered,699.0,0.0,0.0,699.0,True,20260903
ORD-0000036,2026-07-01,B站会员购,core_buyer,paid,shipped,36.0,3.6,0.0,32.4,True,20260903
ORD-0000037,2026-08-21,B站会员购,core_buyer,paid,delivered,99.0,4.95,0.0,94.05,True,20260903
ORD-0000038,2026-06-22,淘宝/天猫,potential_buyer,paid,delivered,48.0,0.0,0.0,48.0,True,20260903
ORD-0000039,2026-08-08,官方商城,core_buyer,paid,delivered,128.0,12.8,0.0,115.2,True,20260903
ORD-0000040,2026-08-04,线下展会或快闪店,core_buyer,paid,shipped,788.0,69.9,0.0,718.1,True,20260903
ORD-0000041,2026-08-10,二手平台,occasional_buyer,paid,delivered,39.0,0.0,8.0,47.0,True,20260903
ORD-0000042,2026-07-24,B站会员购,core_buyer,paid,delivered,128.0,19.2,0.0,108.8,True,20260903
ORD-0000043,2026-07-06,B站会员购,occasional_buyer,paid,delivered,99.0,0.0,0.0,99.0,True,20260903
ORD-0000044,2026-06-08,线下展会或快闪店,occasional_buyer,paid,delivered,178.0,0.0,0.0,178.0,True,20260903
ORD-0000045,2026-07-21,淘宝/天猫,core_buyer,paid,delivered,36.0,3.6,8.0,40.4,True,20260903
ORD-0000046,2026-07-06,官方商城,occasional_buyer,paid,delivered,36.0,3.6,0.0,32.4,True,20260903
ORD-0000047,2026-07-25,官方商城,occasional_buyer,paid,delivered,18.0,2.7,0.0,15.3,True,20260903
ORD-0000048,2026-08-03,淘宝/天猫,core_buyer,paid,delivered,227.0,16.3,0.0,210.7,True,20260903
ORD-0000049,2026-07-13,线下展会或快闪店,potential_buyer,paid,delivered,99.0,0.0,0.0,99.0,True,20260903
ORD-0000050,2026-08-07,淘宝/天猫,occasional_buyer,paid,delivered,699.0,0.0,0.0,699.0,True,20260903
ORD-0000051,2026-07-01,B站会员购,occasional_buyer,paid,delivered,89.0,0.0,10.0,99.0,True,20260903
ORD-0000052,2026-08-04,官方商城,occasional_buyer,paid,delivered,128.0,6.4,0.0,121.6,True,20260903
ORD-0000053,2026-06-27,淘宝/天猫,occasional_buyer,paid,delivered,99.0,9.9,10.0,99.1,True,20260903
ORD-0000054,2026-08-02,淘宝/天猫,potential_buyer,paid,delivered,433.0,3.9,0.0,429.1,True,20260903
ORD-0000055,2026-08-14,官方商城,core_buyer,paid,delivered,18.0,0.0,0.0,18.0,True,20260903
ORD-0000056,2026-06-23,二手平台,occasional_buyer,paid,delivered,747.0,34.95,0.0,712.05,True,20260903
ORD-0000057,2026-07-30,淘宝/天猫,core_buyer,paid,delivered,117.0,5.85,0.0,111.15,True,20260903
ORD-0000058,2026-07-11,官方商城,occasional_buyer,paid,delivered,48.0,0.0,10.0,58.0,True,20260903
ORD-0000059,2026-07-26,B站会员购,potential_buyer,paid,delivered,128.0,6.4,0.0,121.6,True,20260903
ORD-0000060,2026-08-16,淘宝/天猫,occasional_buyer,paid,delivered,699.0,69.9,0.0,629.1,True,20260903
ORD-0000061,2026-08-01,线下展会或快闪店,core_buyer,paid,delivered,96.0,0.0,0.0,96.0,True,20260903
ORD-0000062,2026-08-24,官方商城,potential_buyer,paid,delivered,48.0,4.8,8.0,51.2,True,20260903
ORD-0000063,2026-07-29,线下展会或快闪店,occasional_buyer,paid,delivered,738.0,34.95,0.0,703.05,True,20260903
ORD-0000064,2026-07-23,淘宝/天猫,core_buyer,paid,delivered,99.0,9.9,0.0,89.1,True,20260903
ORD-0000065,2026-07-25,B站会员购,core_buyer,paid,delivered,99.0,4.95,10.0,104.05,True,20260903
ORD-0000066,2026-08-01,淘宝/天猫,occasional_buyer,paid,delivered,39.0,0.0,8.0,47.0,True,20260903
ORD-0000067,2026-08-20,官方商城,potential_buyer,paid,delivered,99.0,9.9,10.0,99.1,True,20260903
ORD-0000068,2026-08-27,官方商城,potential_buyer,paid,delivered,18.0,0.0,8.0,26.0,True,20260903
ORD-0000069,2026-07-26,淘宝/天猫,potential_buyer,paid,delivered,99.0,4.95,0.0,94.05,True,20260903
ORD-0000070,2026-08-28,淘宝/天猫,core_buyer,paid,delivered,1743.0,139.8,0.0,1603.2,True,20260903
ORD-0000071,2026-06-03,线下展会或快闪店,occasional_buyer,paid,pending,39.0,5.85,0.0,33.15,True,20260903
ORD-0000072,2026-08-02,官方商城,occasional_buyer,cancelled,cancelled,798.0,9.9,0.0,0.0,True,20260903
ORD-0000073,2026-06-13,淘宝/天猫,occasional_buyer,paid,delivered,99.0,9.9,8.0,97.1,True,20260903
ORD-0000074,2026-06-22,淘宝/天猫,core_buyer,paid,delivered,365.0,11.85,0.0,353.15,True,20260903
ORD-0000075,2026-07-21,官方商城,potential_buyer,paid,delivered,39.0,0.0,0.0,39.0,True,20260903
ORD-0000076,2026-06-15,B站会员购,occasional_buyer,paid,delivered,699.0,0.0,0.0,699.0,True,20260903
ORD-0000077,2026-07-05,B站会员购,core_buyer,paid,delivered,99.0,9.9,8.0,97.1,True,20260903
ORD-0000078,2026-07-20,其他,core_buyer,paid,delivered,48.0,4.8,8.0,51.2,True,20260903
ORD-0000079,2026-08-10,淘宝/天猫,core_buyer,paid,delivered,798.0,79.8,0.0,718.2,True,20260903
ORD-0000080,2026-08-14,淘宝/天猫,potential_buyer,paid,delivered,89.0,0.0,12.0,101.0,True,20260903
ORD-0000081,2026-07-04,淘宝/天猫,core_buyer,paid,delivered,48.0,0.0,8.0,56.0,True,20260903
ORD-0000082,2026-06-23,淘宝/天猫,core_buyer,paid,delivered,128.0,0.0,0.0,128.0,True,20260903
ORD-0000083,2026-07-18,淘宝/天猫,occasional_buyer,paid,delivered,18.0,0.9,0.0,17.1,True,20260903
ORD-0000084,2026-07-08,淘宝/天猫,core_buyer,paid,delivered,699.0,104.85,0.0,594.15,True,20260903
ORD-0000085,2026-06-18,二手平台,core_buyer,paid,delivered,99.0,0.0,0.0,99.0,True,20260903
ORD-0000086,2026-06-20,二手平台,core_buyer,paid,delivered,699.0,34.95,0.0,664.05,True,20260903
ORD-0000087,2026-06-22,官方商城,core_buyer,paid,delivered,48.0,4.8,8.0,51.2,True,20260903
ORD-0000088,2026-06-07,二手平台,potential_buyer,paid,delivered,48.0,4.8,12.0,55.2,True,20260903
ORD-0000089,2026-08-20,B站会员购,occasional_buyer,paid,delivered,827.0,47.75,0.0,779.25,True,20260903
ORD-0000090,2026-08-28,淘宝/天猫,potential_buyer,paid,shipped,96.0,2.4,8.0,101.6,True,20260903
ORD-0000091,2026-08-05,B站会员购,core_buyer,cancelled,cancelled,788.0,0.0,0.0,0.0,True,20260903
ORD-0000092,2026-06-04,淘宝/天猫,core_buyer,cancelled,cancelled,99.0,0.0,0.0,0.0,True,20260903
ORD-0000093,2026-07-30,二手平台,core_buyer,paid,delivered,89.0,4.45,8.0,92.55,True,20260903
ORD-0000094,2026-07-20,淘宝/天猫,core_buyer,paid,delivered,1416.0,0.0,0.0,1416.0,True,20260903
ORD-0000095,2026-06-04,B站会员购,occasional_buyer,paid,shipped,48.0,0.0,0.0,48.0,True,20260903
ORD-0000096,2026-08-02,线下展会或快闪店,occasional_buyer,paid,delivered,48.0,0.0,12.0,60.0,True,20260903
ORD-0000097,2026-06-30,B站会员购,occasional_buyer,paid,delivered,48.0,0.0,8.0,56.0,True,20260903
ORD-0000098,2026-06-20,官方商城,occasional_buyer,paid,delivered,99.0,0.0,0.0,99.0,True,20260903
ORD-0000099,2026-06-06,线下展会或快闪店,occasional_buyer,paid,delivered,18.0,0.0,8.0,26.0,True,20260903
ORD-0000100,2026-06-16,线下展会或快闪店,occasional_buyer,paid,delivered,96.0,0.0,10.0,106.0,True,20260903
ORD-0000101,2026-08-25,其他,occasional_buyer,paid,delivered,717.0,0.0,0.0,717.0,True,20260903
ORD-0000102,2026-07-05,淘宝/天猫,core_buyer,paid,delivered,128.0,0.0,0.0,128.0,True,20260903
ORD-0000103,2026-07-01,官方商城,occasional_buyer,paid,delivered,89.0,13.35,8.0,83.65,True,20260903
ORD-0000104,2026-08-06,官方商城,occasional_buyer,paid,delivered,48.0,4.8,10.0,53.2,True,20260903
ORD-0000105,2026-06-26,B站会员购,core_buyer,paid,delivered,99.0,0.0,0.0,99.0,True,20260903
