order_line_id,order_id,order_date,sku_id,quantity,unit_price,discount_rate,discount_amount,net_revenue,unit_cost,line_cost,payment_status,fulfillment_status,is_simulated,simulation_seed
ORD-0000001-1,ORD-0000001,2026-06-21,酒神-装饰摆件,1,89.0,0.0,0.0,89.0,37.38,37.38,paid,delivered,True,20260903
ORD-0000002-1,ORD-0000002,2026-07-08,谬因-通行证,1,39.0,0.0,0.0,39.0,12.48,12.48,paid,delivered,True,20260903
ORD-0000003-1,ORD-0000003,2026-06-12,焰狐龙梓兰-毛绒玩偶,1,128.0,0.15,19.2,108.8,61.44,61.44,cancelled,cancelled,True,20260903
ORD-0000004-1,ORD-0000004,2026-06-23,余-毛绒玩偶,1,128.0,0.0,0.0,128.0,61.44,61.44,paid,delivered,True,20260903
ORD-0000005-1,ORD-0000005,2026-06-16,新约能天使-通行证,1,39.0,0.0,0.0,39.0,12.48,12.48,paid,delivered,True,20260903
ORD-0000006-1,ORD-0000006,2026-06-17,维娜·维多利亚-亚克力制品,1,48.0,0.05,2.4,45.6,16.8,16.8,paid,delivered,True,20260903
ORD-0000007-1,ORD-0000007,2026-08-12,缪尔赛思-毛绒玩偶,1,128.0,0.1,12.8,115.2,61.44,61.44,paid,delivered,True,20260903
ORD-0000008-1,ORD-0000008,2026-07-17,荒芜拉普兰德-装饰摆件,1,89.0,0.05,4.45,84.55,37.38,37.38,paid,delivered,True,20260903
ORD-0000009-1,ORD-0000009,2026-06-06,黍-吧唧（徽章）,1,18.0,0.0,0.0,18.0,5.4,5.4,paid,delivered,True,20260903
ORD-0000009-2,ORD-0000009,2026-06-06,塑心-吧唧（徽章）,1,18.0,0.0,0.0,18.0,5.4,5.4,paid,delivered,True,20260903
ORD-0000009-3,ORD-0000009,2026-06-06,怒潮凛冬-通行证,1,39.0,0.0,0.0,39.0,12.48,12.48,paid,delivered,True,20260903
ORD-0000010-1,ORD-0000010,2026-06-18,佩佩-通行证,2,39.0,0.0,0.0,78.0,12.48,24.96,paid,delivered,True,20260903
ORD-0000011-1,ORD-0000011,2026-08-10,死芒-通行证,1,39.0,0.0,0.0,39.0,12.48,12.48,paid,delivered,True,20260903
ORD-0000012-1,ORD-0000012,2026-07-15,谬因-装饰摆件,1,89.0,0.0,0.0,89.0,37.38,37.38,cancelled,cancelled,True,20260903
ORD-0000013-1,ORD-0000013,2026-08-24,凯尔希·思衡托-吧唧（徽章）,1,18.0,0.05,0.9,17.1,5.4,5.4,paid,delivered,True,20260903
ORD-0000014-1,ORD-0000014,2026-06-22,谬因-手办模玩,1,699.0,0.05,34.95,664.05,433.38,433.38,paid,delivered,True,20260903
ORD-0000015-1,ORD-0000015,2026-07-20,余-装饰摆件,1,89.0,0.0,0.0,89.0,37.38,37.38,paid,delivered,True,20260903
ORD-0000016-1,ORD-0000016,2026-08-23,死芒-日用生活,1,99.0,0.0,0.0,99.0,45.54,45.54,paid,delivered,True,20260903
ORD-0000017-1,ORD-0000017,2026-06-13,赤刃明霄陈-装饰摆件,1,89.0,0.0,0.0,89.0,37.38,37.38,paid,delivered,True,20260903
ORD-0000018-1,ORD-0000018,2026-08-18,Mon3tr-日用生活,1,99.0,0.0,0.0,99.0,45.54,45.54,paid,delivered,True,20260903
ORD-0000019-1,ORD-0000019,2026-07-19,黍-亚克力制品,1,48.0,0.0,0.0,48.0,16.8,16.8,paid,shipped,True,20260903
ORD-0000019-2,ORD-0000019,2026-07-19,余-吧唧（徽章）,1,18.0,0.0,0.0,18.0,5.4,5.4,paid,shipped,True,20260903
ORD-0000020-1,ORD-0000020,2026-08-04,焰狐龙梓兰-日用生活,1,99.0,0.0,0.0,99.0,45.54,45.54,paid,delivered,True,20260903
ORD-0000021-1,ORD-0000021,2026-08-28,谬因-亚克力制品,1,48.0,0.0,0.0,48.0,16.8,16.8,paid,delivered,True,20260903
ORD-0000021-2,ORD-0000021,2026-08-28,凯尔希·思衡托-装饰摆件,1,89.0,0.0,0.0,89.0,37.38,37.38,paid,delivered,True,20260903
ORD-0000022-1,ORD-0000022,2026-06-07,凯尔希·思衡托-吧唧（徽章）,1,18.0,0.0,0.0,18.0,5.4,5.4,cancelled,cancelled,True,20260903
ORD-0000023-1,ORD-0000023,2026-07-19,焰狐龙梓兰-亚克力制品,1,48.0,0.1,4.8,43.2,16.8,16.8,paid,delivered,True,20260903
ORD-0000023-2,ORD-0000023,2026-07-19,贝洛内-亚克力制品,2,48.0,0.05,4.8,91.2,16.8,33.6,paid,delivered,True,20260903
ORD-0000024-1,ORD-0000024,2026-06-13,结城理-装饰摆件,1,89.0,0.0,0.0,89.0,37.38,37.38,paid,delivered,True,20260903
ORD-0000025-1,ORD-0000025,2026-08-25,缇缇-亚克力制品,1,48.0,0.0,0.0,48.0,16.8,16.8,paid,delivered,True,20260903
ORD-0000026-1,ORD-0000026,2026-08-06,归溟幽灵鲨-亚克力制品,1,48.0,0.05,2.4,45.6,16.8,16.8,paid,delivered,True,20260903
ORD-0000027-1,ORD-0000027,2026-06-13,凯尔希·思衡托-亚克力制品,2,48.0,0.0,0.0,96.0,16.8,33.6,paid,delivered,True,20260903
ORD-0000028-1,ORD-0000028,2026-06-06,谬因-日用生活,1,99.0,0.05,4.95,94.05,45.54,45.54,paid,delivered,True,20260903
ORD-0000029-1,ORD-0000029,2026-07-15,司霆惊蛰-吧唧（徽章）,2,18.0,0.1,3.6,32.4,5.4,10.8,paid,delivered,True,20260903
ORD-0000029-2,ORD-0000029,2026-07-15,缪尔赛思-手办模玩,1,699.0,0.0,0.0,699.0,433.38,433.38,paid,delivered,True,20260903
ORD-0000030-1,ORD-0000030,2026-07-08,司霆惊蛰-手办模玩,1,699.0,0.0,0.0,699.0,433.38,433.38,paid,delivered,True,20260903
ORD-0000031-1,ORD-0000031,2026-06-11,死芒-手办模玩,1,699.0,0.05,34.95,664.05,433.38,433.38,paid,delivered,True,20260903
ORD-0000031-2,ORD-0000031,2026-06-11,凛御银灰-吧唧（徽章）,1,18.0,0.05,0.9,17.1,5.4,5.4,paid,delivered,True,20260903
ORD-0000032-1,ORD-0000032,2026-06-03,贝洛内-亚克力制品,1,48.0,0.0,0.0,48.0,16.8,16.8,paid,delivered,True,20260903
ORD-0000033-1,ORD-0000033,2026-06-15,Mon3tr-通行证,2,39.0,0.0,0.0,78.0,12.48,24.96,paid,delivered,True,20260903
ORD-0000033-2,ORD-0000033,2026-06-15,贝洛内-毛绒玩偶,1,128.0,0.05,6.4,121.6,61.44,61.44,paid,delivered,True,20260903
ORD-0000034-1,ORD-0000034,2026-07-25,司霆惊蛰-手办模玩,1,699.0,0.05,34.95,664.05,433.38,433.38,paid,delivered,True,20260903
ORD-0000035-1,ORD-0000035,2026-08-29,司霆惊蛰-手办模玩,1,699.0,0.0,0.0,699.0,433.38,433.38,paid,delivered,True,20260903
ORD-0000036-1,ORD-0000036,2026-07-01,谬因-吧唧（徽章）,2,18.0,0.1,3.6,32.4,5.4,10.8,paid,shipped,True,20260903
