po_id,supplier_id,sku_id,order_date,expected_date,received_date,quantity_ordered,quantity_received,unit_purchase_cost,purchase_amount,purchase_status,is_simulated,simulation_seed
PO-000001,SUP-ACRYLIC-01,新约能天使-亚克力制品,2026-06-15,2026-07-03,2026-07-03,24,24,16.8,403.2,received,True,20260903
PO-000002,SUP-ACRYLIC-01,新约能天使-亚克力制品,2026-07-13,2026-07-31,2026-08-03,24,24,16.8,403.2,received,True,20260903
PO-000003,SUP-ACRYLIC-01,新约能天使-亚克力制品,2026-08-29,2026-09-16,,24,0,16.8,403.2,open,True,20260903
PO-000004,SUP-PRINT-01,新约能天使-通行证,2026-06-13,2026-06-27,2026-07-01,24,24,12.48,299.52,received,True,20260903
PO-000005,SUP-PRINT-01,新约能天使-通行证,2026-08-08,2026-08-22,2026-08-22,24,24,12.48,299.52,received,True,20260903
PO-000006,SUP-METAL-01,新约能天使-吧唧（徽章）,2026-06-17,2026-06-29,2026-07-02,24,24,5.4,129.6,received,True,20260903
PO-000007,SUP-METAL-01,新约能天使-吧唧（徽章）,2026-07-26,2026-08-07,2026-08-07,24,24,5.4,129.6,received,True,20260903
PO-000008,SUP-PLUSH-01,新约能天使-毛绒玩偶,2026-06-19,2026-07-29,2026-07-29,30,30,61.44,1843.2,received,True,20260903
PO-000009,SUP-PLUSH-01,新约能天使-毛绒玩偶,2026-08-25,2026-10-04,,30,0,61.44,1843.2,open,True,20260903
PO-000010,SUP-FIGURE-01,新约能天使-手办模玩,2026-06-21,2026-09-19,,62,0,433.38,26869.56,open,True,20260903
PO-000011,SUP-DECOR-01,新约能天使-装饰摆件,2026-06-13,2026-07-08,2026-07-08,24,22,37.38,897.12,received,True,20260903
PO-000012,SUP-DECOR-01,新约能天使-装饰摆件,2026-07-21,2026-08-15,2026-08-15,24,24,37.38,897.12,received,True,20260903
PO-000013,SUP-LIFESTYLE-01,新约能天使-日用生活,2026-06-16,2026-07-16,2026-07-16,26,26,45.54,1184.04,received,True,20260903
PO-000014,SUP-LIFESTYLE-01,新约能天使-日用生活,2026-07-25,2026-08-24,2026-08-24,25,25,45.54,1138.5,received,True,20260903
PO-000015,SUP-ACRYLIC-01,凯尔希·思衡托-亚克力制品,2026-06-20,2026-07-08,2026-07-08,24,24,16.8,403.2,received,True,20260903
PO-000016,SUP-ACRYLIC-01,凯尔希·思衡托-亚克力制品,2026-08-06,2026-08-24,2026-08-29,24,24,16.8,403.2,received,True,20260903
PO-000017,SUP-PRINT-01,凯尔希·思衡托-通行证,2026-06-16,2026-06-30,2026-06-30,24,24,12.48,299.52,received,True,20260903
PO-000018,SUP-PRINT-01,凯尔希·思衡托-通行证,2026-07-25,2026-08-08,2026-08-08,24,24,12.48,299.52,received,True,20260903
PO-000019,SUP-METAL-01,凯尔希·思衡托-吧唧（徽章）,2026-06-12,2026-06-24,2026-06-24,24,24,5.4,129.6,received,True,20260903
PO-000020,SUP-METAL-01,凯尔希·思衡托-吧唧（徽章）,2026-07-31,2026-08-12,2026-08-19,24,24,5.4,129.6,received,True,20260903
PO-000021,SUP-PLUSH-01,凯尔希·思衡托-毛绒玩偶,2026-06-19,2026-07-29,2026-07-29,30,30,61.44,1843.2,received,True,20260903
PO-000022,SUP-PLUSH-01,凯尔希·思衡托-毛绒玩偶,2026-08-01,2026-09-10,,31,0,61.44,1904.64,open,True,20260903
PO-000023,SUP-FIGURE-01,凯尔希·思衡托-手办模玩,2026-06-18,2026-09-16,,60,0,433.38,26002.8,open,True,20260903
PO-000024,SUP-DECOR-01,凯尔希·思衡托-装饰摆件,2026-06-18,2026-07-13,2026-07-13,24,24,37.38,897.12,received,True,20260903
PO-000025,SUP-DECOR-01,凯尔希·思衡托-装饰摆件,2026-08-01,2026-08-26,2026-08-26,24,22,37.38,897.12,received,True,20260903
PO-000026,SUP-LIFESTYLE-01,凯尔希·思衡托-日用生活,2026-06-15,2026-07-15,2026-07-15,24,24,45.54,1092.96,received,True,20260903
PO-000027,SUP-LIFESTYLE-01,凯尔希·思衡托-日用生活,2026-07-27,2026-08-26,2026-08-26,24,24,45.54,1092.96,received,True,20260903
PO-000028,SUP-ACRYLIC-01,予愿安洁莉娜-亚克力制品,2026-06-17,2026-07-05,2026-07-05,24,24,16.8,403.2,received,True,20260903
PO-000029,SUP-ACRYLIC-01,予愿安洁莉娜-亚克力制品,2026-07-16,2026-08-03,2026-08-05,24,24,16.8,403.2,received,True,20260903
PO-000030,SUP-PRINT-01,予愿安洁莉娜-通行证,2026-06-17,2026-07-01,2026-07-01,24,24,12.48,299.52,received,True,20260903
PO-000031,SUP-PRINT-01,予愿安洁莉娜-通行证,2026-07-29,2026-08-12,2026-08-17,24,24,12.48,299.52,received,True,20260903
PO-000032,SUP-METAL-01,予愿安洁莉娜-吧唧（徽章）,2026-06-17,2026-06-29,2026-06-29,24,24,5.4,129.6,received,True,20260903
PO-000033,SUP-METAL-01,予愿安洁莉娜-吧唧（徽章）,2026-08-15,2026-08-27,2026-08-29,24,24,5.4,129.6,received,True,20260903
PO-000034,SUP-PLUSH-01,予愿安洁莉娜-毛绒玩偶,2026-06-20,2026-07-30,2026-07-30,29,29,61.44,1781.76,received,True,20260903
PO-000035,SUP-PLUSH-01,予愿安洁莉娜-毛绒玩偶,2026-08-04,2026-09-13,,29,0,61.44,1781.76,open,True,20260903
PO-000036,SUP-FIGURE-01,予愿安洁莉娜-手办模玩,2026-06-25,2026-09-23,,55,0,433.38,23835.9,open,True,20260903
PO-000037,SUP-DECOR-01,予愿安洁莉娜-装饰摆件,2026-06-16,2026-07-11,2026-07-11,24,22,37.38,897.12,received,True,20260903
PO-000038,SUP-DECOR-01,予愿安洁莉娜-装饰摆件,2026-07-26,2026-08-20,2026-08-20,24,24,37.38,897.12,received,True,20260903
