sku_id,operator,category,purchase_lead_time_days,unit_cost,trailing_requested_units,average_daily_demand_28d,daily_demand_std_28d,available_stock,closing_stock,locked_stock,open_po_units,calculated_safety_stock,calculated_reorder_point,target_stock,suggested_po_quantity,inventory_position,replenishment_priority,suggested_purchase_amount,is_simulated
归溟幽灵鲨-手办模玩,归溟幽灵鲨,手办模玩,90,433.38,23,0.8214285714285714,1.3067792306552617,3,3,0,55.0,21.0,95.0,107.0,49,58.0,P0-立即补货,21235.62,True
新约能天使-日用生活,新约能天使,日用生活,30,45.54,18,0.6428571428571429,1.2827714704898319,26,26,0,0.0,12.0,32.0,41.0,15,26.0,P0-立即补货,683.1,True
缇缇-手办模玩,缇缇,手办模玩,90,433.38,14,0.5,1.1385500851066221,15,15,0,41.0,18.0,63.0,70.0,14,56.0,P0-立即补货,6067.32,True
焰狐龙梓兰-日用生活,焰狐龙梓兰,日用生活,30,45.54,20,0.7142857142857143,1.1501092655705905,4,4,0,26.0,11.0,33.0,43.0,13,30.0,P0-立即补货,592.02,True
望-亚克力制品,望,亚克力制品,18,16.8,18,0.6428571428571429,1.3934844605516568,18,18,0,0.0,10.0,22.0,31.0,13,18.0,P0-立即补货,218.4,True
予愿安洁莉娜-手办模玩,予愿安洁莉娜,手办模玩,90,433.38,20,0.7142857142857143,0.9759000729485332,24,24,0,55.0,16.0,81.0,91.0,12,79.0,P0-立即补货,5200.56,True
荒芜拉普兰德-毛绒玩偶,荒芜拉普兰德,毛绒玩偶,40,61.44,21,0.75,0.7515416254704825,11,11,0,26.0,8.0,38.0,49.0,12,37.0,P0-立即补货,737.28,True
死芒-日用生活,死芒,日用生活,30,45.54,16,0.5714285714285714,1.0690449676496976,28,28,0,0.0,10.0,28.0,36.0,8,28.0,P0-立即补货,364.32,True
凯尔希·思衡托-装饰摆件,凯尔希·思衡托,装饰摆件,25,37.38,18,0.6428571428571429,0.7800420555749599,25,25,0,0.0,7.0,24.0,33.0,8,25.0,P1-进入补货计划,299.04,True
予愿安洁莉娜-通行证,予愿安洁莉娜,通行证,14,12.48,19,0.6785714285714286,0.8629652337776966,19,19,0,0.0,6.0,16.0,25.0,6,19.0,P1-进入补货计划,74.88,True
赤刃明霄陈-毛绒玩偶,赤刃明霄陈,毛绒玩偶,40,61.44,13,0.4642857142857143,0.792658109342785,30,30,0,0.0,9.0,28.0,35.0,5,30.0,P1-进入补货计划,307.2,True
佩佩-手办模玩,佩佩,手办模玩,90,433.38,13,0.4642857142857143,0.6929348671835832,11,11,0,44.0,11.0,53.0,60.0,5,55.0,P1-进入补货计划,2166.9,True
焰狐龙梓兰-装饰摆件,焰狐龙梓兰,装饰摆件,25,37.38,14,0.5,0.8819171036881969,24,24,0,0.0,8.0,21.0,28.0,4,24.0,P1-进入补货计划,149.52,True
缄默德克萨斯-吧唧（徽章）,缄默德克萨斯,吧唧（徽章）,12,5.4,18,0.6428571428571429,1.0615950861718073,20,20,0,0.0,7.0,15.0,24.0,4,20.0,P1-进入补货计划,21.6,True
死芒-毛绒玩偶,死芒,毛绒玩偶,40,61.44,17,0.6071428571428571,0.7859547491585427,11,11,0,27.0,9.0,34.0,42.0,4,38.0,P1-进入补货计划,245.76,True
缪尔赛思-毛绒玩偶,缪尔赛思,毛绒玩偶,40,61.44,13,0.4642857142857143,0.6929348671835832,30,30,0,0.0,8.0,27.0,34.0,4,30.0,P1-进入补货计划,245.76,True
佩佩-亚克力制品,佩佩,亚克力制品,18,16.8,21,0.75,1.0408329997330665,28,28,0,0.0,8.0,22.0,32.0,4,28.0,P1-进入补货计划,67.2,True
新约能天使-装饰摆件,新约能天使,装饰摆件,25,37.38,15,0.5357142857142857,0.6929348671835832,24,24,0,0.0,6.0,20.0,27.0,3,24.0,P1-进入补货计划,112.14,True
凯尔希·思衡托-毛绒玩偶,凯尔希·思衡托,毛绒玩偶,40,61.44,18,0.6428571428571429,0.8698354767504924,11,11,0,31.0,10.0,36.0,45.0,3,42.0,P1-进入补货计划,184.32,True
司霆惊蛰-毛绒玩偶,司霆惊蛰,毛绒玩偶,40,61.44,11,0.39285714285714285,0.6288900106557945,26,26,0,0.0,7.0,23.0,29.0,3,26.0,P1-进入补货计划,184.32,True
死芒-通行证,死芒,通行证,14,12.48,13,0.4642857142857143,0.6929348671835832,16,16,0,0.0,5.0,12.0,18.0,2,16.0,P1-进入补货计划,24.96,True
酒神-亚克力制品,酒神,亚克力制品,18,16.8,12,0.42857142857142855,0.7901510136288027,18,18,0,0.0,6.0,14.0,20.0,2,18.0,P1-进入补货计划,33.6,True
纯烬艾雅法拉-日用生活,纯烬艾雅法拉,日用生活,30,45.54,14,0.5,0.7934920476158722,5,5,0,24.0,8.0,23.0,30.0,1,29.0,P1-进入补货计划,45.54,True
Mon3tr-毛绒玩偶,Mon3tr,毛绒玩偶,40,61.44,18,0.6428571428571429,0.9893613995077728,19,19,0,26.0,11.0,37.0,46.0,1,45.0,P1-进入补货计划,61.44,True
司霆惊蛰-亚克力制品,司霆惊蛰,亚克力制品,18,16.8,16,0.5714285714285714,0.9973509887241276,25,25,0,0.0,7.0,18.0,26.0,1,25.0,P1-进入补货计划,16.8,True
塑心-装饰摆件,塑心,装饰摆件,25,37.38,17,0.6071428571428571,0.8751417118804335,7,7,0,24.0,8.0,24.0,32.0,1,31.0,P1-进入补货计划,37.38,True
予愿安洁莉娜-亚克力制品,予愿安洁莉娜,亚克力制品,18,16.8,13,0.4642857142857143,0.6929348671835832,20,20,0,0.0,5.0,14.0,20.0,0,20.0,P1-进入补货计划,0.0,True
维娜·维多利亚-吧唧（徽章）,维娜·维多利亚,吧唧（徽章）,12,5.4,13,0.4642857142857143,0.7926581093427849,18,18,0,0.0,5.0,11.0,18.0,0,18.0,P1-进入补货计划,0.0,True
归溟幽灵鲨-装饰摆件,归溟幽灵鲨,装饰摆件,25,37.38,15,0.5357142857142857,0.7444681351359533,28,28,0,0.0,7.0,21.0,28.0,0,28.0,P1-进入补货计划,0.0,True
归溟幽灵鲨-日用生活,归溟幽灵鲨,日用生活,30,45.54,12,0.42857142857142855,0.8789122666607702,27,27,0,0.0,8.0,21.0,27.0,0,27.0,P1-进入补货计划,0.0,True
余-日用生活,余,日用生活,30,45.54,13,0.4642857142857143,0.6372477195601849,27,27,0,0.0,6.0,20.0,27.0,0,27.0,P1-进入补货计划,0.0,True
新约能天使-亚克力制品,新约能天使,亚克力制品,18,16.8,10,0.35714285714285715,0.6214848238238696,19,19,0,24.0,5.0,12.0,17.0,0,43.0,P2-暂不补货,0.0,True
新约能天使-通行证,新约能天使,通行证,14,12.48,17,0.6071428571428571,1.1001442906807546,27,27,0,0.0,7.0,16.0,24.0,0,27.0,P2-暂不补货,0.0,True
新约能天使-吧唧（徽章）,新约能天使,吧唧（徽章）,12,5.4,10,0.35714285714285715,0.5587211398983505,30,30,0,0.0,4.0,9.0,14.0,0,30.0,P2-暂不补货,0.0,True
新约能天使-毛绒玩偶,新约能天使,毛绒玩偶,40,61.44,13,0.4642857142857143,0.6372477195601849,28,28,0,30.0,7.0,26.0,33.0,0,58.0,P2-暂不补货,0.0,True
新约能天使-手办模玩,新约能天使,手办模玩,90,433.38,11,0.39285714285714285,0.6288900106557945,20,20,0,62.0,10.0,46.0,51.0,0,82.0,P2-暂不补货,0.0,True
