sku_id,operator,category,price,unit_cost,initial_stock,reorder_point,purchase_lead_time_days,sold_units,gross_sales,discount_amount,net_sales,cogs,return_units,refund_amount,average_inventory,ending_inventory,inbound_units,stockout_units,net_sales_after_refund,gross_profit,gross_margin_rate,return_rate,sell_through_rate,inventory_turnover,days_of_inventory,stockout_rate,inventory_status,recommended_action,is_simulated,simulation_seed,weekly_demand_mean,weekly_demand_std,demand_cv,xyz_class,line_count,order_count,cancelled_line_count,sold_quantity_requested,average_discount_rate,cancelled_line_rate,after_sales_case_count,resolution_days_mean,sales_share,cumulative_sales_share,abc_class,abc_xyz_class,average_inventory_value,gmroi,lost_sales_value_proxy,net_revenue_per_sold_unit,operating_action
归溟幽灵鲨-手办模玩,归溟幽灵鲨,手办模玩,699.0,433.38,64,54,90,62,43338.0,1712.55,41625.45,26869.56,3.0,2097.0,35.13333333333333,3,0,0,39528.45,12658.889999999996,0.3202475685234305,0.0483870967741935,0.96875,1.7647058823529411,4.354838709677419,0.0,replenish_now,立即补货,True,20260903,4.769230769230769,2.1273554065179203,0.4460583916892414,X,48,48,2,64,0.0375,0.041666666666666664,3.0,4.333333333333333,0.03312896439054018,0.03312896439054018,A,AX,15226.083999999999,0.8313949929607637,0.0,637.5556451612903,核心稳定SKU：滚动补货
新约能天使-手办模玩,新约能天使,手办模玩,699.0,433.38,72,61,90,55,38445.0,1363.0500000000002,37081.95,23835.9,4.0,2097.0,44.15555555555556,20,0,0,34984.95,11149.049999999996,0.3186813186813186,0.0727272727272727,0.7638888888888888,1.245596376446905,32.72727272727273,0.0,replenish_now,立即补货,True,20260903,4.230769230769231,2.24179415327122,0.5298786180459246,Y,50,50,0,55,0.037000000000000005,0.0,4.0,3.25,0.029321037449098784,0.06245000183963896,A,AY,19136.13466666667,0.5826176599509714,0.0,636.0899999999999,常规监控
凯尔希·思衡托-手办模玩,凯尔希·思衡托,手办模玩,699.0,433.38,71,60,90,48,33552.0,873.7500000000001,32678.25,20802.24,0.0,0.0,48.06666666666667,24,0,0,32678.25,11876.009999999998,0.363422459893048,0.0,0.676056338028169,0.9986130374479888,45.0,0.0,replenish_now,立即补货,True,20260903,3.6153846153846154,1.757766648262388,0.48619077505129876,X,43,43,3,52,0.025581395348837212,0.06976744186046512,,,0.027387782232674688,0.08983778407231365,A,AX,20831.132,0.5701087199677866,0.0,680.796875,核心稳定SKU：滚动补货
纯烬艾雅法拉-手办模玩,纯烬艾雅法拉,手办模玩,699.0,433.38,65,55,90,46,32154.0,1293.15,30860.85,19935.48,4.0,2796.0,41.75555555555555,24,0,0,28064.85,8129.369999999999,0.2896637608966376,0.0869565217391304,0.7076923076923077,1.101649813730708,46.95652173913044,0.0,high_return,暂停扩量并复盘质量与详情页,True,20260903,3.3076923076923075,2.42846369077981,0.7341866972125007,Y,39,39,0,46,0.03717948717948718,0.0,4.0,3.75,0.023521271799826497,0.11335905587214014,A,AY,18096.022666666664,0.4492351800030902,0.0,610.1054347826087,售后风险：复核质量、包装与详情页承诺
缪尔赛思-手办模玩,缪尔赛思,手办模玩,699.0,433.38,62,52,90,41,28659.0,908.7,27750.3,17768.579999999998,2.0,0.0,40.44444444444444,23,0,0,27750.3,9981.72,0.3596977329974811,0.048780487804878,0.6612903225806451,1.0137362637362637,50.487804878048784,0.0,replenish_now,立即补货,True,20260903,3.1538461538461537,2.3038429433649132,0.7304867869205822,Y,38,38,0,41,0.034210526315789476,0.0,2.0,4.5,0.02325764608849594,0.13661670196063608,A,AY,17527.81333333333,0.5694789081885856,0.0,676.8365853658537,常规监控
赤刃明霄陈-手办模玩,赤刃明霄陈,手办模玩,699.0,433.38,65,55,90,44,30756.0,1258.2,29497.8,19068.72,3.0,2097.0,41.15555555555556,21,0,0,27400.8,8332.079999999998,0.3040816326530611,0.0681818181818181,0.676923076923077,1.0691144708423326,42.95454545454545,0.0,replenish_now,立即补货,True,20260903,3.3846153846153846,2.1809195896250406,0.6443626060255802,Y,40,40,0,44,0.04125,0.0,3.0,5.666666666666667,0.022964728631461984,0.15958143059209806,A,AY,17835.99466666667,0.4671497247962097,0.0,622.7454545454545,常规监控
佩佩-手办模玩,佩佩,手办模玩,699.0,433.38,52,44,90,45,31455.0,1363.0500000000002,30091.95,19502.1,5.0,2796.0,31.366666666666667,11,0,0,27295.95,7793.850000000002,0.2855313700384124,0.1111111111111111,0.8653846153846154,1.434643995749203,22.0,0.0,high_return,暂停扩量并复盘质量与详情页,True,20260903,3.4615384615384617,1.5063966175050876,0.43518124505702527,X,40,40,0,45,0.04,0.0,5.0,3.2,0.0228768533943518,0.18245828398644987,A,AX,13593.686,0.5733433889822085,0.0,606.5766666666667,售后风险：复核质量、包装与详情页承诺
荒芜拉普兰德-手办模玩,荒芜拉普兰德,手办模玩,699.0,433.38,62,52,90,44,30756.0,803.85,29952.15,19068.72,5.0,2796.0,42.91111111111111,22,0,0,27156.15,8087.429999999997,0.2978120978120977,0.1136363636363636,0.7096774193548387,1.025375453133092,45.0,0.0,high_return,暂停扩量并复盘质量与详情页,True,20260903,3.3076923076923075,2.323238235187235,0.7023743501728851,Y,37,37,0,44,0.02972972972972973,0.0,5.0,3.6,0.022759686411538218,0.2052179703979881,A,AY,18596.817333333332,0.43488247774009775,0.0,617.1852272727273,售后风险：复核质量、包装与详情页承诺
予愿安洁莉娜-手办模玩,予愿安洁莉娜,手办模玩,699.0,433.38,65,55,90,43,30057.0,1223.25,28833.75,18635.34,4.0,2796.0,48.6,24,0,0,26037.75,7402.41,0.2842953020134228,0.0930232558139534,0.6615384615384615,0.8847736625514403,50.23255813953488,0.0,high_return,暂停扩量并复盘质量与详情页,True,20260903,3.3076923076923075,2.0970064133034736,0.6339786830917479,Y,42,42,3,46,0.04523809523809524,0.07142857142857142,4.0,3.75,0.021822350549029566,0.22704032094701765,A,AY,21062.268,0.3514536041417762,0.0,605.5290697674419,售后风险：复核质量、包装与详情页承诺
真言-手办模玩,真言,手办模玩,699.0,433.38,58,49,90,40,27960.0,1328.1,26631.9,17335.2,1.0,699.0,38.66666666666666,19,0,0,25932.9,8597.699999999997,0.3315363881401616,0.025,0.6896551724137931,1.0344827586206895,42.75,0.0,replenish_now,立即补货,True,20260903,3.0,1.5275252316519468,0.5091750772173156,Y,36,36,1,41,0.04861111111111111,0.027777777777777776,1.0,2.0,0.02173447531191938,0.24877479625893703,A,AY,16757.359999999997,0.5130700778642936,0.0,648.3225,常规监控
