sku_code,sku_id,operator,category,price,unit_cost,production_risk,launch_inventory,sold_units,product_name,supplier_id,purchase_lead_time_days,average_daily_demand_plan,safety_stock,reorder_point,initial_stock,sku_status,is_simulated,simulation_seed
AK-0001,新约能天使-亚克力制品,新约能天使,亚克力制品,48.0,16.8,0.24,803,679,新约能天使 亚克力制品,SUP-ACRYLIC-01,18,0.58,8,19,27,active,True,20260903
AK-0002,新约能天使-通行证,新约能天使,通行证,39.0,12.48,0.2,685,586,新约能天使 通行证,SUP-PRINT-01,14,0.49,8,15,23,active,True,20260903
AK-0003,新约能天使-吧唧（徽章）,新约能天使,吧唧（徽章）,18.0,5.4,0.15,850,738,新约能天使 吧唧（徽章）,SUP-METAL-01,12,0.53,8,15,23,active,True,20260903
AK-0004,新约能天使-毛绒玩偶,新约能天使,毛绒玩偶,128.0,61.44,0.46,677,537,新约能天使 毛绒玩偶,SUP-PLUSH-01,40,0.54,8,30,38,active,True,20260903
AK-0005,新约能天使-手办模玩,新约能天使,手办模玩,699.0,433.38,0.8,455,330,新约能天使 手办模玩,SUP-FIGURE-01,90,0.55,11,61,72,active,True,20260903
AK-0006,新约能天使-装饰摆件,新约能天使,装饰摆件,89.0,37.38,0.38,489,397,新约能天使 装饰摆件,SUP-DECOR-01,25,0.57,8,23,31,active,True,20260903
AK-0007,新约能天使-日用生活,新约能天使,日用生活,99.0,45.54,0.52,583,455,新约能天使 日用生活,SUP-LIFESTYLE-01,30,0.54,8,25,33,active,True,20260903
AK-0008,凯尔希·思衡托-亚克力制品,凯尔希·思衡托,亚克力制品,48.0,16.8,0.24,695,587,凯尔希·思衡托 亚克力制品,SUP-ACRYLIC-01,18,0.56,8,19,27,active,True,20260903
AK-0009,凯尔希·思衡托-通行证,凯尔希·思衡托,通行证,39.0,12.48,0.2,692,592,凯尔希·思衡托 通行证,SUP-PRINT-01,14,0.48,8,15,23,active,True,20260903
AK-0010,凯尔希·思衡托-吧唧（徽章）,凯尔希·思衡托,吧唧（徽章）,18.0,5.4,0.15,745,647,凯尔希·思衡托 吧唧（徽章）,SUP-METAL-01,12,0.52,8,15,23,active,True,20260903
AK-0011,凯尔希·思衡托-毛绒玩偶,凯尔希·思衡托,毛绒玩偶,128.0,61.44,0.46,461,366,凯尔希·思衡托 毛绒玩偶,SUP-PLUSH-01,40,0.53,8,30,38,active,True,20260903
AK-0012,凯尔希·思衡托-手办模玩,凯尔希·思衡托,手办模玩,699.0,433.38,0.8,465,337,凯尔希·思衡托 手办模玩,SUP-FIGURE-01,90,0.54,11,60,71,active,True,20260903
AK-0013,凯尔希·思衡托-装饰摆件,凯尔希·思衡托,装饰摆件,89.0,37.38,0.38,557,452,凯尔希·思衡托 装饰摆件,SUP-DECOR-01,25,0.55,8,22,30,active,True,20260903
AK-0014,凯尔希·思衡托-日用生活,凯尔希·思衡托,日用生活,99.0,45.54,0.52,575,449,凯尔希·思衡托 日用生活,SUP-LIFESTYLE-01,30,0.53,8,24,32,active,True,20260903
AK-0015,予愿安洁莉娜-亚克力制品,予愿安洁莉娜,亚克力制品,48.0,16.8,0.24,684,578,予愿安洁莉娜 亚克力制品,SUP-ACRYLIC-01,18,0.53,8,18,26,active,True,20260903
AK-0016,予愿安洁莉娜-通行证,予愿安洁莉娜,通行证,39.0,12.48,0.2,661,565,予愿安洁莉娜 通行证,SUP-PRINT-01,14,0.44,8,15,23,active,True,20260903
AK-0017,予愿安洁莉娜-吧唧（徽章）,予愿安洁莉娜,吧唧（徽章）,18.0,5.4,0.15,648,563,予愿安洁莉娜 吧唧（徽章）,SUP-METAL-01,12,0.48,8,14,22,active,True,20260903
AK-0018,予愿安洁莉娜-毛绒玩偶,予愿安洁莉娜,毛绒玩偶,128.0,61.44,0.46,736,584,予愿安洁莉娜 毛绒玩偶,SUP-PLUSH-01,40,0.49,8,28,36,active,True,20260903
AK-0019,予愿安洁莉娜-手办模玩,予愿安洁莉娜,手办模玩,699.0,433.38,0.8,316,229,予愿安洁莉娜 手办模玩,SUP-FIGURE-01,90,0.5,10,55,65,active,True,20260903
AK-0020,予愿安洁莉娜-装饰摆件,予愿安洁莉娜,装饰摆件,89.0,37.38,0.38,503,408,予愿安洁莉娜 装饰摆件,SUP-DECOR-01,25,0.52,8,21,29,active,True,20260903
AK-0021,予愿安洁莉娜-日用生活,予愿安洁莉娜,日用生活,99.0,45.54,0.52,588,459,予愿安洁莉娜 日用生活,SUP-LIFESTYLE-01,30,0.49,8,23,31,active,True,20260903
AK-0022,维娜·维多利亚-亚克力制品,维娜·维多利亚,亚克力制品,48.0,16.8,0.24,570,482,维娜·维多利亚 亚克力制品,SUP-ACRYLIC-01,18,0.52,8,18,26,active,True,20260903
