source,scope,record_count,entity_count,data_nature,decision_use
Bilibili,官号历史内容,549,549,公开真实快照,内容供给与传播
Bilibili,角色上线Campaign关联,271,271,公开真实快照,角色内容曝光
Weibo,官号近期内容,100,100,公开真实快照,近期角色交叉验证
Xiaohongshu,品牌生态窗口,4,4,公开真实快照,平台生态校准
Skland,攻略站角色-内容关联,1064,582,公开真实快照,深度兴趣与攻略需求
Survey,匿名受访者,243,243,真实匿名问卷,角色、品类、价格、渠道意愿
Survey,角色Top-3排序,729,32,真实匿名问卷,角色偏好
Survey,七品类价格观测,1701,7,真实匿名问卷,价格带
Taobao,公开商品快照,84,83,公开真实快照,供给、价格与销量代理
Taobao,明确官方/授权商品,13,12,公开真实快照,正版价格校准
ERP,订单头,6000,6000,模拟,订单与渠道分析
ERP,订单明细,7652,210,模拟,SKU收入与毛利
ERP,库存日快照,18900,210,模拟,库存、缺货与补货
ERP,采购单,355,7,模拟,采购交期与到货
ERP,售后单,392,17,模拟,退款、退货、换货与原因Pareto
