bvid,title,description,owner_mid,owner_name,published_at,view,like,coin,favorite,share,reply,danmaku,source_url,source_type,metric_precision,collected_at,content_type,is_simulated
BV1RhtV6iEt3,《明日方舟》干员「结城理」技能展示PV,"《明日方舟》干员「结城理」技能展示PV

————————————
【明日方舟 × 女神异闻录３ Reload】SideStory「月行水上」限时活动即将开启

更多活动详情内容详见游戏内公告。",161775300,明日方舟,2026-09-02T03:00:00+00:00,2224374,113198,21693,13182,70212,18752,10860,https://www.bilibili.com/video/BV1RhtV6iEt3,official_public_aggregate,exact_api,2026-09-11T22:18:24+00:00,operator_pv,False
BV1zCtA6mEay,【明日方舟×女神异闻录３ Reload】SideStory「月行水上」活动宣传PV,"【明日方舟 × 女神异闻录３ Reload】SideStory「月行水上」限时活动即将开启

“您只需支付一项代价——为自己的选择负起相应的责任。”

———————————— 
详细活动内容敬请关注《明日方舟》游戏内相关公告。",161775300,明日方舟,2026-08-29T03:00:00+00:00,5088788,298358,112340,59090,153644,37129,33453,https://www.bilibili.com/video/BV1zCtA6mEay,official_public_aggregate,exact_api,2026-09-11T22:18:48+00:00,event_pv,False
BV1PLhw6fELK,【明日方舟×女神异闻录３ Reload】SideStory「月行水上」先导预告,推开门扉，步入月影，向夜色深处寻求答案。,161775300,明日方舟,2026-08-28T03:00:00+00:00,2085716,138591,31635,19391,82104,28882,6542,https://www.bilibili.com/video/BV1PLhw6fELK,official_public_aggregate,exact_api,2026-09-11T22:18:48+00:00,event_pv,False
BV1N7gM6FEUA,《明日方舟》EP - Summer Calling,"8 月 16 日 Summer Calling 正式上架各音乐平台

【专辑介绍】
日光掠过滚烫原野，汗水随呼吸蒸腾闪耀。
追随灼风的召唤，奔涌于热浪之上。
让我们的呐喊，轰鸣成炽热狂潮。

【歌曲列表】
Summer Calling
Summer Calling (Instrumental)",161775300,明日方舟,2026-08-16T03:00:00+00:00,621158,63975,10128,10805,7460,4267,971,https://www.bilibili.com/video/BV1N7gM6FEUA,official_public_aggregate,exact_api,2026-09-11T22:16:54+00:00,music_ep,False
BV15QGP6ME3s,《明日方舟》EP - Every Road is a Yes,"8 月 1 日 Every Road is a Yes 正式上架各音乐平台

【专辑介绍】
风吹拂着头发，也吹散了迟疑。
藏在心间的远方，已落成脚下的节拍。 
天际的风景渐次可见，我知道，答案正在路上！

【歌曲列表】
Every Road is a Yes
Every Road is a Yes (Instrumental)",161775300,明日方舟,2026-08-01T03:00:00+00:00,635377,63437,15483,15862,4075,9607,1543,https://www.bilibili.com/video/BV15QGP6ME3s,official_public_aggregate,exact_api,2026-09-11T22:18:42+00:00,music_ep,False
BV13J3F6SEWr,《明日方舟》限定干员「予愿安洁莉娜」前瞻PV,是安洁莉娜的话，一定没问题！在她为人们带去的五彩斑斓中，总会有一抹属于她的色彩。,161775300,明日方舟,2026-07-28T03:00:00+00:00,1183706,84634,26660,15448,9883,7509,9242,https://www.bilibili.com/video/BV13J3F6SEWr,official_public_aggregate,exact_api,2026-09-11T22:17:14+00:00,operator_pv,False
BV1nB3u6tEHD,《明日方舟》EP - 酸橙色信笺,"7 月 28 日 18点 酸橙色信笺 将正式上架各音乐平台

【专辑介绍】
将心事折入纸页，送上天空。
繁星与晨光为旅途盖下邮戳，
当暖风拂过，信笺已染上大地的颜色。

【歌曲列表】
酸橙色信笺
酸橙色信笺 (Instrumental) 

感谢各位博士为安洁莉娜寄来的夏日影像，共同记录下这个夏天最美好的瞬间！",161775300,明日方舟,2026-07-25T12:57:41+00:00,3612199,282856,220243,143293,55955,45755,36309,https://www.bilibili.com/video/BV1nB3u6tEHD,official_public_aggregate,exact_api,2026-09-11T22:18:44+00:00,music_ep,False
BV1o43g69E9z,《明日方舟》2026夏日嘉年华特别通讯视频,"《明日方舟》2026夏日嘉年华特别通讯现已结束，感谢大家的支持。本次夏日嘉年华特别通讯视频现已上传。

————————————
更多活动详情内容详见游戏内公告。",161775300,明日方舟,2026-07-25T12:25:00+00:00,1680792,71860,16268,9718,7311,9800,16423,https://www.bilibili.com/video/BV1o43g69E9z,official_public_aggregate,exact_api,2026-09-02T18:53:06.976545+08:00,,
BV1Ag3M6ZESL,明日方舟 x 女神异闻录3 Reload 联动前瞻预告,明日方舟 x 女神异闻录3 Reload 联动SideStory筹备中,161775300,明日方舟,2026-07-25T12:20:00+00:00,2703784,129939,21950,16479,72737,21170,7690,https://www.bilibili.com/video/BV1Ag3M6ZESL,official_public_aggregate,exact_api,2026-09-11T22:18:48+00:00,other_official,False
BV1cL3M6xEQf,《明日方舟》限时活动「奇象巡展」宣传PV,"《明日方舟》限时活动「奇象巡展」宣传PV

关卡开放时间：08月08日 16:00 - 09月04日 03:59
解锁条件：通关主线1-10
活动说明：活动期间将开放「奇象巡展」限时活动，玩家可参与奇象寻迹、奇象拟合、巡展像素项目，通过完成【出展任务】获取【巡展纪念章】，消耗【巡展纪念章】来兑换【兑换处】中奖励

【兑换处】开放时间：08月08日 16:00 - 09月07日 03:59
【兑换处】主要奖励：时装【珊瑚海岸系列 - 悠然假日 HD91 - 协律】、模组养成材料、高级养成素材、作战记录、龙门",161775300,明日方舟,2026-07-25T12:05:00+00:00,660467,36213,4055,3526,2501,2683,315,https://www.bilibili.com/video/BV1cL3M6xEQf,official_public_aggregate,exact_api,2026-09-11T22:17:09+00:00,other_pv,False
