table,field,dtype,non_null,row_count
official_store_products,product_key,object,228,228
official_store_products,source,object,228,228
official_store_products,market,object,228,228
official_store_products,currency,object,228,228
official_store_products,product_id,object,228,228
official_store_products,title,object,228,228
official_store_products,source_product_type,object,228,228
official_store_products,category,object,228,228
official_store_products,category_method,object,228,228
official_store_products,vendor,object,228,228
official_store_products,tags,object,228,228
official_store_products,option_names,object,228,228
official_store_products,variant_count,int64,228,228
official_store_products,price_min,float64,228,228
official_store_products,price_max,float64,228,228
official_store_products,available_variant_count,int64,228,228
official_store_products,unknown_availability_count,int64,228,228
official_store_products,published_at,object,228,228
official_store_products,source_updated_at,object,228,228
official_store_products,observed_at,object,228,228
official_store_products,is_simulated,bool,228,228
official_store_products,rights_basis,object,228,228
official_store_products,source_url,object,228,228
official_store_variants,variant_key,object,531,531
official_store_variants,product_key,object,531,531
official_store_variants,source,object,531,531
official_store_variants,market,object,531,531
official_store_variants,currency,object,531,531
official_store_variants,product_id,object,531,531
official_store_variants,variant_id,object,531,531
official_store_variants,variant_title,object,531,531
official_store_variants,public_sku,object,531,531
official_store_variants,option1,object,531,531
official_store_variants,option2,object,34,531
official_store_variants,option3,object,0,531
official_store_variants,price,float64,531,531
official_store_variants,compare_at_price,float64,34,531
official_store_variants,available,bool,531,531
official_store_variants,requires_shipping,bool,531,531
official_store_variants,listed_weight_grams,int64,531,531
official_store_variants,observed_at,object,531,531
official_store_variants,is_simulated,bool,531,531
official_store_variants,source_url,object,531,531
operator_reference,operator_id,object,429,429
operator_reference,operator,object,429,429
operator_reference,english_name,object,429,429
operator_reference,profession,object,429,429
operator_reference,subprofession,object,429,429
operator_reference,rarity,object,429,429
operator_reference,nation_id,object,401,429
operator_reference,group_id,object,78,429
operator_reference,team_id,object,61,429
operator_reference,source_kind,object,429,429
operator_reference,source_url,object,429,429
operator_reference,source_commit,object,429,429
operator_reference,observed_at,object,429,429
operator_reference,is_simulated,bool,429,429
official_news,post_id,object,23,23
official_news,title,object,23,23
official_news,published_at,object,23,23
official_news,source_url,object,23,23
official_news,source,object,23,23
official_news,observed_at,object,23,23
official_news,is_simulated,bool,23,23
official_news,relevance,object,23,23
bilibili_new_observations,bvid,object,431,431
bilibili_new_observations,title,object,431,431
bilibili_new_observations,owner_mid,int64,431,431
bilibili_new_observations,published_at,object,431,431
bilibili_new_observations,view,int64,431,431
bilibili_new_observations,like,int64,431,431
bilibili_new_observations,coin,int64,431,431
bilibili_new_observations,favorite,int64,431,431
bilibili_new_observations,share,int64,431,431
bilibili_new_observations,reply,int64,431,431
bilibili_new_observations,danmaku,int64,431,431
bilibili_new_observations,content_type,object,431,431
bilibili_new_observations,source_url,object,431,431
bilibili_new_observations,collected_at,object,431,431
bilibili_new_observations,source_type,object,431,431
bilibili_new_observations,is_simulated,bool,431,431
bilibili_expanded_archive,bvid,object,551,551
bilibili_expanded_archive,title,object,551,551
bilibili_expanded_archive,description,object,549,551
bilibili_expanded_archive,owner_mid,int64,551,551
bilibili_expanded_archive,owner_name,object,549,551
bilibili_expanded_archive,published_at,object,551,551
bilibili_expanded_archive,view,int64,551,551
bilibili_expanded_archive,like,int64,551,551
bilibili_expanded_archive,coin,int64,551,551
bilibili_expanded_archive,favorite,int64,551,551
bilibili_expanded_archive,share,int64,551,551
bilibili_expanded_archive,reply,int64,551,551
bilibili_expanded_archive,danmaku,int64,551,551
bilibili_expanded_archive,source_url,object,551,551
bilibili_expanded_archive,source_type,object,551,551
bilibili_expanded_archive,metric_precision,object,549,551
bilibili_expanded_archive,collected_at,object,551,551
bilibili_expanded_archive,content_type,object,431,551
bilibili_expanded_archive,is_simulated,object,431,551
weibo_new_observations,post_id,object,100,100
weibo_new_observations,text,object,100,100
weibo_new_observations,published_at,object,100,100
weibo_new_observations,repost,int64,100,100
weibo_new_observations,comment,int64,100,100
weibo_new_observations,like,int64,100,100
weibo_new_observations,source_url,object,100,100
weibo_new_observations,canonical_account_url,object,100,100
weibo_new_observations,source_type,object,100,100
weibo_new_observations,metric_precision,object,100,100
weibo_new_observations,collected_at,object,100,100
weibo_expanded_archive,post_id,object,115,115
weibo_expanded_archive,text,object,115,115
weibo_expanded_archive,published_at,object,115,115
weibo_expanded_archive,repost,int64,115,115
weibo_expanded_archive,comment,int64,115,115
weibo_expanded_archive,like,int64,115,115
weibo_expanded_archive,source_url,object,115,115
weibo_expanded_archive,canonical_account_url,object,115,115
weibo_expanded_archive,source_type,object,115,115
weibo_expanded_archive,metric_precision,object,115,115
weibo_expanded_archive,collected_at,object,115,115
skland_search_observations,item_id,object,777,777
skland_search_observations,query,object,777,777
skland_search_observations,query_kind,object,777,777
skland_search_observations,sort,object,777,777
skland_search_observations,result_rank,int64,777,777
skland_search_observations,title,object,777,777
skland_search_observations,query_title_match,bool,777,777
skland_search_observations,posted_at,object,777,777
skland_search_observations,viewed,int64,777,777
skland_search_observations,liked,int64,777,777
skland_search_observations,collected,int64,777,777
skland_search_observations,reposted,int64,777,777
skland_search_observations,commented,int64,777,777
skland_search_observations,source_url,object,777,777
skland_search_observations,observed_at,object,777,777
skland_search_observations,scope,object,777,777
skland_search_observations,is_simulated,bool,777,777
skland_new_entities,item_id,object,395,395
skland_new_entities,title,object,395,395
skland_new_entities,posted_at,object,395,395
skland_new_entities,viewed,int64,395,395
skland_new_entities,liked,int64,395,395
skland_new_entities,collected,int64,395,395
skland_new_entities,reposted,int64,395,395
skland_new_entities,commented,int64,395,395
skland_new_entities,source_url,object,395,395
skland_new_entities,observed_at,object,395,395
skland_new_entities,scope,object,395,395
skland_new_entities,is_simulated,bool,395,395
skland_new_entities,matched_queries,object,395,395
skland_new_entities,query_kinds,object,395,395
skland_expanded_entities,item_id,object,937,937
skland_expanded_entities,title,object,937,937
skland_expanded_entities,posted_at,object,937,937
skland_expanded_entities,viewed,int64,937,937
skland_expanded_entities,liked,int64,937,937
skland_expanded_entities,collected,int64,937,937
skland_expanded_entities,reposted,int64,937,937
skland_expanded_entities,commented,int64,937,937
skland_expanded_entities,source_url,object,937,937
skland_expanded_entities,is_simulated,bool,937,937
skland_expanded_entities,observed_at,object,395,937
skland_expanded_entities,scope,object,395,937
skland_expanded_entities,matched_queries,object,395,937
skland_expanded_entities,query_kinds,object,395,937
official_store_category_summary,source,object,31,31
official_store_category_summary,market,object,31,31
official_store_category_summary,currency,object,31,31
official_store_category_summary,category,object,31,31
official_store_category_summary,product_listings,int64,31,31
official_store_category_summary,variant_count,int64,31,31
official_store_category_summary,min_list_price,float64,31,31
official_store_category_summary,median_start_price,float64,31,31
official_store_category_summary,max_list_price,float64,31,31
official_store_category_summary,available_variants,int64,31,31
variant_operator_candidates,variant_key,object,406,406
variant_operator_candidates,product_key,object,406,406
variant_operator_candidates,operator_id,object,406,406
variant_operator_candidates,operator,object,406,406
variant_operator_candidates,match_method,object,406,406
variant_operator_candidates,review_status,object,406,406
variant_operator_candidates,source_url,object,406,406
data_expansion_inventory,dataset,object,7,7
data_expansion_inventory,unit,object,7,7
data_expansion_inventory,before,int64,7,7
data_expansion_inventory,observed_this_run,int64,7,7
data_expansion_inventory,net_new,int64,7,7
data_expansion_inventory,after,int64,7,7
data_expansion_inventory,use,object,7,7
data_quality_checks,check,object,26,26
data_quality_checks,passed,bool,26,26
data_quality_checks,detail,object,26,26
