source,market,currency,category,product_listings,variant_count,min_list_price,median_start_price,max_list_price,available_variants
gryphline_global,Global,USD,亚克力制品,18,68,15.0,20.0,25.0,55
gryphline_global,Global,USD,其他待复核,1,9,12.0,12.0,12.0,9
gryphline_global,Global,USD,徽章,2,7,8.0,14.0,20.0,5
gryphline_global,Global,USD,手办模玩,2,2,50.0,50.0,50.0,2
gryphline_global,Global,USD,文具与纸品,7,10,8.0,13.0,15.0,10
gryphline_global,Global,USD,服饰,8,40,30.0,30.0,30.0,30
gryphline_global,Global,USD,桌面与生活用品,2,2,25.0,37.5,50.0,1
gryphline_global,Global,USD,毛绒玩偶,6,12,18.0,31.0,90.0,11
gryphline_global,Global,USD,盲盒,21,42,7.0,12.0,48.0,39
gryphline_global,Global,USD,箱包,1,1,40.0,40.0,40.0,1
gryphline_global,Global,USD,纪念礼盒,4,4,65.0,65.0,75.0,2
gryphline_global,Global,USD,装饰画与挂画,1,5,15.0,15.0,15.0,5
gryphline_global,Global,USD,饰品,2,2,30.0,32.5,35.0,2
yostar_us,US,USD,亚克力制品,18,64,8.0,15.0,70.0,60
yostar_us,US,USD,其他待复核,4,7,8.0,13.5,15.0,7
yostar_us,US,USD,出版物,7,7,20.0,60.0,68.0,3
yostar_us,US,USD,徽章,20,57,10.0,20.0,29.0,57
yostar_us,US,USD,手办模玩,3,3,55.0,55.0,55.0,1
yostar_us,US,USD,挂件,8,40,12.0,15.0,25.0,39
yostar_us,US,USD,文具与纸品,3,3,10.0,12.0,12.0,2
yostar_us,US,USD,服饰,3,4,22.0,22.0,45.0,2
yostar_us,US,USD,杯具,5,8,18.0,25.0,38.0,3
yostar_us,US,USD,桌游,1,1,108.0,108.0,108.0,0
yostar_us,US,USD,桌面与生活用品,19,27,5.0,15.0,58.0,19
yostar_us,US,USD,毛绒玩偶,28,65,15.0,36.5,45.0,54
yostar_us,US,USD,盲盒,2,4,18.0,18.0,108.0,4
yostar_us,US,USD,福袋,3,3,69.0,79.9,79.9,0
yostar_us,US,USD,箱包,14,17,10.0,32.5,60.0,14
yostar_us,US,USD,纪念礼盒,10,10,40.0,65.5,75.0,6
yostar_us,US,USD,装饰画与挂画,4,6,25.0,36.5,50.0,1
yostar_us,US,USD,饰品,1,1,20.0,20.0,20.0,1
