variant_key,product_key,source,market,currency,product_id,variant_id,variant_title,public_sku,option1,option2,option3,price,compare_at_price,available,requires_shipping,listed_weight_grams,observed_at,is_simulated,source_url
yostar_us:48773969412266,yostar_us:8479499518122,yostar_us,US,USD,8479499518122,48773969412266,Default Title,MRFZZNLH010,Default Title,,,40.0,,True,True,1000,2026-09-11T22:16:44+00:00,False,https://us.yostar.store/products/arknights-first-of-a-thousand-autumns-commemoration-box-6-5th-anniv?variant=48773969412266
yostar_us:48774014730410,yostar_us:8479509053610,yostar_us,US,USD,8479509053610,48774014730410,Default Title,MRFZKDMR002,Default Title,,,38.0,,True,True,1000,2026-09-11T22:16:44+00:00,False,https://us.yostar.store/products/arknights-posable-plushie-6-5th-anniv?variant=48774014730410
yostar_us:48773959254186,yostar_us:8479498207402,yostar_us,US,USD,8479498207402,48773959254186,Wang,MRFZCCGJ022,Wang,,,15.0,,True,True,35,2026-09-11T22:16:44+00:00,False,https://us.yostar.store/products/arknights-character-painted-glass-charm-6-5th-anniv?variant=48773959254186
yostar_us:48773959286954,yostar_us:8479498207402,yostar_us,US,USD,8479498207402,48773959286954,Ch'en the Dawnstreak,MRFZCCGJ023,Ch'en the Dawnstreak,,,15.0,,True,True,35,2026-09-11T22:16:44+00:00,False,https://us.yostar.store/products/arknights-character-painted-glass-charm-6-5th-anniv?variant=48773959286954
yostar_us:48773959319722,yostar_us:8479498207402,yostar_us,US,USD,8479498207402,48773959319722,Ling - A Gallant Dream,MRFZCCGJ024,Ling - A Gallant Dream,,,15.0,,True,True,35,2026-09-11T22:16:44+00:00,False,https://us.yostar.store/products/arknights-character-painted-glass-charm-6-5th-anniv?variant=48773959319722
yostar_us:48773959352490,yostar_us:8479498207402,yostar_us,US,USD,8479498207402,48773959352490,Dusk - Hazy Jade,MRFZCCGJ025,Dusk - Hazy Jade,,,15.0,,True,True,35,2026-09-11T22:16:44+00:00,False,https://us.yostar.store/products/arknights-character-painted-glass-charm-6-5th-anniv?variant=48773959352490
yostar_us:48773959385258,yostar_us:8479498207402,yostar_us,US,USD,8479498207402,48773959385258,Yu - Clear Morning View,MRFZCCGJ026,Yu - Clear Morning View,,,15.0,,True,True,35,2026-09-11T22:16:44+00:00,False,https://us.yostar.store/products/arknights-character-painted-glass-charm-6-5th-anniv?variant=48773959385258
yostar_us:48774007554218,yostar_us:8479507873962,yostar_us,US,USD,8479507873962,48774007554218,Wang,MRFZJSLG026,Wang,,,20.0,,True,True,50,2026-09-11T22:16:44+00:00,False,https://us.yostar.store/products/arknights-character-metal-pin-6-5th-anniv?variant=48774007554218
yostar_us:48774007586986,yostar_us:8479507873962,yostar_us,US,USD,8479507873962,48774007586986,Ch'en the Dawnstreak,MRFZJSLG027,Ch'en the Dawnstreak,,,20.0,,True,True,50,2026-09-11T22:16:44+00:00,False,https://us.yostar.store/products/arknights-character-metal-pin-6-5th-anniv?variant=48774007586986
yostar_us:48235977670826,yostar_us:8425552511146,yostar_us,US,USD,8425552511146,48235977670826,Amiya,MRFZWOGJ010,Amiya,,,20.0,,True,True,200,2026-09-11T22:16:44+00:00,False,https://us.yostar.store/products/arknights-operator-dango-plushie-vernal-voyage?variant=48235977670826
