operator_id,operator,english_name,profession,subprofession,rarity,nation_id,group_id,team_id,source_kind,source_url,source_commit,observed_at,is_simulated
char_285_medic2,Lancet-2,Lancet-2,MEDIC,physician,TIER_1,rhodes,,,community_maintained_game_metadata,https://raw.githubusercontent.com/Kengxxiao/ArknightsGameData/0ef7f952dfd018392200157a5c79a6511ba69122/zh_CN/gamedata/excel/character_table.json,0ef7f952dfd018392200157a5c79a6511ba69122,2026-09-11T22:16:48+00:00,False
char_286_cast3,Castle-3,Castle-3,WARRIOR,fearless,TIER_1,rhodes,,,community_maintained_game_metadata,https://raw.githubusercontent.com/Kengxxiao/ArknightsGameData/0ef7f952dfd018392200157a5c79a6511ba69122/zh_CN/gamedata/excel/character_table.json,0ef7f952dfd018392200157a5c79a6511ba69122,2026-09-11T22:16:48+00:00,False
char_4220_kormr,虎狼丸,Koromaru,WARRIOR,sword,TIER_1,,,sees,community_maintained_game_metadata,https://raw.githubusercontent.com/Kengxxiao/ArknightsGameData/0ef7f952dfd018392200157a5c79a6511ba69122/zh_CN/gamedata/excel/character_table.json,0ef7f952dfd018392200157a5c79a6511ba69122,2026-09-11T22:16:48+00:00,False
char_376_therex,THRM-EX,Thermal-EX,SPECIAL,executor,TIER_1,rhodes,,,community_maintained_game_metadata,https://raw.githubusercontent.com/Kengxxiao/ArknightsGameData/0ef7f952dfd018392200157a5c79a6511ba69122/zh_CN/gamedata/excel/character_table.json,0ef7f952dfd018392200157a5c79a6511ba69122,2026-09-11T22:16:48+00:00,False
char_4000_jnight,正义骑士号,"""Justice Knight""",SNIPER,fastshot,TIER_1,kazimierz,pinus,,community_maintained_game_metadata,https://raw.githubusercontent.com/Kengxxiao/ArknightsGameData/0ef7f952dfd018392200157a5c79a6511ba69122/zh_CN/gamedata/excel/character_table.json,0ef7f952dfd018392200157a5c79a6511ba69122,2026-09-11T22:16:48+00:00,False
char_4077_palico,泰拉大陆调查团,Terra Research Commission,SNIPER,bombarder,TIER_1,rhodes,,,community_maintained_game_metadata,https://raw.githubusercontent.com/Kengxxiao/ArknightsGameData/0ef7f952dfd018392200157a5c79a6511ba69122/zh_CN/gamedata/excel/character_table.json,0ef7f952dfd018392200157a5c79a6511ba69122,2026-09-11T22:16:48+00:00,False
char_4091_ulika,U-Official,U-Official,SUPPORT,bard,TIER_1,rhodes,,,community_maintained_game_metadata,https://raw.githubusercontent.com/Kengxxiao/ArknightsGameData/0ef7f952dfd018392200157a5c79a6511ba69122/zh_CN/gamedata/excel/character_table.json,0ef7f952dfd018392200157a5c79a6511ba69122,2026-09-11T22:16:48+00:00,False
char_4093_frston,Friston-3,Friston-3,TANK,protector,TIER_1,rhodes,,,community_maintained_game_metadata,https://raw.githubusercontent.com/Kengxxiao/ArknightsGameData/0ef7f952dfd018392200157a5c79a6511ba69122/zh_CN/gamedata/excel/character_table.json,0ef7f952dfd018392200157a5c79a6511ba69122,2026-09-11T22:16:48+00:00,False
char_4136_phonor,PhonoR-0,PhonoR-0,SUPPORT,ritualist,TIER_1,rhodes,,,community_maintained_game_metadata,https://raw.githubusercontent.com/Kengxxiao/ArknightsGameData/0ef7f952dfd018392200157a5c79a6511ba69122/zh_CN/gamedata/excel/character_table.json,0ef7f952dfd018392200157a5c79a6511ba69122,2026-09-11T22:16:48+00:00,False
char_4188_confes,CONFESS-47,CONFESS-47,PIONEER,pioneer,TIER_1,laterano,,,community_maintained_game_metadata,https://raw.githubusercontent.com/Kengxxiao/ArknightsGameData/0ef7f952dfd018392200157a5c79a6511ba69122/zh_CN/gamedata/excel/character_table.json,0ef7f952dfd018392200157a5c79a6511ba69122,2026-09-11T22:16:48+00:00,False
char_4227_gallus,GALLUS²,GALLUS²,CASTER,corecaster,TIER_1,rhodes,,,community_maintained_game_metadata,https://raw.githubusercontent.com/Kengxxiao/ArknightsGameData/0ef7f952dfd018392200157a5c79a6511ba69122/zh_CN/gamedata/excel/character_table.json,0ef7f952dfd018392200157a5c79a6511ba69122,2026-09-11T22:16:48+00:00,False
char_4215_buddy,罗德岛隐秘队,Rhodes Island Recon,PIONEER,tactician,TIER_1,rhodes,,,community_maintained_game_metadata,https://raw.githubusercontent.com/Kengxxiao/ArknightsGameData/0ef7f952dfd018392200157a5c79a6511ba69122/zh_CN/gamedata/excel/character_table.json,0ef7f952dfd018392200157a5c79a6511ba69122,2026-09-11T22:16:48+00:00,False
char_502_nblade,夜刀,Yato,PIONEER,pioneer,TIER_2,rhodes,,action4,community_maintained_game_metadata,https://raw.githubusercontent.com/Kengxxiao/ArknightsGameData/0ef7f952dfd018392200157a5c79a6511ba69122/zh_CN/gamedata/excel/character_table.json,0ef7f952dfd018392200157a5c79a6511ba69122,2026-09-11T22:16:48+00:00,False
char_500_noirc,黑角,Noir Corne,TANK,protector,TIER_2,rhodes,,action4,community_maintained_game_metadata,https://raw.githubusercontent.com/Kengxxiao/ArknightsGameData/0ef7f952dfd018392200157a5c79a6511ba69122/zh_CN/gamedata/excel/character_table.json,0ef7f952dfd018392200157a5c79a6511ba69122,2026-09-11T22:16:48+00:00,False
char_503_rang,巡林者,Rangers,SNIPER,fastshot,TIER_2,rhodes,,action4,community_maintained_game_metadata,https://raw.githubusercontent.com/Kengxxiao/ArknightsGameData/0ef7f952dfd018392200157a5c79a6511ba69122/zh_CN/gamedata/excel/character_table.json,0ef7f952dfd018392200157a5c79a6511ba69122,2026-09-11T22:16:48+00:00,False
char_501_durin,杜林,Durin,CASTER,corecaster,TIER_2,rhodes,,action4,community_maintained_game_metadata,https://raw.githubusercontent.com/Kengxxiao/ArknightsGameData/0ef7f952dfd018392200157a5c79a6511ba69122/zh_CN/gamedata/excel/character_table.json,0ef7f952dfd018392200157a5c79a6511ba69122,2026-09-11T22:16:48+00:00,False
char_009_12fce,12F,12F,CASTER,splashcaster,TIER_2,rhodes,,,community_maintained_game_metadata,https://raw.githubusercontent.com/Kengxxiao/ArknightsGameData/0ef7f952dfd018392200157a5c79a6511ba69122/zh_CN/gamedata/excel/character_table.json,0ef7f952dfd018392200157a5c79a6511ba69122,2026-09-11T22:16:48+00:00,False
char_123_fang,芬,Fang,PIONEER,pioneer,TIER_3,rhodes,,reserve1,community_maintained_game_metadata,https://raw.githubusercontent.com/Kengxxiao/ArknightsGameData/0ef7f952dfd018392200157a5c79a6511ba69122/zh_CN/gamedata/excel/character_table.json,0ef7f952dfd018392200157a5c79a6511ba69122,2026-09-11T22:16:48+00:00,False
char_240_wyvern,香草,Vanilla,PIONEER,pioneer,TIER_3,columbia,blacksteel,,community_maintained_game_metadata,https://raw.githubusercontent.com/Kengxxiao/ArknightsGameData/0ef7f952dfd018392200157a5c79a6511ba69122/zh_CN/gamedata/excel/character_table.json,0ef7f952dfd018392200157a5c79a6511ba69122,2026-09-11T22:16:48+00:00,False
char_192_falco,翎羽,Plume,PIONEER,charger,TIER_3,laterano,,,community_maintained_game_metadata,https://raw.githubusercontent.com/Kengxxiao/ArknightsGameData/0ef7f952dfd018392200157a5c79a6511ba69122/zh_CN/gamedata/excel/character_table.json,0ef7f952dfd018392200157a5c79a6511ba69122,2026-09-11T22:16:48+00:00,False
char_208_melan,玫兰莎,Melantha,WARRIOR,fearless,TIER_3,rhodes,,reserve4,community_maintained_game_metadata,https://raw.githubusercontent.com/Kengxxiao/ArknightsGameData/0ef7f952dfd018392200157a5c79a6511ba69122/zh_CN/gamedata/excel/character_table.json,0ef7f952dfd018392200157a5c79a6511ba69122,2026-09-11T22:16:48+00:00,False
char_281_popka,泡普卡,Popukar,WARRIOR,centurion,TIER_3,rhodes,,reserve6,community_maintained_game_metadata,https://raw.githubusercontent.com/Kengxxiao/ArknightsGameData/0ef7f952dfd018392200157a5c79a6511ba69122/zh_CN/gamedata/excel/character_table.json,0ef7f952dfd018392200157a5c79a6511ba69122,2026-09-11T22:16:48+00:00,False
char_209_ardign,卡缇,Cardigan,TANK,protector,TIER_3,rhodes,,reserve4,community_maintained_game_metadata,https://raw.githubusercontent.com/Kengxxiao/ArknightsGameData/0ef7f952dfd018392200157a5c79a6511ba69122/zh_CN/gamedata/excel/character_table.json,0ef7f952dfd018392200157a5c79a6511ba69122,2026-09-11T22:16:48+00:00,False
char_122_beagle,米格鲁,Beagle,TANK,protector,TIER_3,rhodes,,reserve1,community_maintained_game_metadata,https://raw.githubusercontent.com/Kengxxiao/ArknightsGameData/0ef7f952dfd018392200157a5c79a6511ba69122/zh_CN/gamedata/excel/character_table.json,0ef7f952dfd018392200157a5c79a6511ba69122,2026-09-11T22:16:48+00:00,False
char_284_spot,斑点,Spot,TANK,guardian,TIER_3,rhodes,,reserve6,community_maintained_game_metadata,https://raw.githubusercontent.com/Kengxxiao/ArknightsGameData/0ef7f952dfd018392200157a5c79a6511ba69122/zh_CN/gamedata/excel/character_table.json,0ef7f952dfd018392200157a5c79a6511ba69122,2026-09-11T22:16:48+00:00,False
char_124_kroos,克洛丝,Kroos,SNIPER,fastshot,TIER_3,rhodes,,reserve1,community_maintained_game_metadata,https://raw.githubusercontent.com/Kengxxiao/ArknightsGameData/0ef7f952dfd018392200157a5c79a6511ba69122/zh_CN/gamedata/excel/character_table.json,0ef7f952dfd018392200157a5c79a6511ba69122,2026-09-11T22:16:48+00:00,False
char_211_adnach,安德切尔,Adnachiel,SNIPER,fastshot,TIER_3,rhodes,,reserve4,community_maintained_game_metadata,https://raw.githubusercontent.com/Kengxxiao/ArknightsGameData/0ef7f952dfd018392200157a5c79a6511ba69122/zh_CN/gamedata/excel/character_table.json,0ef7f952dfd018392200157a5c79a6511ba69122,2026-09-11T22:16:48+00:00,False
char_121_lava,炎熔,Lava,CASTER,splashcaster,TIER_3,rhodes,,reserve1,community_maintained_game_metadata,https://raw.githubusercontent.com/Kengxxiao/ArknightsGameData/0ef7f952dfd018392200157a5c79a6511ba69122/zh_CN/gamedata/excel/character_table.json,0ef7f952dfd018392200157a5c79a6511ba69122,2026-09-11T22:16:48+00:00,False
char_120_hibisc,芙蓉,Hibiscus,MEDIC,physician,TIER_3,rhodes,,reserve1,community_maintained_game_metadata,https://raw.githubusercontent.com/Kengxxiao/ArknightsGameData/0ef7f952dfd018392200157a5c79a6511ba69122/zh_CN/gamedata/excel/character_table.json,0ef7f952dfd018392200157a5c79a6511ba69122,2026-09-11T22:16:48+00:00,False
char_212_ansel,安赛尔,Ansel,MEDIC,physician,TIER_3,rhodes,,reserve4,community_maintained_game_metadata,https://raw.githubusercontent.com/Kengxxiao/ArknightsGameData/0ef7f952dfd018392200157a5c79a6511ba69122/zh_CN/gamedata/excel/character_table.json,0ef7f952dfd018392200157a5c79a6511ba69122,2026-09-11T22:16:48+00:00,False
char_210_stward,史都华德,Steward,CASTER,corecaster,TIER_3,rhodes,,reserve4,community_maintained_game_metadata,https://raw.githubusercontent.com/Kengxxiao/ArknightsGameData/0ef7f952dfd018392200157a5c79a6511ba69122/zh_CN/gamedata/excel/character_table.json,0ef7f952dfd018392200157a5c79a6511ba69122,2026-09-11T22:16:48+00:00,False
char_278_orchid,梓兰,Orchid,SUPPORT,slower,TIER_3,rhodes,,reserve6,community_maintained_game_metadata,https://raw.githubusercontent.com/Kengxxiao/ArknightsGameData/0ef7f952dfd018392200157a5c79a6511ba69122/zh_CN/gamedata/excel/character_table.json,0ef7f952dfd018392200157a5c79a6511ba69122,2026-09-11T22:16:48+00:00,False
char_141_nights,夜烟,Haze,CASTER,corecaster,TIER_4,victoria,,,community_maintained_game_metadata,https://raw.githubusercontent.com/Kengxxiao/ArknightsGameData/0ef7f952dfd018392200157a5c79a6511ba69122/zh_CN/gamedata/excel/character_table.json,0ef7f952dfd018392200157a5c79a6511ba69122,2026-09-11T22:16:48+00:00,False
char_109_fmout,远山,Gitano,CASTER,splashcaster,TIER_4,sami,,,community_maintained_game_metadata,https://raw.githubusercontent.com/Kengxxiao/ArknightsGameData/0ef7f952dfd018392200157a5c79a6511ba69122/zh_CN/gamedata/excel/character_table.json,0ef7f952dfd018392200157a5c79a6511ba69122,2026-09-11T22:16:48+00:00,False
char_253_greyy,格雷伊,Greyy,CASTER,splashcaster,TIER_4,bolivar,,,community_maintained_game_metadata,https://raw.githubusercontent.com/Kengxxiao/ArknightsGameData/0ef7f952dfd018392200157a5c79a6511ba69122/zh_CN/gamedata/excel/character_table.json,0ef7f952dfd018392200157a5c79a6511ba69122,2026-09-11T22:16:48+00:00,False
char_4051_akkord,协律,Akkord,CASTER,blastcaster,TIER_4,leithanien,,,community_maintained_game_metadata,https://raw.githubusercontent.com/Kengxxiao/ArknightsGameData/0ef7f952dfd018392200157a5c79a6511ba69122/zh_CN/gamedata/excel/character_table.json,0ef7f952dfd018392200157a5c79a6511ba69122,2026-09-11T22:16:48+00:00,False
char_328_cammou,卡达,Click,CASTER,funnel,TIER_4,rhodes,,,community_maintained_game_metadata,https://raw.githubusercontent.com/Kengxxiao/ArknightsGameData/0ef7f952dfd018392200157a5c79a6511ba69122/zh_CN/gamedata/excel/character_table.json,0ef7f952dfd018392200157a5c79a6511ba69122,2026-09-11T22:16:48+00:00,False
char_469_indigo,深靛,Indigo,CASTER,mystic,TIER_4,iberia,,,community_maintained_game_metadata,https://raw.githubusercontent.com/Kengxxiao/ArknightsGameData/0ef7f952dfd018392200157a5c79a6511ba69122/zh_CN/gamedata/excel/character_table.json,0ef7f952dfd018392200157a5c79a6511ba69122,2026-09-11T22:16:48+00:00,False
char_4004_pudd,布丁,Pudding,CASTER,chain,TIER_4,columbia,,,community_maintained_game_metadata,https://raw.githubusercontent.com/Kengxxiao/ArknightsGameData/0ef7f952dfd018392200157a5c79a6511ba69122/zh_CN/gamedata/excel/character_table.json,0ef7f952dfd018392200157a5c79a6511ba69122,2026-09-11T22:16:48+00:00,False
char_235_jesica,杰西卡,Jessica,SNIPER,fastshot,TIER_4,columbia,blacksteel,,community_maintained_game_metadata,https://raw.githubusercontent.com/Kengxxiao/ArknightsGameData/0ef7f952dfd018392200157a5c79a6511ba69122/zh_CN/gamedata/excel/character_table.json,0ef7f952dfd018392200157a5c79a6511ba69122,2026-09-11T22:16:48+00:00,False
char_126_shotst,流星,Meteor,SNIPER,fastshot,TIER_4,kazimierz,,,community_maintained_game_metadata,https://raw.githubusercontent.com/Kengxxiao/ArknightsGameData/0ef7f952dfd018392200157a5c79a6511ba69122/zh_CN/gamedata/excel/character_table.json,0ef7f952dfd018392200157a5c79a6511ba69122,2026-09-11T22:16:48+00:00,False
char_190_clour,红云,Vermeil,SNIPER,fastshot,TIER_4,siracusa,,,community_maintained_game_metadata,https://raw.githubusercontent.com/Kengxxiao/ArknightsGameData/0ef7f952dfd018392200157a5c79a6511ba69122/zh_CN/gamedata/excel/character_table.json,0ef7f952dfd018392200157a5c79a6511ba69122,2026-09-11T22:16:48+00:00,False
char_133_mm,梅,May,SNIPER,fastshot,TIER_4,victoria,,,community_maintained_game_metadata,https://raw.githubusercontent.com/Kengxxiao/ArknightsGameData/0ef7f952dfd018392200157a5c79a6511ba69122/zh_CN/gamedata/excel/character_table.json,0ef7f952dfd018392200157a5c79a6511ba69122,2026-09-11T22:16:48+00:00,False
char_118_yuki,白雪,ShiraYuki,SNIPER,aoesniper,TIER_4,higashi,,,community_maintained_game_metadata,https://raw.githubusercontent.com/Kengxxiao/ArknightsGameData/0ef7f952dfd018392200157a5c79a6511ba69122/zh_CN/gamedata/excel/character_table.json,0ef7f952dfd018392200157a5c79a6511ba69122,2026-09-11T22:16:48+00:00,False
char_440_pinecn,松果,Pinecone,SNIPER,reaperrange,TIER_4,columbia,,,community_maintained_game_metadata,https://raw.githubusercontent.com/Kengxxiao/ArknightsGameData/0ef7f952dfd018392200157a5c79a6511ba69122/zh_CN/gamedata/excel/character_table.json,0ef7f952dfd018392200157a5c79a6511ba69122,2026-09-11T22:16:48+00:00,False
char_302_glaze,安比尔,Ambriel,SNIPER,longrange,TIER_4,laterano,,,community_maintained_game_metadata,https://raw.githubusercontent.com/Kengxxiao/ArknightsGameData/0ef7f952dfd018392200157a5c79a6511ba69122/zh_CN/gamedata/excel/character_table.json,0ef7f952dfd018392200157a5c79a6511ba69122,2026-09-11T22:16:48+00:00,False
char_366_acdrop,酸糖,Aciddrop,SNIPER,closerange,TIER_4,columbia,,,community_maintained_game_metadata,https://raw.githubusercontent.com/Kengxxiao/ArknightsGameData/0ef7f952dfd018392200157a5c79a6511ba69122/zh_CN/gamedata/excel/character_table.json,0ef7f952dfd018392200157a5c79a6511ba69122,2026-09-11T22:16:48+00:00,False
char_4062_totter,铅踝,Totter,SNIPER,siegesniper,TIER_4,sargon,,,community_maintained_game_metadata,https://raw.githubusercontent.com/Kengxxiao/ArknightsGameData/0ef7f952dfd018392200157a5c79a6511ba69122/zh_CN/gamedata/excel/character_table.json,0ef7f952dfd018392200157a5c79a6511ba69122,2026-09-11T22:16:48+00:00,False
char_4100_caper,跃跃,Caper,SNIPER,loopshooter,TIER_4,bolivar,,,community_maintained_game_metadata,https://raw.githubusercontent.com/Kengxxiao/ArknightsGameData/0ef7f952dfd018392200157a5c79a6511ba69122/zh_CN/gamedata/excel/character_table.json,0ef7f952dfd018392200157a5c79a6511ba69122,2026-09-11T22:16:48+00:00,False
char_198_blackd,讯使,Courier,PIONEER,pioneer,TIER_4,kjerag,karlan,,community_maintained_game_metadata,https://raw.githubusercontent.com/Kengxxiao/ArknightsGameData/0ef7f952dfd018392200157a5c79a6511ba69122/zh_CN/gamedata/excel/character_table.json,0ef7f952dfd018392200157a5c79a6511ba69122,2026-09-11T22:16:48+00:00,False
char_149_scave,清道夫,Scavenger,PIONEER,pioneer,TIER_4,rhodes,sweep,,community_maintained_game_metadata,https://raw.githubusercontent.com/Kengxxiao/ArknightsGameData/0ef7f952dfd018392200157a5c79a6511ba69122/zh_CN/gamedata/excel/character_table.json,0ef7f952dfd018392200157a5c79a6511ba69122,2026-09-11T22:16:48+00:00,False
char_290_vigna,红豆,Vigna,PIONEER,charger,TIER_4,columbia,,,community_maintained_game_metadata,https://raw.githubusercontent.com/Kengxxiao/ArknightsGameData/0ef7f952dfd018392200157a5c79a6511ba69122/zh_CN/gamedata/excel/character_table.json,0ef7f952dfd018392200157a5c79a6511ba69122,2026-09-11T22:16:48+00:00,False
char_151_myrtle,桃金娘,Myrtle,PIONEER,bearer,TIER_4,rhodes,,,community_maintained_game_metadata,https://raw.githubusercontent.com/Kengxxiao/ArknightsGameData/0ef7f952dfd018392200157a5c79a6511ba69122/zh_CN/gamedata/excel/character_table.json,0ef7f952dfd018392200157a5c79a6511ba69122,2026-09-11T22:16:48+00:00,False
char_452_bstalk,豆苗,Beanstalk,PIONEER,tactician,TIER_4,columbia,,,community_maintained_game_metadata,https://raw.githubusercontent.com/Kengxxiao/ArknightsGameData/0ef7f952dfd018392200157a5c79a6511ba69122/zh_CN/gamedata/excel/character_table.json,0ef7f952dfd018392200157a5c79a6511ba69122,2026-09-11T22:16:48+00:00,False
char_4208_wintim,冬时,Снегурочка,PIONEER,agent,TIER_4,ursus,,,community_maintained_game_metadata,https://raw.githubusercontent.com/Kengxxiao/ArknightsGameData/0ef7f952dfd018392200157a5c79a6511ba69122/zh_CN/gamedata/excel/character_table.json,0ef7f952dfd018392200157a5c79a6511ba69122,2026-09-11T22:16:48+00:00,False
char_130_doberm,杜宾,Dobermann,WARRIOR,instructor,TIER_4,rhodes,,,community_maintained_game_metadata,https://raw.githubusercontent.com/Kengxxiao/ArknightsGameData/0ef7f952dfd018392200157a5c79a6511ba69122/zh_CN/gamedata/excel/character_table.json,0ef7f952dfd018392200157a5c79a6511ba69122,2026-09-11T22:16:48+00:00,False
char_289_gyuki,缠丸,Matoimaru,WARRIOR,fearless,TIER_4,higashi,,,community_maintained_game_metadata,https://raw.githubusercontent.com/Kengxxiao/ArknightsGameData/0ef7f952dfd018392200157a5c79a6511ba69122/zh_CN/gamedata/excel/character_table.json,0ef7f952dfd018392200157a5c79a6511ba69122,2026-09-11T22:16:48+00:00,False
char_159_peacok,断罪者,Conviction,WARRIOR,fearless,TIER_4,minos,,,community_maintained_game_metadata,https://raw.githubusercontent.com/Kengxxiao/ArknightsGameData/0ef7f952dfd018392200157a5c79a6511ba69122/zh_CN/gamedata/excel/character_table.json,0ef7f952dfd018392200157a5c79a6511ba69122,2026-09-11T22:16:48+00:00,False
char_193_frostl,霜叶,Frostleaf,WARRIOR,lord,TIER_4,rhodes,,,community_maintained_game_metadata,https://raw.githubusercontent.com/Kengxxiao/ArknightsGameData/0ef7f952dfd018392200157a5c79a6511ba69122/zh_CN/gamedata/excel/character_table.json,0ef7f952dfd018392200157a5c79a6511ba69122,2026-09-11T22:16:48+00:00,False
