variant_key,product_key,operator_id,operator,match_method,review_status,source_url
yostar_us:48773959254186,yostar_us:8479498207402,char_2027_wang,望,explicit_name_candidate,pending,https://us.yostar.store/products/arknights-character-painted-glass-charm-6-5th-anniv?variant=48773959254186
yostar_us:48773959286954,yostar_us:8479498207402,char_010_chen,陈,explicit_name_candidate,pending,https://us.yostar.store/products/arknights-character-painted-glass-charm-6-5th-anniv?variant=48773959286954
yostar_us:48773959286954,yostar_us:8479498207402,char_1050_chen3,赤刃明霄陈,explicit_name_candidate,pending,https://us.yostar.store/products/arknights-character-painted-glass-charm-6-5th-anniv?variant=48773959286954
yostar_us:48773959319722,yostar_us:8479498207402,char_2023_ling,令,explicit_name_candidate,pending,https://us.yostar.store/products/arknights-character-painted-glass-charm-6-5th-anniv?variant=48773959319722
yostar_us:48773959352490,yostar_us:8479498207402,char_2015_dusk,夕,explicit_name_candidate,pending,https://us.yostar.store/products/arknights-character-painted-glass-charm-6-5th-anniv?variant=48773959352490
yostar_us:48774007554218,yostar_us:8479507873962,char_2027_wang,望,explicit_name_candidate,pending,https://us.yostar.store/products/arknights-character-metal-pin-6-5th-anniv?variant=48774007554218
yostar_us:48774007586986,yostar_us:8479507873962,char_010_chen,陈,explicit_name_candidate,pending,https://us.yostar.store/products/arknights-character-metal-pin-6-5th-anniv?variant=48774007586986
yostar_us:48774007586986,yostar_us:8479507873962,char_1050_chen3,赤刃明霄陈,explicit_name_candidate,pending,https://us.yostar.store/products/arknights-character-metal-pin-6-5th-anniv?variant=48774007586986
yostar_us:48235977670826,yostar_us:8425552511146,char_002_amiya,阿米娅,explicit_name_candidate,pending,https://us.yostar.store/products/arknights-operator-dango-plushie-vernal-voyage?variant=48235977670826
yostar_us:48235977801898,yostar_us:8425552511146,char_4133_logos,逻各斯,explicit_name_candidate,pending,https://us.yostar.store/products/arknights-operator-dango-plushie-vernal-voyage?variant=48235977801898
yostar_us:48235978260650,yostar_us:8425552511146,char_1035_wisdel,维什戴尔,explicit_name_candidate,pending,https://us.yostar.store/products/arknights-operator-dango-plushie-vernal-voyage?variant=48235978260650
yostar_us:48235949523114,yostar_us:8425549037738,char_486_takila,龙舌兰,explicit_name_candidate,pending,https://us.yostar.store/products/arknights-acrylic-standee-vernal-voyage?variant=48235949523114
yostar_us:48235949785258,yostar_us:8425549037738,char_002_amiya,阿米娅,explicit_name_candidate,pending,https://us.yostar.store/products/arknights-acrylic-standee-vernal-voyage?variant=48235949785258
yostar_us:48235950112938,yostar_us:8425549037738,char_4202_haruka,遥,explicit_name_candidate,pending,https://us.yostar.store/products/arknights-acrylic-standee-vernal-voyage?variant=48235950112938
yostar_us:48235955683498,yostar_us:8425549463722,char_486_takila,龙舌兰,explicit_name_candidate,pending,https://us.yostar.store/products/arknights-character-pin-vernal-voyage-copy?variant=48235955683498
yostar_us:48235955847338,yostar_us:8425549463722,char_002_amiya,阿米娅,explicit_name_candidate,pending,https://us.yostar.store/products/arknights-character-pin-vernal-voyage-copy?variant=48235955847338
yostar_us:48235956502698,yostar_us:8425549463722,char_4202_haruka,遥,explicit_name_candidate,pending,https://us.yostar.store/products/arknights-character-pin-vernal-voyage-copy?variant=48235956502698
yostar_us:48235939233962,yostar_us:8425548382378,char_1045_svash2,凛御银灰,explicit_name_candidate,pending,https://us.yostar.store/products/arknights-wiggling-ears-character-metal-pin-vernal-voyage?variant=48235939233962
yostar_us:48235939233962,yostar_us:8425548382378,char_172_svrash,银灰,explicit_name_candidate,pending,https://us.yostar.store/products/arknights-wiggling-ears-character-metal-pin-vernal-voyage?variant=48235939233962
yostar_us:48235939266730,yostar_us:8425548382378,char_174_slbell,初雪,explicit_name_candidate,pending,https://us.yostar.store/products/arknights-wiggling-ears-character-metal-pin-vernal-voyage?variant=48235939266730
yostar_us:48235939266730,yostar_us:8425548382378,char_1046_sbell2,圣聆初雪,explicit_name_candidate,pending,https://us.yostar.store/products/arknights-wiggling-ears-character-metal-pin-vernal-voyage?variant=48235939266730
yostar_us:47822972223658,yostar_us:8333636403370,char_1039_thorn2,引星棘刺,explicit_name_candidate,pending,https://us.yostar.store/products/arknights-thorns-the-lodestar-plushie-key-charm-6th-anniv?variant=47822972223658
yostar_us:47822972223658,yostar_us:8333636403370,char_293_thorns,棘刺,explicit_name_candidate,pending,https://us.yostar.store/products/arknights-thorns-the-lodestar-plushie-key-charm-6th-anniv?variant=47822972223658
yostar_us:47822971863210,yostar_us:8333636305066,char_4145_ulpia,乌尔比安,explicit_name_candidate,pending,https://us.yostar.store/products/arknights-plushie-6th-anniv?variant=47822971863210
yostar_us:47822971895978,yostar_us:8333636305066,char_235_jesica,杰西卡,explicit_name_candidate,pending,https://us.yostar.store/products/arknights-plushie-6th-anniv?variant=47822971895978
yostar_us:47822981922986,yostar_us:8333645447338,char_136_hsguma,星熊,explicit_name_candidate,pending,https://us.yostar.store/products/arknights-character-finger-puppet-charm-6th-anniv?variant=47822981922986
yostar_us:47822981922986,yostar_us:8333645447338,char_1044_hsgma2,斩业星熊,explicit_name_candidate,pending,https://us.yostar.store/products/arknights-character-finger-puppet-charm-6th-anniv?variant=47822981922986
yostar_us:47822981955754,yostar_us:8333645447338,char_1013_chen2,假日威龙陈,explicit_name_candidate,pending,https://us.yostar.store/products/arknights-character-finger-puppet-charm-6th-anniv?variant=47822981955754
yostar_us:47822981955754,yostar_us:8333645447338,char_010_chen,陈,explicit_name_candidate,pending,https://us.yostar.store/products/arknights-character-finger-puppet-charm-6th-anniv?variant=47822981955754
yostar_us:47822994636970,yostar_us:8333655802026,char_143_ghost,幽灵鲨,explicit_name_candidate,pending,https://us.yostar.store/products/arknights-character-pin-6th-anniv?variant=47822994636970
yostar_us:47822994636970,yostar_us:8333655802026,char_1023_ghost2,归溟幽灵鲨,explicit_name_candidate,pending,https://us.yostar.store/products/arknights-character-pin-6th-anniv?variant=47822994636970
yostar_us:47822994669738,yostar_us:8333655802026,char_4042_lumen,流明,explicit_name_candidate,pending,https://us.yostar.store/products/arknights-character-pin-6th-anniv?variant=47822994669738
yostar_us:47822994702506,yostar_us:8333655802026,char_249_mlyss,缪尔赛思,explicit_name_candidate,pending,https://us.yostar.store/products/arknights-character-pin-6th-anniv?variant=47822994702506
yostar_us:47822994735274,yostar_us:8333655802026,char_245_cello,塑心,explicit_name_candidate,pending,https://us.yostar.store/products/arknights-character-pin-6th-anniv?variant=47822994735274
yostar_us:47822994768042,yostar_us:8333655802026,char_1012_skadi2,浊心斯卡蒂,explicit_name_candidate,pending,https://us.yostar.store/products/arknights-character-pin-6th-anniv?variant=47822994768042
yostar_us:47822994768042,yostar_us:8333655802026,char_263_skadi,斯卡蒂,explicit_name_candidate,pending,https://us.yostar.store/products/arknights-character-pin-6th-anniv?variant=47822994768042
yostar_us:47823020032170,yostar_us:8333680115882,char_1013_chen2,假日威龙陈,explicit_name_candidate,pending,https://us.yostar.store/products/arknights-character-acrylic-standee-6th-anniv?variant=47823020032170
