bvid,title,description,owner_mid,owner_name,published_at,view,like,coin,favorite,share,reply,danmaku,source_url,source_type,metric_precision,collected_at,operator,reach_score,momentum_score,engagement_rate,engagement_score,intent_rate,intent_score,discussion_rate,discussion_score,platform_heat_score,platform,post_id,text,repost,comment,canonical_account_url
BV1RhtV6iEt3,《明日方舟》干员「结城理」技能展示PV,"《明日方舟》干员「结城理」技能展示PV

————————————
【明日方舟 × 女神异闻录３ Reload】SideStory「月行水上」限时活动即将开启

更多活动详情内容详见游戏内公告。",161775300.0,明日方舟,2026-09-02T03:00:00+00:00,1205190.0,74075,14699.0,8531.0,59724.0,13492.0,5822.0,https://www.bilibili.com/video/BV1RhtV6iEt3,official_public_aggregate,exact_api,2026-09-02T18:57:54.799963+08:00,结城理,19.35483870967742,100.0,0.11922103568731901,41.935483870967744,0.026353521021581658,41.935483870967744,0.016025688895526847,67.74193548387096,53.38709677419355,bilibili,,,,,
BV13J3F6SEWr,《明日方舟》限定干员「予愿安洁莉娜」前瞻PV,是安洁莉娜的话，一定没问题！在她为人们带去的五彩斑斓中，总会有一抹属于她的色彩。,161775300.0,明日方舟,2026-07-28T03:00:00+00:00,1174491.0,84451,26611.0,15399.0,9869.0,7502.0,9232.0,https://www.bilibili.com/video/BV13J3F6SEWr,official_public_aggregate,exact_api,2026-09-02T18:57:15.817512+08:00,予愿安洁莉娜,16.129032258064516,96.7741935483871,0.15695309712888392,67.74193548387096,0.048879897759965804,61.29032258064516,0.014247874185498229,54.83870967741935,59.83870967741935,bilibili,,,,,
BV1bHMe6vEJN,《明日方舟》干员「谬因」技能展示PV,"《明日方舟》干员「谬因」技能展示PV

————————————
故事集「丛林症结」限时活动即将开启

更多活动详情内容详见游戏内公告。",161775300.0,明日方舟,2026-07-08T03:00:00+00:00,983293.0,53725,4985.0,4242.0,18508.0,9463.0,3362.0,https://www.bilibili.com/video/BV1bHMe6vEJN,official_public_aggregate,exact_api,2026-09-02T18:57:50.848541+08:00,谬因,3.225806451612903,90.32258064516128,0.0895506222458616,12.903225806451612,0.013697849979609333,12.903225806451612,0.013042907861644495,35.483870967741936,32.096774193548384,bilibili,,,,,
BV145V46REGz,《明日方舟》干员「焰狐龙梓兰」技能展示PV,"《明日方舟》干员「焰狐龙梓兰」技能展示PV

————————————
【明日方舟 × 怪物猎人】SideStory「泡影苍霆」限时活动即将开启

更多活动详情内容详见游戏内公告。",161775300.0,明日方舟,2026-05-29T03:00:00+00:00,1977437.0,100286,16172.0,9840.0,65262.0,23115.0,21212.0,https://www.bilibili.com/video/BV145V46REGz,official_public_aggregate,exact_api,2026-09-02T18:53:00.696764+08:00,焰狐龙梓兰,74.19354838709677,93.54838709677419,0.09992151456658291,25.806451612903224,0.018130539683438713,32.25806451612903,0.0224163905095333,93.54838709677419,62.58064516129032,bilibili,,,,,
BV1ai92BXEND,《明日方舟》限定干员「凯尔希·思衡托」前瞻PV,请相信，在你觉察这片大地的需要时，其意义就已然存在，其进程就已经开始。,161775300.0,明日方舟,2026-04-29T02:00:00+00:00,1250057.0,93822,38062.0,25460.0,11821.0,9236.0,14683.0,https://www.bilibili.com/video/BV1ai92BXEND,official_public_aggregate,exact_api,2026-09-02T18:55:11.126660+08:00,凯尔希·思衡托,32.25806451612903,83.87096774193549,0.19364036999912804,96.7741935483871,0.07118235408465375,100.0,0.019134327474667156,80.64516129032258,76.29032258064515,bilibili,,,,,
BV11W9uBKET7,《明日方舟》干员「怒潮凛冬」技能展示PV,"《明日方舟》干员「怒潮凛冬」技能展示PV

————————————
《明日方舟》SideStory「人们，我们」活动即将开启

更多活动详情内容详见游戏内公告。",161775300.0,明日方舟,2026-04-04T03:00:00+00:00,1452851.0,64791,6372.0,5445.0,31228.0,14037.0,5393.0,https://www.bilibili.com/video/BV11W9uBKET7,official_public_aggregate,exact_api,2026-09-02T18:53:00.696764+08:00,怒潮凛冬,41.935483870967744,80.64516129032258,0.07721163422814865,3.225806451612903,0.011881466165491163,3.225806451612903,0.013373704529920824,38.70967741935484,35.806451612903224,bilibili,,,,,
BV1d1Paz1Eds,《明日方舟》干员「贝洛内」技能展示PV,"《明日方舟》干员「贝洛内」技能展示PV

————————————
故事集「十字路口」限时活动即将开启

更多活动详情内容详见游戏内公告。",161775300.0,明日方舟,2026-03-08T03:00:00+00:00,1172141.0,57454,5903.0,4169.0,20021.0,54780.0,3465.0,https://www.bilibili.com/video/BV1d1Paz1Eds,official_public_aggregate,exact_api,2026-09-02T18:53:00.696764+08:00,贝洛内,12.903225806451612,74.19354838709677,0.13778248521295647,54.83870967741935,0.012149562211372181,6.451612903225806,0.04969112077813164,100.0,46.45161290322581,bilibili,,,,,
BV1zhcTzuEai,《明日方舟》限定干员「望」前瞻PV,"棋盘上未完的胜负与恩怨，终究需要棋手自己落下黑色的句点。
舍小取大......落子无悔。",161775300.0,明日方舟,2026-02-09T03:03:33+00:00,1284705.0,76900,23940.0,16484.0,11655.0,9243.0,8541.0,https://www.bilibili.com/video/BV1zhcTzuEai,official_public_aggregate,exact_api,2026-09-02T18:55:03.290808+08:00,望,35.483870967741936,70.96774193548387,0.1369053595961719,51.61290322580645,0.04429655056997521,54.83870967741935,0.013842866650320501,48.38709677419355,52.58064516129032,bilibili,,,,,
BV1z9FszpEKz,《明日方舟》干员「赤刃明霄陈」前瞻PV,"这片大地，总有我无法企及的过往。
有难解的分歧，有难消的恩怨。
世上矛盾万般，而我，不过是想从中寻出一个公义而已。",161775300.0,明日方舟,2026-02-08T03:00:00+00:00,1596939.0,102168,33760.0,23642.0,21309.0,8723.0,7993.0,https://www.bilibili.com/video/BV1z9FszpEKz,official_public_aggregate,exact_api,2026-09-02T18:54:44.522931+08:00,赤刃明霄陈,61.29032258064516,77.41935483870968,0.1465635193329238,61.29032258064516,0.05074959030996175,70.96774193548387,0.010467525685076261,19.35483870967742,62.58064516129032,bilibili,,,,,
BV1JcifBWEks,《明日方舟》干员「缇缇」技能展示PV,"《明日方舟》干员「缇缇」技能展示PV

————————————
《明日方舟》SideStory「雅赛努斯复仇记」活动即将开启

更多活动详情内容详见游戏内公告。",161775300.0,明日方舟,2026-01-06T03:01:24+00:00,1062017.0,57122,5733.0,4126.0,16666.0,10945.0,3711.0,https://www.bilibili.com/video/BV1JcifBWEks,official_public_aggregate,exact_api,2026-09-02T18:57:09.557348+08:00,缇缇,9.67741935483871,48.38709677419355,0.0895588300375606,16.129032258064516,0.013168339113215702,9.67741935483871,0.013800155741386438,45.16129032258064,24.516129032258068,bilibili,,,,,
BV1BPSaBCEjF,《明日方舟》干员「娜斯提」技能展示PV,"《明日方舟》干员「娜斯提」技能展示PV

————————————
SideStory「未许之地」限时活动即将开启
更多活动详情内容详见游戏内公告。",161775300.0,明日方舟,2025-12-03T02:59:00+00:00,1245262.0,63429,7483.0,5303.0,27913.0,12085.0,7757.0,https://www.bilibili.com/video/BV1BPSaBCEjF,official_public_aggregate,exact_api,2026-09-02T18:57:09.557348+08:00,娜斯提,29.03225806451613,54.83870967741935,0.0891434894825346,9.67741935483871,0.014526260337182054,19.35483870967742,0.015933996219269518,64.51612903225806,32.74193548387097,bilibili,,,,,
BV1E3yUBLE5c,《明日方舟》限定干员「凛御银灰」前瞻PV,"老哥其实从来都没有变过,他还是那个想要保护所有人的""希瓦艾什家主""。",161775300.0,明日方舟,2025-10-29T03:00:29+00:00,1560335.0,85975,26396.0,16481.0,15807.0,15241.0,15366.0,https://www.bilibili.com/video/BV1E3yUBLE5c,official_public_aggregate,exact_api,2026-09-02T18:55:00.949741+08:00,凛御银灰,58.06451612903226,67.74193548387096,0.1296346617873726,48.38709677419355,0.03804183076070203,51.61290322580645,0.019615659457744652,83.87096774193549,59.67741935483871,bilibili,,,,,
BV1NUx2z4EhG,《明日方舟》干员「真言」技能展示PV,"《明日方舟》干员「真言」技能展示PV

————————————
主题曲【反常光谱】开放，限时纪念活动即将开启
更多活动详情内容详见游戏内公告。",161775300.0,明日方舟,2025-10-07T03:00:00+00:00,1523941.0,91723,11306.0,7059.0,40523.0,13511.0,13728.0,https://www.bilibili.com/video/BV1NUx2z4EhG,official_public_aggregate,exact_api,2026-09-02T18:53:00.696764+08:00,真言,54.83870967741935,58.06451612903226,0.10209286317514916,32.25806451612903,0.016683060564680652,29.03225806451613,0.017874051554489314,77.41935483870968,48.387096774193544,bilibili,,,,,
BV1bgacz7E4J,《明日方舟》干员「丰川祥子」技能展示PV,"《明日方舟》干员「丰川祥子」技能展示PV

————————————
【明日方舟 × BanG Dream! Ave Mujica】SideStory「无忧梦呓」限时活动即将开启
更多活动详情内容详见官方自媒体账号。",161775300.0,明日方舟,2025-09-02T02:59:38+00:00,4193672.0,191042,38890.0,24326.0,140349.0,48514.0,45291.0,https://www.bilibili.com/video/BV1bgacz7E4J,official_public_aggregate,exact_api,2026-09-02T18:57:30.589921+08:00,丰川祥子,100.0,87.09677419354838,0.0984556016779567,22.58064516129032,0.020874784675577872,35.483870967741936,0.022368225268928996,90.32258064516128,66.7741935483871,bilibili,,,,,
BV1Zs8DzAE8V,《明日方舟》限定干员「斩业星熊」前瞻pv,"《明日方舟》限定干员「斩业星熊」前瞻pv

过去被抹消的恶鬼
几乎失了神智的恶鬼
我对你，对御机，已经不再有任何奢求
我现在只要一个形式",161775300.0,明日方舟,2025-07-29T03:00:06+00:00,1460680.0,99317,21784.0,12534.0,13355.0,8943.0,14722.0,https://www.bilibili.com/video/BV1Zs8DzAE8V,official_public_aggregate,exact_api,2026-09-02T18:54:32.049908+08:00,斩业星熊,45.16129032258064,41.935483870967744,0.12920591779171345,45.16129032258064,0.03207547169811321,48.38709677419355,0.01620135827148999,70.96774193548387,47.41935483870968,bilibili,,,,,
BV12L3jziE79,《明日方舟》干员「司霆惊蛰」技能展示PV,"《明日方舟》干员「司霆惊蛰」技能展示PV
“剑有缺口，雷有喑时，律法、雷法、剑法，说到底都是惩奸除恶的工具。”

————————————
《明日方舟》故事集「镜中集」即将开放
更多活动详情内容详见官方自媒体账号。",161775300.0,明日方舟,2025-07-04T03:03:42+00:00,1868275.0,98043,11895.0,7434.0,44893.0,17147.0,21303.0,https://www.bilibili.com/video/BV12L3jziE79,official_public_aggregate,exact_api,2026-09-02T18:53:00.696764+08:00,司霆惊蛰,70.96774193548387,45.16129032258064,0.09263786112858118,19.35483870967742,0.01432497892440888,16.129032258064516,0.020580481995423585,87.09677419354838,45.0,bilibili,,,,,
BV1CM7mzPEja,《明日方舟》干员「酒神」技能展示PV,"《明日方舟》干员「酒神」技能展示PV
“猩红剧团的成员从未意识到，拒斥批评，轻视影像，恰恰暴露了他们的怯懦与平庸。”

————————————
《明日方舟》SideStory「红丝绒」即将开放
更多活动详情内容详见官方自媒体账号。",161775300.0,明日方舟,2025-06-02T01:59:02+00:00,2049190.0,103030,13532.0,8416.0,44577.0,17070.0,14644.0,https://www.bilibili.com/video/BV1CM7mzPEja,official_public_aggregate,exact_api,2026-09-02T18:54:41.388029+08:00,酒神,77.41935483870968,51.61290322580645,0.08776784973574925,6.451612903225806,0.014817562061107072,22.58064516129032,0.015476358951585749,58.06451612903226,43.06451612903225,bilibili,,,,,
BV19aGrzREBd,《明日方舟》限定干员「新约能天使」前瞻pv,"老姐，我记得有句老话说：“每位天使的终点都在圣城。”
是啊，我也该回来，把能让你们大吃一惊的典礼补上了！",161775300.0,明日方舟,2025-04-29T02:01:05+00:00,2372361.0,155487,64566.0,44941.0,26630.0,10282.0,22204.0,https://www.bilibili.com/video/BV19aGrzREBd,official_public_aggregate,exact_api,2026-09-02T18:57:14.254107+08:00,新约能天使,93.54838709677419,64.51612903225806,0.1690408837440845,87.09677419354838,0.0651030766396851,96.7741935483871,0.013693531465067922,41.935483870967744,80.0,bilibili,,,,,
