operator,category,respondent_count,purchase_intent_mean,high_intent_share,acceptable_price_median,acceptable_price_p25,acceptable_price_p75,prior_buyer_share,limited_preference_mean,monthly_budget_median,survey_evidence_grade,research_note,demand_score,demand_rank,demand_tier,evidence_confidence,intent_signal,portfolio_score,portfolio_action
维什戴尔,日用生活,3,4.666666666666667,1.0,250.0,225.0,275.0,1.0,4.333333333333333,400.0,D,样本不足，不进入决策,92.5,2,核心商业角色,80.0,87.25,70.42,样本不足，仅作定向访谈候选
维什戴尔,亚克力制品,4,4.0,0.75,135.0,115.0,150.0,1.0,4.0,225.0,D,样本不足，不进入决策,92.5,2,核心商业角色,80.0,71.19642857142857,68.4,样本不足，仅作定向访谈候选
维什戴尔,吧唧（徽章）,4,3.75,0.5,40.0,37.5,45.0,0.75,2.75,200.0,D,样本不足，不进入决策,92.5,2,核心商业角色,80.0,58.44642857142857,63.67,样本不足，仅作定向访谈候选
维什戴尔,毛绒玩偶,1,4.0,1.0,250.0,250.0,250.0,1.0,4.0,750.0,D,样本不足，不进入决策,92.5,2,核心商业角色,80.0,81.875,60.85,样本不足，仅作定向访谈候选
史尔特尔,吧唧（徽章）,2,4.5,1.0,55.0,52.5,57.5,0.5,4.5,475.0,D,样本不足，不进入决策,68.54,13,增长验证角色,57.5,86.75,56.59,样本不足，仅作定向访谈候选
维什戴尔,手办模玩,2,3.5,0.5,1250.0,1125.0,1375.0,1.0,3.5,575.0,D,样本不足，不进入决策,92.5,2,核心商业角色,80.0,56.19642857142857,56.17,样本不足，仅作定向访谈候选
史尔特尔,日用生活,7,3.4285714285714284,0.2857142857142857,200.0,150.0,200.0,0.5714285714285714,3.857142857142857,200.0,D,样本不足，不进入决策,68.54,13,增长验证角色,57.5,45.642857142857146,55.69,进入小批量意向验证
棘刺,亚克力制品,2,4.5,1.0,105.0,82.5,127.5,0.5,3.0,50.0,D,样本不足，不进入决策,65.49,15,增长验证角色,71.75,86.75,55.35,样本不足，仅作定向访谈候选
塞雷娅,毛绒玩偶,3,3.6666666666666665,0.6666666666666666,200.0,200.0,225.0,0.0,4.333333333333333,200.0,D,样本不足，不进入决策,75.28,6,核心商业角色,62.75,64.44642857142857,55.0,样本不足，仅作定向访谈候选
令,毛绒玩偶,2,5.0,1.0,175.0,162.5,187.5,0.0,4.0,475.0,D,样本不足，不进入决策,61.14,21,增长验证角色,54.5,88.875,54.3,样本不足，仅作定向访谈候选
