operator,cross_platform_heat,merch_opportunity_score,confidence_score,bilibili_campaign_views,bilibili_weighted_campaign_views,preference_mentions,weighted_preference_score,first_choice_count,mention_share,skland_content_count,skland_total_views,skland_median_views,skland_total_engagement,skland_interaction_rate,skland_top_content_title,skland_top_content_views,taobao_observed,organic_sku_count,sales_proxy_min,median_price,commercial_heat_score,commerce_confidence_score,content_signal,survey_signal,skland_signal,commerce_signal,scenario_rank_best,scenario_rank_worst,scenario_rank_mean,scenario_rank_std,scenario_rank_range,demand_score,evidence_source_count,evidence_confidence,demand_rank,demand_tier,decision_note
新约能天使,71.93333333333332,69.03666666666666,56.66666666666666,34875843.0,31807694.7565,,,,,16.0,72918.0,694.5,4027.0,0.1445453271725607,六星干员速评【斩业星熊】——新约能天使或成最大赢家？新熊11秒锁血18w输出,27067.0,True,1.0,100.0,104.0,61.42857142857143,68.0,97.66666666666666,,87.3728813559322,100.0,1.0,1.0,1.0,0.0,0.0,94.58,3,70.93,1,核心商业角色,保留观察并补充证据
维什戴尔,,,,,,43.0,91.0,15.0,0.176954732510288,38.0,59880.0,897.0,5402.0,0.1147799683086902,最强的分队与最强的带队——蓝图维什戴尔运营思路,8689.0,,,,,,,,96.09375,88.47457627118644,,2.0,2.0,2.0,0.0,0.0,92.5,2,80.0,2,核心商业角色,用户意愿较强但供给样本不足，优先补采正版SKU
凯尔希·思衡托,69.25,68.4125,56.66666666666666,19570318.0,17733953.931,,,,,7.0,77575.0,2565.0,4798.0,0.0938519866468045,【7周年直播】直播回顾~新干员：凯尔希·思衡托！可露希尔！,43911.0,True,1.0,100.0,69.0,46.42857142857143,68.0,94.33333333333333,,85.08474576271186,50.0,3.0,13.0,5.0,4.47213595499958,10.0,81.89,3,61.93,3,核心商业角色,保留观察并补充证据
凛御银灰,57.23333333333333,54.255,56.66666666666666,19599523.0,16945159.2069,,,,,13.0,64548.0,1232.0,5219.0,0.0783773491580102,凛御银灰组合搭配指南,24477.0,False,0.0,0.0,0.0,0.0,10.0,70.83333333333334,,84.99999999999999,,3.0,7.0,4.6,1.51657508881031,4.0,77.05,2,56.5,4,核心商业角色,保留观察并补充证据
阿米娅,,,,,,27.0,54.0,10.0,0.1111111111111111,14.0,37167.0,1502.5,7893.0,0.162050621808499,【人物志】阿米娅——我会直面，那通向未来的过去,9137.0,,,,,,,,77.5,74.53389830508475,,4.0,9.0,5.8,1.9235384061671346,5.0,76.1,2,71.0,5,核心商业角色,用户意愿较强但供给样本不足，优先补采正版SKU
塞雷娅,,,,,,25.0,52.0,8.0,0.102880658436214,9.0,55300.0,4869.0,5547.0,0.1196408170323296,音律联觉-购票入场注意点和新时装（蕾缪安/塞雷娅/死芒）特邀嘉宾MILI等人,20035.0,,,,,,,,71.171875,79.8728813559322,,6.0,10.0,6.8,1.7888543819998317,4.0,75.28,2,62.75,6,核心商业角色,用户意愿较强但供给样本不足，优先补采正版SKU
予愿安洁莉娜,62.05238095238095,70.445,83.33333333333333,17881769.0,15671307.5523,,,,,5.0,20305.0,3445.0,2282.0,0.1159189333867057,干员测评【予愿安洁莉娜】-全技能落地秒开，18w总伤飞天大C,9697.0,False,0.0,0.0,0.0,0.0,10.0,94.5,,49.40677966101695,,4.0,22.0,10.2,7.463243262818116,18.0,74.72,2,52.5,7,核心商业角色,保留观察并补充证据
焰狐龙梓兰,58.86666666666667,52.07333333333334,56.66666666666666,7735527.0,6761317.0396,,,,,12.0,46129.0,2023.5,3564.0,0.1890140286985282,干员测评【焰狐龙梓兰】-全技能落地秒开，再部署23s的狙,15730.0,False,0.0,0.0,0.0,0.0,10.0,68.33333333333333,,75.59322033898304,,8.0,12.0,10.8,1.788854381999832,4.0,71.52,2,55.0,8,核心商业角色,保留观察并补充证据
赤刃明霄陈,59.33333333333333,58.7,56.66666666666666,13115131.0,12796282.6842,,,,,5.0,25124.0,3156.0,8061.0,0.2463396886929888,一图流测评【赤刃明霄陈】——首个生命值百分比伤害！清杂攻坚无敌位移多位一体,15686.0,False,0.0,0.0,0.0,0.0,10.0,81.0,,59.06779661016949,,8.0,17.0,11.2,4.086563348340509,9.0,71.38,2,44.5,9,核心商业角色,保留观察并补充证据
浊心斯卡蒂,,,,,,32.0,65.0,12.0,0.1316872427983539,5.0,26675.0,3852.0,3617.0,0.1210235845079866,浊心斯卡蒂强度演变史,15204.0,,,,,,,,84.609375,56.440677966101696,,7.0,18.0,10.6,4.505552130427524,11.0,71.32,2,57.5,10,增长验证角色,用户意愿较强但供给样本不足，优先补采正版SKU
能天使,,,,,,35.0,65.0,10.0,0.1440329218106996,12.0,30027.0,1738.0,1557.0,0.1071581157376965,【2024.12】模组升级-综合推荐（史尔特尔、维娜、薇薇安娜、能天使）,6710.0,,,,,,,,83.359375,55.593220338983045,,9.0,19.0,12.2,4.147288270665544,10.0,70.26,2,68.0,11,增长验证角色,用户意愿较强但供给样本不足，优先补采正版SKU
玛恩纳,,,,,,24.0,49.0,8.0,0.0987654320987654,20.0,39054.0,322.5,3086.0,0.1563600181436072,【2025.05】模组升级-综合推荐（玛恩纳、新约能天使、蕾缪安、信仰搅拌机等）,17953.0,,,,,,,,64.609375,74.02542372881356,,12.0,16.0,13.6,1.6733200530681511,4.0,69.05,2,78.5,12,增长验证角色,保留观察并补充证据
史尔特尔,,,,,,40.0,85.0,18.0,0.1646090534979424,5.0,16214.0,1305.0,977.0,0.1348325789855644,六星干员攻略（史尔特尔）,7752.0,,,,,,,,95.3125,38.559322033898304,,4.0,26.0,14.0,8.031189202104505,22.0,68.54,2,57.5,13,增长验证角色,用户意愿较强但供给样本不足，优先补采正版SKU
望,52.1,52.52833333333333,56.66666666666666,5104859.0,4523919.1779,,,,,1.0,78266.0,78266.0,44234.0,0.5651751718498454,一图流测评【望】——围棋戴尔！拥有8炮的散装爆裂黎明！,78266.0,False,0.0,0.0,0.0,0.0,10.0,53.25000000000001,,84.87288135593221,,8.0,20.0,14.2,4.266145801540309,12.0,67.12,2,38.5,14,增长验证角色,保留观察并补充证据
棘刺,,,,,,15.0,32.0,7.0,0.0617283950617283,25.0,75381.0,1202.0,8412.0,0.1413193908632647,【明日方舟】浊燃行动620分镀层10人无潜能要求-简单好抄高容错！好猛的棘刺！,22283.0,,,,,,,,39.0625,95.08474576271185,,5.0,32.0,17.2,9.757048734120374,27.0,65.49,2,71.75,15,增长验证角色,保留观察并补充证据
逻各斯,,,,,,26.0,49.0,6.0,0.1069958847736625,29.0,38369.0,135.0,2093.0,0.1856333490473518,【2025.04】模组升级-综合推荐（伊内丝、逻各斯、泥岩、晓歌、寻澜）,9257.0,,,,,,,,61.40625,69.49152542372882,,15.0,18.0,16.6,1.341640786499874,3.0,65.22,2,80.0,16,增长验证角色,保留观察并补充证据
结城理,52.1,50.19499999999999,56.66666666666666,7695347.0,6696607.5231,,,,,7.0,69441.0,6431.0,26891.0,0.2086255272512789,「结城理」培养专精攻略一图流,27192.0,False,0.0,0.0,0.0,0.0,10.0,49.75000000000001,,84.83050847457626,,11.0,23.0,16.8,4.266145801540309,12.0,65.14,2,47.5,17,增长验证角色,保留观察并补充证据
凯尔希,,,,,,26.0,43.0,4.0,0.1069958847736625,20.0,69587.0,1519.0,4356.0,0.0875367552253219,【异格凯尔希】一些你可能不知道的小技巧&小知识,24550.0,,,,,,,,43.515625,87.92372881355934,,10.0,30.0,19.2,7.259476565152615,20.0,64.46,2,80.0,18,增长验证角色,保留观察并补充证据
维娜·维多利亚,60.266666666666666,61.45333333333333,56.66666666666666,7001136.0,6415018.2239,,,,,6.0,12130.0,1305.5,430.0,0.0317280815657378,六星干员简评【维娜·维多利亚🦁】7w真伤打4！全新版本的黄色幻神,6362.0,False,0.0,0.0,0.0,0.0,10.0,88.83333333333333,,27.796610169491526,,9.0,37.0,22.4,10.382677881933928,28.0,62.06,2,46.0,19,增长验证角色,保留观察并补充证据
荒芜拉普兰德,52.45,58.51916666666666,56.66666666666666,15078380.0,13140149.6917,,,,,10.0,36235.0,2023.5,2930.0,0.1067358037584822,【2024.11】模组升级-综合推荐（阿尔图罗、荒芜拉普兰德、忍冬等）,11137.0,True,1.0,100.0,69.0,46.42857142857143,68.0,64.66666666666666,,65.72033898305084,50.0,19.0,28.0,21.6,3.6469165057620936,9.0,61.98,3,64.93,20,增长验证角色,保留观察并补充证据
