operator,video_count,total_views,views_per_day,engagement_rate,favorite_rate,share_rate,heat_score,heat_rank
予愿安洁莉娜,1,1169000,32910.26392961876,0.14765312232677502,0.01283147989734816,0.0,77.5,1
荒芜拉普兰德,1,1204000,1792.9452110644997,0.16154485049833886,0.016611295681063124,0.0,69.5,2
望,1,1284000,6278.164705730554,0.12559890965732087,0.012461059190031152,0.0,63.0,3
余,1,1041000,1765.7239717803457,0.15417867435158503,0.01440922190201729,0.0,61.0,4
纯烬艾雅法拉,1,1601000,1414.9037522806366,0.1951905059337914,0.014366021236727046,0.0,53.5,5
凛御银灰,1,1554000,5053.321686513595,0.11422136422136422,0.010296010296010296,0.0,50.0,6
斩业星熊,1,1460000,3654.378275082699,0.12089041095890411,0.008904109589041096,0.0,47.5,7
缄默德克萨斯,1,2062000,1468.1164835549337,0.1469447138700291,0.013579049466537343,0.0,44.0,8
重岳,1,2329000,1755.7206351200666,0.14104765993988835,0.0124516960068699,0.0,40.5,9
佩佩,1,1478000,1935.7827854381899,0.10862144790257104,0.007442489851150203,0.0,36.0,10
