operator,scenario,scenario_score,scenario_rank,scenario_rank_best,scenario_rank_worst,scenario_rank_mean,scenario_rank_std,scenario_rank_range
新约能天使,balanced,94.57854676710606,1.0,1.0,1.0,1.0,0.0,0.0
维什戴尔,balanced,92.49980012791812,2.0,2.0,2.0,2.0,0.0,0.0
凯尔希·思衡托,balanced,81.8859070935342,3.0,3.0,13.0,5.0,4.47213595499958,10.0
凛御银灰,balanced,77.046783625731,4.0,3.0,7.0,4.6,1.51657508881031,4.0
阿米娅,balanced,76.10089542692677,5.0,4.0,9.0,5.8,1.9235384061671346,5.0
塞雷娅,balanced,75.2761232811001,6.0,6.0,10.0,6.8,1.7888543819998317,4.0
予愿安洁莉娜,balanced,74.72227178114778,7.0,4.0,22.0,10.2,7.463243262818116,18.0
焰狐龙梓兰,balanced,71.51749430072356,8.0,8.0,12.0,10.8,1.788854381999832,4.0
赤刃明霄陈,balanced,71.38061254831995,9.0,8.0,17.0,11.2,4.086563348340509,9.0
浊心斯卡蒂,balanced,71.32225375759513,10.0,7.0,18.0,10.6,4.505552130427524,11.0
能天使,balanced,70.26213223536935,11.0,9.0,19.0,12.2,4.147288270665544,10.0
玛恩纳,balanced,69.05090741925169,12.0,12.0,16.0,13.6,1.6733200530681511,4.0
史尔特尔,balanced,68.5421330348577,13.0,4.0,26.0,14.0,8.031189202104505,22.0
望,balanced,67.11968480523342,14.0,8.0,20.0,14.2,4.266145801540309,12.0
棘刺,balanced,65.48808762392069,15.0,5.0,32.0,17.2,9.757048734120374,27.0
逻各斯,balanced,65.22005916213622,16.0,15.0,18.0,16.6,1.341640786499874,3.0
结城理,balanced,65.13618792744573,17.0,11.0,23.0,16.8,4.266145801540309,12.0
凯尔希,balanced,64.46284377998082,18.0,10.0,30.0,19.2,7.259476565152615,20.0
维娜·维多利亚,balanced,62.062840717613234,19.0,9.0,37.0,22.4,10.382677881933928,28.0
荒芜拉普兰德,balanced,61.97696955430005,20.0,19.0,28.0,21.6,3.6469165057620936,9.0
令,balanced,61.13717220978574,21.0,11.0,36.0,21.8,9.311283477587825,25.0
纯烬艾雅法拉,balanced,60.52998314996531,22.0,10.0,38.0,24.2,10.305338422390601,28.0
W,balanced,60.390625,23.0,22.0,24.0,23.0,0.7071067811865476,2.0
斩业星熊,balanced,60.33026067994845,24.0,13.0,29.0,21.8,6.058052492344384,16.0
德克萨斯,balanced,60.13251519027823,25.0,8.0,39.0,23.4,11.458621208504974,31.0
Mon3tr,balanced,58.97204876598275,26.0,24.0,26.0,25.2,0.8366600265340757,2.0
泥岩,balanced,58.669951231212025,27.0,25.0,27.0,25.8,0.8366600265340756,2.0
死芒,balanced,58.123203488948356,28.0,15.0,30.0,24.6,5.941380311005179,15.0
酒神,balanced,57.134701159678855,29.0,7.0,34.0,24.2,10.52140675005011,27.0
重岳,balanced,56.208097928436906,30.0,28.0,31.0,29.6,1.1401754250991376,3.0
真言,balanced,54.30949549013777,31.0,21.0,32.0,28.6,4.505552130427524,11.0
归溟幽灵鲨,balanced,53.202844682327274,32.0,21.0,40.0,32.0,6.9641941385920605,19.0
幽灵鲨,balanced,48.15837863767189,33.0,20.0,51.0,34.4,11.036303729057115,31.0
银灰,balanced,47.11014950431724,34.0,27.0,41.0,34.0,5.0,14.0
温蒂,balanced,44.81671730092741,35.0,34.0,41.0,36.0,2.9154759474226504,7.0
斯卡蒂,balanced,44.31653741605373,36.0,33.0,44.0,37.2,4.086563348340509,11.0
司霆惊蛰,balanced,44.17489344831004,37.0,30.0,41.0,36.4,3.9749213828703587,11.0
贝洛内,balanced,42.208791753394785,38.0,34.0,42.0,38.2,2.863564212655271,8.0
拉普兰德,balanced,41.654641029740965,39.0,36.0,49.0,40.4,5.029910535983716,13.0
塑心,balanced,41.051937753989485,40.0,33.0,43.0,39.2,3.768288736283354,10.0
缪尔赛思,balanced,40.71599368560983,41.0,38.0,46.0,41.4,2.9664793948382644,8.0
佩佩,balanced,39.7291109128754,42.0,31.0,45.0,40.0,5.3385391260156565,14.0
黍,balanced,39.633233632436024,43.0,31.0,50.0,43.2,7.563068160475615,19.0
娜斯提,balanced,37.4353751610665,44.0,28.0,49.0,41.6,7.956129712366435,21.0
缄默德克萨斯,balanced,34.68574685300822,45.0,39.0,54.0,46.2,5.449770637375485,15.0
缇缇,balanced,33.61383685201704,46.0,32.0,55.0,44.8,8.228000972289685,23.0
锏,balanced,32.81120083146786,47.0,44.0,47.0,46.4,1.3416407864998738,3.0
