candidate_id,candidate_rank,operator_category_rank,operator,base_operator,category,pilot_score,cross_platform_heat,commercial_heat_score,confidence_score,weighted_preference_score,mention_share,operator_rank,survey_role_score,respondent_count,buyer_share,purchase_intent_mean,high_intent_share,median_acceptable_price,median_preorder_days,category_intent_score,targeted_respondent_count,targeted_purchase_intent_mean,targeted_high_intent_share,targeted_acceptable_price_median,evidence_status,decision_note,data_type,is_simulated
CAND-001,1,1,新约能天使,能天使,毛绒玩偶,69.0211169467787,71.93333333333332,61.42857142857143,56.66666666666666,65.0,0.1440329218106996,5.0,84.375,34,0.5588235294117647,3.588235294117647,0.5588235294117647,200.0,45.0,54.705882352941174,2,3.5,0.5,175.0,needs_targeted_research,需先补充角色×品类专项样本,decision_support_from_real_aggregate,False
CAND-002,2,2,新约能天使,能天使,亚克力制品,68.76175865800866,71.93333333333332,61.42857142857143,56.66666666666666,65.0,0.1440329218106996,5.0,84.375,44,0.4318181818181818,3.227272727272727,0.4090909090909091,100.0,45.0,53.40909090909092,2,2.0,0.0,60.0,needs_targeted_research,需先补充角色×品类专项样本,decision_support_from_real_aggregate,False
CAND-003,3,3,新约能天使,能天使,手办模玩,68.04234649122807,71.93333333333332,61.42857142857143,56.66666666666666,65.0,0.1440329218106996,5.0,84.375,38,0.5263157894736842,3.236842105263158,0.3947368421052631,1000.0,45.0,49.81203007518798,0,,,,needs_targeted_research,需先补充角色×品类专项样本,decision_support_from_real_aggregate,False
CAND-004,4,4,新约能天使,能天使,日用生活,67.96229341736695,71.93333333333332,61.42857142857143,56.66666666666666,65.0,0.1440329218106996,5.0,84.375,34,0.5294117647058824,3.5294117647058822,0.4705882352941176,200.0,45.0,49.41176470588234,1,2.0,0.0,300.0,needs_targeted_research,需先补充角色×品类专项样本,decision_support_from_real_aggregate,False
CAND-005,5,5,新约能天使,能天使,装饰摆件,67.3133899535424,71.93333333333332,61.42857142857143,56.66666666666666,65.0,0.1440329218106996,5.0,84.375,41,0.4390243902439024,3.1707317073170733,0.3170731707317073,150.0,45.0,46.16724738675958,2,2.0,0.0,125.0,needs_targeted_research,需先补充角色×品类专项样本,decision_support_from_real_aggregate,False
CAND-006,6,6,新约能天使,能天使,吧唧（徽章）,66.66029761904763,71.93333333333332,61.42857142857143,56.66666666666666,65.0,0.1440329218106996,5.0,84.375,32,0.40625,3.5625,0.5,50.0,45.0,42.901785714285715,2,3.5,0.5,35.0,needs_targeted_research,需先补充角色×品类专项样本,decision_support_from_real_aggregate,False
CAND-007,7,7,新约能天使,能天使,通行证,65.95136904761905,71.93333333333332,61.42857142857143,56.66666666666666,65.0,0.1440329218106996,5.0,84.375,20,0.3,3.4,0.55,70.0,75.0,39.357142857142854,1,3.0,0.0,50.0,needs_targeted_research,需先补充角色×品类专项样本,decision_support_from_real_aggregate,False
CAND-008,8,1,缄默德克萨斯,德克萨斯,毛绒玩偶,59.47534313725489,51.04999999999999,0.0,56.66666666666666,97.0,0.1810699588477366,1.0,100.0,34,0.5588235294117647,3.588235294117647,0.5588235294117647,200.0,45.0,54.705882352941174,2,4.0,1.0,175.0,needs_targeted_research,需先补充角色×品类专项样本,decision_support_from_real_aggregate,False
CAND-009,9,2,缄默德克萨斯,德克萨斯,亚克力制品,59.215984848484844,51.04999999999999,0.0,56.66666666666666,97.0,0.1810699588477366,1.0,100.0,44,0.4318181818181818,3.227272727272727,0.4090909090909091,100.0,45.0,53.40909090909092,6,2.1666666666666665,0.0,100.0,needs_targeted_research,需先补充角色×品类专项样本,decision_support_from_real_aggregate,False
CAND-010,10,3,缄默德克萨斯,德克萨斯,手办模玩,58.49657268170425,51.04999999999999,0.0,56.66666666666666,97.0,0.1810699588477366,1.0,100.0,38,0.5263157894736842,3.236842105263158,0.3947368421052631,1000.0,45.0,49.81203007518798,2,2.5,0.0,800.0,needs_targeted_research,需先补充角色×品类专项样本,decision_support_from_real_aggregate,False
CAND-011,11,4,缄默德克萨斯,德克萨斯,日用生活,58.41651960784313,51.04999999999999,0.0,56.66666666666666,97.0,0.1810699588477366,1.0,100.0,34,0.5294117647058824,3.5294117647058822,0.4705882352941176,200.0,45.0,49.41176470588234,1,4.0,1.0,300.0,needs_targeted_research,需先补充角色×品类专项样本,decision_support_from_real_aggregate,False
CAND-012,12,5,缄默德克萨斯,德克萨斯,装饰摆件,57.767616144018575,51.04999999999999,0.0,56.66666666666666,97.0,0.1810699588477366,1.0,100.0,41,0.4390243902439024,3.1707317073170733,0.3170731707317073,150.0,45.0,46.16724738675958,2,4.0,1.0,175.0,needs_targeted_research,需先补充角色×品类专项样本,decision_support_from_real_aggregate,False
CAND-013,13,1,归溟幽灵鲨,幽灵鲨,毛绒玩偶,57.692426470588224,57.11666666666666,0.0,56.66666666666666,65.0,0.1193415637860082,5.0,84.375,34,0.5588235294117647,3.588235294117647,0.5588235294117647,200.0,45.0,54.705882352941174,4,4.0,0.75,200.0,needs_targeted_research,需先补充角色×品类专项样本,decision_support_from_real_aggregate,False
CAND-014,14,2,归溟幽灵鲨,幽灵鲨,亚克力制品,57.43306818181818,57.11666666666666,0.0,56.66666666666666,65.0,0.1193415637860082,5.0,84.375,44,0.4318181818181818,3.227272727272727,0.4090909090909091,100.0,45.0,53.40909090909092,0,,,,needs_targeted_research,需先补充角色×品类专项样本,decision_support_from_real_aggregate,False
CAND-015,15,1,凯尔希·思衡托,凯尔希,毛绒玩偶,57.20695028011204,69.25,46.42857142857143,56.66666666666666,43.0,0.1069958847736625,18.0,46.875,34,0.5588235294117647,3.588235294117647,0.5588235294117647,200.0,45.0,54.705882352941174,1,3.0,0.0,200.0,needs_targeted_research,需先补充角色×品类专项样本,decision_support_from_real_aggregate,False
CAND-016,16,6,缄默德克萨斯,德克萨斯,吧唧（徽章）,57.1145238095238,51.04999999999999,0.0,56.66666666666666,97.0,0.1810699588477366,1.0,100.0,32,0.40625,3.5625,0.5,50.0,45.0,42.901785714285715,2,4.0,0.5,35.0,needs_targeted_research,需先补充角色×品类专项样本,decision_support_from_real_aggregate,False
CAND-017,17,2,凯尔希·思衡托,凯尔希,亚克力制品,56.947591991341994,69.25,46.42857142857143,56.66666666666666,43.0,0.1069958847736625,18.0,46.875,44,0.4318181818181818,3.227272727272727,0.4090909090909091,100.0,45.0,53.40909090909092,1,2.0,0.0,60.0,needs_targeted_research,需先补充角色×品类专项样本,decision_support_from_real_aggregate,False
CAND-018,18,3,归溟幽灵鲨,幽灵鲨,手办模玩,56.713656015037586,57.11666666666666,0.0,56.66666666666666,65.0,0.1193415637860082,5.0,84.375,38,0.5263157894736842,3.236842105263158,0.3947368421052631,1000.0,45.0,49.81203007518798,3,3.6666666666666665,0.6666666666666666,1000.0,needs_targeted_research,需先补充角色×品类专项样本,decision_support_from_real_aggregate,False
CAND-019,19,4,归溟幽灵鲨,幽灵鲨,日用生活,56.63360294117646,57.11666666666666,0.0,56.66666666666666,65.0,0.1193415637860082,5.0,84.375,34,0.5294117647058824,3.5294117647058822,0.4705882352941176,200.0,45.0,49.41176470588234,0,,,,needs_targeted_research,需先补充角色×品类专项样本,decision_support_from_real_aggregate,False
CAND-020,20,7,缄默德克萨斯,德克萨斯,通行证,56.40559523809523,51.04999999999999,0.0,56.66666666666666,97.0,0.1810699588477366,1.0,100.0,20,0.3,3.4,0.55,70.0,75.0,39.357142857142854,2,3.0,0.5,65.0,needs_targeted_research,需先补充角色×品类专项样本,decision_support_from_real_aggregate,False
CAND-021,21,3,凯尔希·思衡托,凯尔希,手办模玩,56.2281798245614,69.25,46.42857142857143,56.66666666666666,43.0,0.1069958847736625,18.0,46.875,38,0.5263157894736842,3.236842105263158,0.3947368421052631,1000.0,45.0,49.81203007518798,0,,,,needs_targeted_research,需先补充角色×品类专项样本,decision_support_from_real_aggregate,False
