external_sku_id,item_id,product_title,operator,category,rights_type,fulfillment_type,list_price,sales_proxy_min,rank,query,snapshot_at,source_url,capture_count,data_quality_score,data_quality_grade,maintenance_priority,maintenance_status,maintenance_action,identity_review_required,missing_identifier,missing_title,missing_url,missing_price,operator_unassigned,rights_unverified,fulfillment_unknown,duplicate_capture,price_outlier,data_source,is_simulated
TB-823963830706,823963830706,明日方舟镭射扑克牌维什戴尔佩佩逻各斯黍塑心花切收藏卡牌周边 扑克牌 维什 ¥ 28 .41 补贴后 100+人收货 安徽 合肥 淘金币已抵1.49元 退货宝 包邮 6年老店 漫游丶文创空间,未归因,其他正版周边,未标明,未标明,28.41,100.0,6,明日方舟 周边,2026-09-02 03:55:00+00:00,https://item.taobao.com/item.htm?id=823963830706,1,62.0,C,P1-待核验,待处理,核验官方或授权资质；补充角色归因；补充现货或预售状态；复核多角色或同链接规格冲突，不能按单一角色归因销量,True,False,False,False,False,True,True,True,False,False,taobao_public_search_snapshot,False
TB-1014270593927,1014270593927,浅草萌物原创-明日方舟-新约能天使 二次元游戏动漫周边等身抱枕 能天使 等身抱枕 2way ¥ 114 优惠后 1人收货 浙江 金华 退货宝 包邮 浅草萌物,新约能天使,毛绒玩偶,同人原创,未标明,114.0,1.0,45,明日方舟 新约能天使 周边,2026-09-02 03:46:26+00:00,https://item.taobao.com/item.htm?id=1014270593927,1,64.0,C,P1-待核验,待处理,核验官方或授权资质；补充现货或预售状态；复核规格、套装与价格单位,False,False,False,False,False,False,True,True,False,True,taobao_public_search_snapshot,False
TB-1002606165467,1002606165467,明日方舟周边游戏同人玩偶陈棉花娃娃10cm印花体毛绒公仔努努挂件 陈 吊饰/挂件 男女通用 ¥ 23 2人收货 河北 保定 包邮 娃妈优选店,新约能天使,毛绒玩偶,同人原创,未标明,23.0,2.0,29,明日方舟 新约能天使 周边,2026-09-02 03:46:26+00:00,https://item.taobao.com/item.htm?id=1002606165467,1,72.0,C,P1-待核验,待处理,核验官方或授权资质；补充现货或预售状态,False,False,False,False,False,False,True,True,False,False,taobao_public_search_snapshot,False
TB-1012838094517,1012838094517,【明日方舟·花钱&衡钱】金属珐琅界园志异肉鸽挂件痛包漫展周边 ¥ 18 95人收货 福建 泉州 退货宝 包邮 5年老店 吃谷联盟,nan,装饰摆件,未标明,未标明,18.0,95.0,27,明日方舟 周边,2026-09-02 03:55:00+00:00,https://item.taobao.com/item.htm?id=1012838094517,1,72.0,C,P1-待核验,待处理,核验官方或授权资质；补充现货或预售状态,False,False,False,False,False,False,True,True,False,False,taobao_public_search_snapshot,False
TB-1017330437805,1017330437805,苹果乐毛绒挂件明日方舟游戏周边 新约能天使毛绒挂件 限量发售 苹果乐 ¥ 42 .8 4人收货 广东 深圳 包邮 玫瑰西瓜冰,新约能天使,毛绒玩偶,未标明,未标明,42.8,4.0,20,明日方舟 新约能天使 周边,2026-09-02 03:46:26+00:00,https://item.taobao.com/item.htm?id=1017330437805,1,72.0,C,P1-待核验,待处理,核验官方或授权资质；补充现货或预售状态,False,False,False,False,False,False,True,True,False,False,taobao_public_search_snapshot,False
TB-1021080690898,1021080690898,明日方舟星熊毛绒玩偶周边10cm印花体棉花娃娃二次元游戏公仔挂件 星熊 吊饰/挂件 男女通用 ¥ 23 2人收货 河北 保定 包邮 娃妈优选店,新约能天使,毛绒玩偶,未标明,未标明,23.0,2.0,28,明日方舟 新约能天使 周边,2026-09-02 03:46:26+00:00,https://item.taobao.com/item.htm?id=1021080690898,1,72.0,C,P1-待核验,待处理,核验官方或授权资质；补充现货或预售状态,False,False,False,False,False,False,True,True,False,False,taobao_public_search_snapshot,False
TB-1027432207191,1027432207191,苹果乐毛绒挂件明日方舟游戏周边 新约能天使毛绒挂件 ¥ 41 .88 4人收货 浙江 金华 包邮 哲猫生活馆,新约能天使,毛绒玩偶,未标明,未标明,41.88,4.0,18,明日方舟 新约能天使 周边,2026-09-02 03:46:26+00:00,https://item.taobao.com/item.htm?id=1027432207191,1,72.0,C,P1-待核验,待处理,核验官方或授权资质；补充现货或预售状态,False,False,False,False,False,False,True,True,False,False,taobao_public_search_snapshot,False
TB-1039904650841,1039904650841,明日同方舟cosplay新约能天使二次元短袖t风衣卫衣jk短裙漫展常服 仅限线上销售 涤纶 秋季 ¥ 88 3人收货 福建 宁德 退货宝 包邮 漫贸,新约能天使,日用生活,未标明,未标明,88.0,3.0,27,明日方舟 新约能天使 周边,2026-09-02 03:46:26+00:00,https://item.taobao.com/item.htm?id=1039904650841,1,72.0,C,P1-待核验,待处理,核验官方或授权资质；补充现货或预售状态,False,False,False,False,False,False,True,True,False,False,taobao_public_search_snapshot,False
TB-1041034768550,1041034768550,凯尔希等身抱枕mon3tr靠枕m3阿能天使谷子明日方舟令黍姐夕宝周边 凯尔希/mon3tr/m3/能天使/新约能天使/阿能/令姐/黍姐/夕宝/诗怀雅/蕾缪安 等身抱枕 桃皮绒、毛毛绒、2WAY ¥ 54 .12 优惠后 2人收货 广东 佛山 30天价保 包邮 公益宝贝 7年老店 小毛动漫二次元,新约能天使,毛绒玩偶,未标明,未标明,54.12,2.0,32,明日方舟 新约能天使 周边,2026-09-02 03:46:26+00:00,https://item.taobao.com/item.htm?id=1041034768550,1,72.0,C,P1-待核验,待处理,核验官方或授权资质；补充现货或预售状态；复核多角色或同链接规格冲突，不能按单一角色归因销量,True,False,False,False,False,False,True,True,False,False,taobao_public_search_snapshot,False
TB-1043973319048,1043973319048,苹果乐毛绒挂件明日方舟游戏周边 新约能天使毛绒挂件 限量发售 苹果乐 ¥ 41 .88 2人收货 浙江 金华 包邮 清喜小仓铺,新约能天使,毛绒玩偶,未标明,未标明,41.88,2.0,36,明日方舟 新约能天使 周边,2026-09-02 03:46:26+00:00,https://item.taobao.com/item.htm?id=1043973319048,1,72.0,C,P1-待核验,待处理,核验官方或授权资质；补充现货或预售状态,False,False,False,False,False,False,True,True,False,False,taobao_public_search_snapshot,False
