field_name,field_name_cn,business_definition,validation_rule
spu_code,SPU编码,同一角色商品集合的稳定编码,非空且唯一对应一个角色
sku_code,SKU编码,可独立库存与销售的商品编码,非空、全表唯一
product_name,商品名称,角色名与标准品类组成的规范名称,非空
operator,角色,周边对应的《明日方舟》角色,必须来自角色主数据
category,标准品类,统一后的七类正版周边,必须命中品类字典
rights_type,授权属性,官方、授权、同人或未核验,公开商品未核验时进入维护队列
supplier_id,供应商编码,内部采购供应商标识,内部SKU非空
list_price,标准售价,商品对外标价,大于0
unit_cost,单位成本,模拟ERP采购成本,大于等于0且小于售价
gross_margin_rate,毛利率,(售价-成本)/售价,0至1
fulfillment_type,履约类型,现货、预售或补款,公开商品建议明确
lifecycle_stage,生命周期,规划、在售、停售或归档,与销售状态一致
safety_stock,安全库存,应对需求波动的缓冲库存,大于等于0
reorder_point,再订货点,触发补货的库存位置,不低于安全库存
source_url,来源链接,公开商品的可追溯页面,公开商品非空
snapshot_at,快照时间,公开页面采集时间,公开商品非空
data_quality_score,数据质量分,字段完整性与业务规则综合评分,0至100
maintenance_action,维护动作,下一步需要补充或校正的信息,异常记录非空
is_simulated,模拟标记,区分模拟ERP与公开真实快照,必须明确
