external_sku_id,operator,category,rights_type,fulfillment_type,list_price,data_quality_score,data_quality_grade,maintenance_priority,maintenance_action,source_url,snapshot_at
TB-823963830706,未归因,其他正版周边,未标明,未标明,28.41,62.0,C,P1-待核验,核验官方或授权资质；补充角色归因；补充现货或预售状态；复核多角色或同链接规格冲突，不能按单一角色归因销量,https://item.taobao.com/item.htm?id=823963830706,2026-09-02 03:55:00+00:00
TB-1014270593927,新约能天使,毛绒玩偶,同人原创,未标明,114.0,64.0,C,P1-待核验,核验官方或授权资质；补充现货或预售状态；复核规格、套装与价格单位,https://item.taobao.com/item.htm?id=1014270593927,2026-09-02 03:46:26+00:00
TB-1002606165467,新约能天使,毛绒玩偶,同人原创,未标明,23.0,72.0,C,P1-待核验,核验官方或授权资质；补充现货或预售状态,https://item.taobao.com/item.htm?id=1002606165467,2026-09-02 03:46:26+00:00
TB-1012838094517,nan,装饰摆件,未标明,未标明,18.0,72.0,C,P1-待核验,核验官方或授权资质；补充现货或预售状态,https://item.taobao.com/item.htm?id=1012838094517,2026-09-02 03:55:00+00:00
TB-1017330437805,新约能天使,毛绒玩偶,未标明,未标明,42.8,72.0,C,P1-待核验,核验官方或授权资质；补充现货或预售状态,https://item.taobao.com/item.htm?id=1017330437805,2026-09-02 03:46:26+00:00
TB-1021080690898,新约能天使,毛绒玩偶,未标明,未标明,23.0,72.0,C,P1-待核验,核验官方或授权资质；补充现货或预售状态,https://item.taobao.com/item.htm?id=1021080690898,2026-09-02 03:46:26+00:00
TB-1027432207191,新约能天使,毛绒玩偶,未标明,未标明,41.88,72.0,C,P1-待核验,核验官方或授权资质；补充现货或预售状态,https://item.taobao.com/item.htm?id=1027432207191,2026-09-02 03:46:26+00:00
TB-1039904650841,新约能天使,日用生活,未标明,未标明,88.0,72.0,C,P1-待核验,核验官方或授权资质；补充现货或预售状态,https://item.taobao.com/item.htm?id=1039904650841,2026-09-02 03:46:26+00:00
TB-1041034768550,新约能天使,毛绒玩偶,未标明,未标明,54.12,72.0,C,P1-待核验,核验官方或授权资质；补充现货或预售状态；复核多角色或同链接规格冲突，不能按单一角色归因销量,https://item.taobao.com/item.htm?id=1041034768550,2026-09-02 03:46:26+00:00
TB-1043973319048,新约能天使,毛绒玩偶,未标明,未标明,41.88,72.0,C,P1-待核验,核验官方或授权资质；补充现货或预售状态,https://item.taobao.com/item.htm?id=1043973319048,2026-09-02 03:46:26+00:00
TB-1047482947398,nan,亚克力制品,未标明,未标明,12.0,72.0,C,P1-待核验,核验官方或授权资质；补充现货或预售状态,https://item.taobao.com/item.htm?id=1047482947398,2026-09-02 03:55:00+00:00
TB-1047579708754,新约能天使,毛绒玩偶,同人原创,未标明,20.0,72.0,C,P1-待核验,核验官方或授权资质；补充现货或预售状态,https://item.taobao.com/item.htm?id=1047579708754,2026-09-02 03:46:26+00:00
TB-1048481342377,新约能天使,毛绒玩偶,未标明,未标明,41.9,72.0,C,P1-待核验,核验官方或授权资质；补充现货或预售状态,https://item.taobao.com/item.htm?id=1048481342377,2026-09-02 03:46:26+00:00
TB-1048831428301,nan,毛绒玩偶,未标明,未标明,25.8,72.0,C,P1-待核验,核验官方或授权资质；补充现货或预售状态,https://item.taobao.com/item.htm?id=1048831428301,2026-09-02 03:55:00+00:00
TB-1055168804190,nan,毛绒玩偶,未标明,未标明,9.9,72.0,C,P1-待核验,核验官方或授权资质；补充现货或预售状态,https://item.taobao.com/item.htm?id=1055168804190,2026-09-02 03:55:00+00:00
TB-1057364683222,新约能天使,吧唧（徽章）,同人原创,未标明,19.95,72.0,C,P1-待核验,核验官方或授权资质；补充现货或预售状态,https://item.taobao.com/item.htm?id=1057364683222,2026-09-02 03:46:26+00:00
TB-1059412986961,新约能天使,其他正版周边,同人原创,未标明,13.18,72.0,C,P1-待核验,核验官方或授权资质；补充现货或预售状态,https://item.taobao.com/item.htm?id=1059412986961,2026-09-02 03:46:26+00:00
TB-1066720116463,nan,亚克力制品,同人原创,未标明,39.2,72.0,C,P1-待核验,核验官方或授权资质；补充现货或预售状态,https://item.taobao.com/item.htm?id=1066720116463,2026-09-02 03:55:00+00:00
TB-918949083498,新约能天使,日用生活,同人原创,未标明,20.37,72.0,C,P1-待核验,核验官方或授权资质；补充现货或预售状态,https://item.taobao.com/item.htm?id=918949083498,2026-09-02 03:46:26+00:00
