operator,category,respondent_count,purchase_intent_mean,high_intent_share,acceptable_price_median,acceptable_price_p25,acceptable_price_p75,prior_buyer_share,limited_preference_mean,monthly_budget_median,survey_evidence_grade,research_note
焰狐龙梓兰,亚克力制品,4,4.25,1.0,67.0,64.25,70.0,1.0,4.25,110.0,D,样本不足，不进入决策
予愿安洁莉娜,毛绒玩偶,3,4.0,1.0,70.0,70.0,98.0,1.0,4.0,60.0,D,样本不足，不进入决策
缄默德克萨斯,亚克力制品,3,4.666666666666667,1.0,65.0,58.5,69.0,0.6666666666666666,4.0,90.0,D,样本不足，不进入决策
予愿安洁莉娜,吧唧（徽章）,2,4.0,1.0,23.0,21.5,24.5,0.5,3.5,75.0,D,样本不足，不进入决策
凛御银灰,吧唧（徽章）,2,4.0,1.0,25.5,25.25,25.75,1.0,3.5,125.0,D,样本不足，不进入决策
凯尔希·思衡托,通行证,2,4.5,1.0,55.5,54.75,56.25,1.0,4.0,55.0,D,样本不足，不进入决策
司霆惊蛰,吧唧（徽章）,2,4.5,1.0,24.5,24.25,24.75,1.0,4.5,115.0,D,样本不足，不进入决策
死芒,吧唧（徽章）,2,4.0,1.0,23.5,23.25,23.75,0.5,3.0,95.0,D,样本不足，不进入决策
真言,毛绒玩偶,2,4.0,1.0,103.5,97.75,109.25,1.0,4.0,90.0,D,样本不足，不进入决策
酒神,亚克力制品,2,4.5,1.0,64.0,62.0,66.0,1.0,4.0,85.0,D,样本不足，不进入决策
重岳,通行证,2,4.0,1.0,35.5,28.25,42.75,0.5,4.5,25.0,D,样本不足，不进入决策
予愿安洁莉娜,手办模玩,1,4.0,1.0,384.0,384.0,384.0,1.0,4.0,70.0,D,样本不足，不进入决策
予愿安洁莉娜,装饰摆件,1,4.0,1.0,57.0,57.0,57.0,1.0,4.0,50.0,D,样本不足，不进入决策
凛御银灰,毛绒玩偶,1,4.0,1.0,115.0,115.0,115.0,1.0,4.0,100.0,D,样本不足，不进入决策
凯尔希·思衡托,吧唧（徽章）,1,4.0,1.0,23.0,23.0,23.0,1.0,3.0,60.0,D,样本不足，不进入决策
塑心,吧唧（徽章）,1,5.0,1.0,28.0,28.0,28.0,1.0,4.0,50.0,D,样本不足，不进入决策
塑心,毛绒玩偶,1,4.0,1.0,165.0,165.0,165.0,1.0,3.0,150.0,D,样本不足，不进入决策
娜斯提,吧唧（徽章）,1,4.0,1.0,25.0,25.0,25.0,1.0,4.0,110.0,D,样本不足，不进入决策
娜斯提,通行证,1,5.0,1.0,59.0,59.0,59.0,1.0,4.0,90.0,D,样本不足，不进入决策
归溟幽灵鲨,亚克力制品,1,4.0,1.0,58.0,58.0,58.0,1.0,4.0,100.0,D,样本不足，不进入决策
归溟幽灵鲨,吧唧（徽章）,1,4.0,1.0,24.0,24.0,24.0,1.0,4.0,50.0,D,样本不足，不进入决策
怒潮凛冬,日用生活,1,4.0,1.0,114.0,114.0,114.0,0.0,2.0,200.0,D,样本不足，不进入决策
怒潮凛冬,毛绒玩偶,1,4.0,1.0,120.0,120.0,120.0,0.0,3.0,150.0,D,样本不足，不进入决策
怒潮凛冬,装饰摆件,1,4.0,1.0,80.0,80.0,80.0,0.0,4.0,100.0,D,样本不足，不进入决策
怒潮凛冬,通行证,1,4.0,1.0,56.0,56.0,56.0,1.0,3.0,140.0,D,样本不足，不进入决策
斩业星熊,亚克力制品,1,5.0,1.0,70.0,70.0,70.0,1.0,3.0,100.0,D,样本不足，不进入决策
斩业星熊,手办模玩,1,4.0,1.0,384.0,384.0,384.0,0.0,4.0,300.0,D,样本不足，不进入决策
斩业星熊,日用生活,1,4.0,1.0,139.0,139.0,139.0,1.0,4.0,350.0,D,样本不足，不进入决策
新约能天使,毛绒玩偶,1,5.0,1.0,70.0,70.0,70.0,1.0,5.0,50.0,D,样本不足，不进入决策
新约能天使,装饰摆件,1,4.0,1.0,115.0,115.0,115.0,1.0,5.0,100.0,D,样本不足，不进入决策
新约能天使,通行证,1,4.0,1.0,47.0,47.0,47.0,1.0,5.0,70.0,D,样本不足，不进入决策
死芒,日用生活,1,4.0,1.0,80.0,80.0,80.0,0.0,3.0,100.0,D,样本不足，不进入决策
焰狐龙梓兰,吧唧（徽章）,1,4.0,1.0,23.0,23.0,23.0,1.0,4.0,110.0,D,样本不足，不进入决策
焰狐龙梓兰,手办模玩,1,4.0,1.0,384.0,384.0,384.0,1.0,4.0,210.0,D,样本不足，不进入决策
焰狐龙梓兰,日用生活,1,4.0,1.0,126.0,126.0,126.0,1.0,4.0,120.0,D,样本不足，不进入决策
维娜·维多利亚,毛绒玩偶,1,4.0,1.0,80.0,80.0,80.0,1.0,3.0,70.0,D,样本不足，不进入决策
缇缇,吧唧（徽章）,1,4.0,1.0,25.0,25.0,25.0,1.0,3.0,60.0,D,样本不足，不进入决策
缇缇,日用生活,1,5.0,1.0,126.0,126.0,126.0,1.0,3.0,110.0,D,样本不足，不进入决策
缪尔赛思,亚克力制品,1,4.0,1.0,57.0,57.0,57.0,1.0,3.0,70.0,D,样本不足，不进入决策
荒芜拉普兰德,亚克力制品,1,5.0,1.0,61.0,61.0,61.0,1.0,4.0,60.0,D,样本不足，不进入决策
荒芜拉普兰德,吧唧（徽章）,1,4.0,1.0,24.0,24.0,24.0,1.0,3.0,110.0,D,样本不足，不进入决策
荒芜拉普兰德,通行证,1,4.0,1.0,56.0,56.0,56.0,1.0,4.0,200.0,D,样本不足，不进入决策
谬因,亚克力制品,1,4.0,1.0,60.0,60.0,60.0,1.0,4.0,120.0,D,样本不足，不进入决策
贝洛内,亚克力制品,1,4.0,1.0,53.0,53.0,53.0,0.0,3.0,200.0,D,样本不足，不进入决策
赤刃明霄陈,通行证,1,5.0,1.0,57.0,57.0,57.0,1.0,3.0,50.0,D,样本不足，不进入决策
酒神,装饰摆件,1,4.0,1.0,80.0,80.0,80.0,0.0,3.0,100.0,D,样本不足，不进入决策
黍,通行证,1,4.0,1.0,49.0,49.0,49.0,1.0,3.0,70.0,D,样本不足，不进入决策
死芒,亚克力制品,4,3.75,0.75,59.0,54.75,61.5,0.75,4.25,65.0,D,样本不足，不进入决策
维娜·维多利亚,亚克力制品,4,3.75,0.75,61.0,59.25,62.25,0.75,4.25,95.0,D,样本不足，不进入决策
维娜·维多利亚,吧唧（徽章）,4,4.25,0.75,22.5,21.0,24.25,0.75,4.0,65.0,D,样本不足，不进入决策
余,亚克力制品,3,3.6666666666666665,0.6666666666666666,57.0,56.5,59.5,0.6666666666666666,3.0,100.0,D,样本不足，不进入决策
望,通行证,3,4.333333333333333,0.6666666666666666,55.0,49.0,56.5,1.0,3.6666666666666665,70.0,D,样本不足，不进入决策
纯烬艾雅法拉,亚克力制品,3,4.0,0.6666666666666666,62.0,59.5,65.5,1.0,4.333333333333333,60.0,D,样本不足，不进入决策
赤刃明霄陈,亚克力制品,4,3.25,0.5,57.0,52.0,59.25,0.5,3.75,130.0,D,样本不足，不进入决策
Mon3tr,亚克力制品,2,3.5,0.5,60.0,59.0,61.0,0.5,3.0,115.0,D,样本不足，不进入决策
凛御银灰,亚克力制品,2,3.5,0.5,56.0,52.5,59.5,0.5,4.5,95.0,D,样本不足，不进入决策
凛御银灰,通行证,2,4.0,0.5,48.0,47.0,49.0,1.0,4.5,200.0,D,样本不足，不进入决策
塑心,亚克力制品,2,3.0,0.5,56.5,55.75,57.25,0.5,3.0,135.0,D,样本不足，不进入决策
娜斯提,亚克力制品,2,2.5,0.5,40.0,40.0,40.0,0.0,2.5,50.0,D,样本不足，不进入决策
