operator,category,respondent_count,acceptable_price_median,acceptable_price_p25,acceptable_price_p75,good_value_price_median,expensive_price_median,too_expensive_price_median,directional_price_floor,directional_price_ceiling
焰狐龙梓兰,亚克力制品,4,67.0,64.25,70.0,56.5,84.0,118.0,56.5,84.0
维娜·维多利亚,亚克力制品,4,61.0,59.25,62.25,49.0,71.5,94.0,49.0,71.5
死芒,亚克力制品,4,59.0,54.75,61.5,50.0,68.0,88.5,50.0,68.0
赤刃明霄陈,亚克力制品,4,57.0,52.0,59.25,44.0,63.5,91.0,44.0,63.5
佩佩,亚克力制品,4,56.5,54.75,57.75,46.5,66.0,84.5,46.5,66.0
维娜·维多利亚,吧唧（徽章）,4,22.5,21.0,24.25,19.5,28.0,38.5,19.5,28.0
缄默德克萨斯,毛绒玩偶,3,103.0,86.5,114.5,85.0,133.0,204.0,85.0,133.0
焰狐龙梓兰,毛绒玩偶,3,92.0,92.0,110.5,83.0,118.0,157.0,83.0,118.0
予愿安洁莉娜,毛绒玩偶,3,70.0,70.0,98.0,62.0,92.0,128.0,62.0,92.0
缄默德克萨斯,亚克力制品,3,65.0,58.5,69.0,58.0,80.0,112.0,58.0,80.0
纯烬艾雅法拉,亚克力制品,3,62.0,59.5,65.5,53.0,83.0,106.0,53.0,83.0
余,亚克力制品,3,57.0,56.5,59.5,45.0,65.0,83.0,45.0,65.0
凯尔希·思衡托,亚克力制品,3,55.0,52.0,59.5,48.0,74.0,108.0,48.0,74.0
望,通行证,3,55.0,49.0,56.5,43.0,68.0,100.0,43.0,68.0
怒潮凛冬,亚克力制品,3,53.0,52.5,59.5,45.0,70.0,100.0,45.0,70.0
重岳,亚克力制品,3,53.0,46.5,56.0,43.0,70.0,102.0,43.0,70.0
新约能天使,吧唧（徽章）,3,22.0,21.5,24.0,20.0,28.0,37.0,20.0,28.0
Mon3tr,吧唧（徽章）,3,21.0,20.5,22.5,19.0,28.0,38.0,19.0,28.0
结城理,吧唧（徽章）,3,19.0,18.5,21.5,15.0,25.0,34.0,15.0,25.0
佩佩,手办模玩,2,384.0,384.0,384.0,335.5,461.0,614.0,335.5,461.0
荒芜拉普兰德,毛绒玩偶,2,135.5,131.25,139.75,115.5,161.0,219.5,115.5,161.0
酒神,毛绒玩偶,2,114.5,108.75,120.25,96.0,135.0,189.0,96.0,135.0
谬因,日用生活,2,106.0,101.5,110.5,87.5,121.5,169.0,87.5,121.5
赤刃明霄陈,毛绒玩偶,2,106.0,99.0,113.0,86.5,130.0,192.0,86.5,130.0
真言,毛绒玩偶,2,103.5,97.75,109.25,88.0,119.5,159.0,88.0,119.5
归溟幽灵鲨,装饰摆件,2,94.5,90.25,98.75,78.5,114.0,170.0,78.5,114.0
赤刃明霄陈,日用生活,2,91.5,74.25,108.75,72.5,114.0,157.5,72.5,114.0
谬因,装饰摆件,2,89.0,84.5,93.5,71.0,110.0,148.5,71.0,110.0
司霆惊蛰,毛绒玩偶,2,86.5,78.25,94.75,71.5,107.0,141.0,71.5,107.0
娜斯提,毛绒玩偶,2,81.0,75.5,86.5,67.5,97.5,135.5,67.5,97.5
望,亚克力制品,2,64.0,63.0,65.0,55.0,82.5,109.0,55.0,82.5
酒神,亚克力制品,2,64.0,62.0,66.0,51.5,79.0,103.5,51.5,79.0
Mon3tr,亚克力制品,2,60.0,59.0,61.0,50.0,79.0,105.0,50.0,79.0
塑心,亚克力制品,2,56.5,55.75,57.25,46.5,72.0,102.5,46.5,72.0
凛御银灰,亚克力制品,2,56.0,52.5,59.5,48.5,68.0,88.5,48.5,68.0
凯尔希·思衡托,通行证,2,55.5,54.75,56.25,46.5,65.5,97.0,46.5,65.5
真言,亚克力制品,2,54.0,53.0,55.0,46.0,66.5,92.0,46.0,66.5
黍,亚克力制品,2,53.0,51.0,55.0,44.5,67.0,96.5,44.5,67.0
新约能天使,亚克力制品,2,48.5,44.25,52.75,41.5,58.0,83.5,41.5,58.0
凛御银灰,通行证,2,48.0,47.0,49.0,39.5,56.5,84.5,39.5,56.5
娜斯提,亚克力制品,2,40.0,40.0,40.0,32.0,50.0,68.0,32.0,50.0
重岳,通行证,2,35.5,28.25,42.75,29.5,42.5,60.5,29.5,42.5
凛御银灰,吧唧（徽章）,2,25.5,25.25,25.75,22.5,29.5,40.0,22.5,29.5
司霆惊蛰,吧唧（徽章）,2,24.5,24.25,24.75,19.0,28.0,36.5,19.0,28.0
贝洛内,吧唧（徽章）,2,24.0,24.0,24.0,19.5,29.0,42.5,19.5,29.0
死芒,吧唧（徽章）,2,23.5,23.25,23.75,19.5,29.0,42.5,19.5,29.0
