operator,skland_content_count,skland_total_views,skland_median_views,skland_total_engagement,skland_interaction_rate,skland_top_content_title,skland_top_content_views
酒神,36,144197,414.5,7850,0.171338650648744,明日方舟×小马宝莉联动，新肉鸽黑流树海，酒神复刻，新故事集，全息矩阵二期,30172
望,1,78266,78266.0,44234,0.5651751718498454,一图流测评【望】——围棋戴尔！拥有8炮的散装爆裂黎明！,78266
凯尔希·思衡托,7,77575,2565.0,4798,0.0938519866468045,【7周年直播】直播回顾~新干员：凯尔希·思衡托！可露希尔！,43911
棘刺,25,75381,1202.0,8412,0.1413193908632647,【明日方舟】浊燃行动620分镀层10人无潜能要求-简单好抄高容错！好猛的棘刺！,22283
新约能天使,16,72918,694.5,4027,0.14454532717256074,六星干员速评【斩业星熊】——新约能天使或成最大赢家？新熊11秒锁血18w输出,27067
凯尔希,20,69587,1519.0,4356,0.08753675522532192,【异格凯尔希】一些你可能不知道的小技巧&小知识,24550
结城理,7,69441,6431.0,26891,0.20862552725127892,「结城理」培养专精攻略一图流,27192
凛御银灰,13,64548,1232.0,5219,0.07837734915801027,凛御银灰组合搭配指南,24477
维什戴尔,38,59880,897.0,5402,0.11477996830869029,最强的分队与最强的带队——蓝图维什戴尔运营思路,8689
斩业星熊,22,56538,603.5,5787,0.2608754679542533,六星干员速评【斩业星熊】——新约能天使或成最大赢家？新熊11秒锁血18w输出,27067
塞雷娅,9,55300,4869.0,5547,0.11964081703232969,音律联觉-购票入场注意点和新时装（蕾缪安/塞雷娅/死芒）特邀嘉宾MILI等人,20035
死芒,34,54526,217.0,2422,0.32448319738454884,音律联觉-购票入场注意点和新时装（蕾缪安/塞雷娅/死芒）特邀嘉宾MILI等人,20035
娜斯提,9,53410,2648.0,2161,0.07391318990998748,一图流测评【娜斯提】——+60%攻击的人造高台！,23196
焰狐龙梓兰,12,46129,2023.5,3564,0.18901402869852824,干员测评【焰狐龙梓兰】-全技能落地秒开，再部署23s的狙,15730
缇缇,13,41629,1060.0,2226,0.11952721483018072,【雅赛努斯复仇记】缇缇实装简评 10w总伤2k4hps沉睡法伤大c,12212
真言,14,41066,1065.0,2417,0.10097741716354992,6星本源术士真言技能解析，破隐匿！靠麻痹层数打伤害，和酒神爆条不冲突能打配合！,15658
司霆惊蛰,9,40414,2786.0,1621,0.06526465812427804,六星干员速评【司霆惊蛰】——理论22w总伤，但非常吃地图的解放者,17569
玛恩纳,20,39054,322.5,3086,0.1563600181436072,【2025.05】模组升级-综合推荐（玛恩纳、新约能天使、蕾缪安、信仰搅拌机等）,17953
逻各斯,29,38369,135.0,2093,0.18563334904735185,【2025.04】模组升级-综合推荐（伊内丝、逻各斯、泥岩、晓歌、寻澜）,9257
佩佩,23,37777,783.0,1980,0.11302490748806873,【2025.01】模组升级-综合推荐（佩佩、林、左乐、重岳、夕、森蚺）,7141
阿米娅,14,37167,1502.5,7893,0.16205062180849908,【人物志】阿米娅——我会直面，那通向未来的过去,9137
荒芜拉普兰德,10,36235,2023.5,2930,0.1067358037584822,【2024.11】模组升级-综合推荐（阿尔图罗、荒芜拉普兰德、忍冬等）,11137
Mon3tr,13,34051,753.0,1337,0.06390318753129474,六星干员速评【Mon3tr】——超越榴莲针的攻速拐，5w真伤7k血上限的医疗干员,10566
塑心,18,33167,259.5,2098,0.12118558195002177,【2025.09】模组升级-综合推荐（母鸡卡联动干员、塑心、煌）,10697
谬因,12,32878,1591.0,2891,0.14982304139830058,「谬因」培养专精推荐一图流,16264
贝洛内,10,32416,1641.5,2102,0.1244805389016664,一图流测评【贝洛内】——9费打单23w，但更推荐有输出有控二技能,13308
能天使,12,30027,1738.0,1557,0.10715811573769655,【2024.12】模组升级-综合推荐（史尔特尔、维娜、薇薇安娜、能天使）,6710
浊心斯卡蒂,5,26675,3852.0,3617,0.12102358450798663,浊心斯卡蒂强度演变史,15204
泥岩,17,26528,156.0,1692,0.1259238463873186,【2025.04】模组升级-综合推荐（伊内丝、逻各斯、泥岩、晓歌、寻澜）,9257
赤刃明霄陈,5,25124,3156.0,8061,0.24633968869298886,一图流测评【赤刃明霄陈】——首个生命值百分比伤害！清杂攻坚无敌位移多位一体,15686
银灰,17,23090,265.0,4730,0.18213974432125177,六星干员攻略（银灰）,6847
予愿安洁莉娜,5,20305,3445.0,2282,0.11591893338670571,干员测评【予愿安洁莉娜】-全技能落地秒开，18w总伤飞天大C,9697
重岳,10,20182,956.5,2153,0.1050921673632299,【2025.01】模组升级-综合推荐（佩佩、林、左乐、重岳、夕、森蚺）,7141
怒潮凛冬,9,19491,1430.0,1265,0.07405918611547474,一图流前瞻【怒潮凛冬】——新时代基石！dps3k的持续时间无限,6793
诗怀雅,8,17285,2083.0,1437,0.11055291334642686,【2025.08】模组升级-综合推荐（遥、水陈、妮芙、烛煌、琳琅诗怀雅、佩佩,4795
史尔特尔,5,16214,1305.0,977,0.13483257898556444,六星干员攻略（史尔特尔）,7752
锏,3,15650,4903.0,913,0.055839934806937115,六星干员速评【锏】——短回转高爆发！那个三届冠军“黑骑士”，她终于来了,9537
铃兰,9,14929,682.0,1128,0.09878644573053916,六星干员攻略（铃兰）,3971
伊芙利特,8,14279,1179.0,749,0.11835397453676186,卫戍协议强力万金油干员推荐（伊芙利特）,4658
艾雅法拉,10,13678,377.0,759,0.1555438276003473,【2025.10】模组升级-综合推荐（娜仁图亚、真言、艾雅法拉、圣约送葬人）,6181
