operator,campaign_content_count,direct_content_count,window_content_count,content_type_count,weighted_campaign_views,weighted_intent_actions,campaign_exposure_score,campaign_depth_score,campaign_rank
新约能天使,18,1,17,6,31807694.76,1891852.35,100.0,96.67,1
归溟幽灵鲨,19,1,18,7,30752093.06,2107798.34,96.67,100.0,2
佩佩,8,1,7,5,25175429.66,1557591.09,93.33,55.0,3
缄默德克萨斯,15,1,14,7,24245243.0,1897621.14,90.0,83.33,4
缪尔赛思,15,1,14,5,20973459.4,1185890.87,86.67,76.67,5
纯烬艾雅法拉,9,1,8,6,20718717.49,918975.32,83.33,63.33,6
黍,9,1,8,5,19788338.61,1468835.3,80.0,60.0,7
斩业星熊,10,1,9,7,18009978.75,1203467.39,76.67,71.67,8
凯尔希·思衡托,15,1,14,6,17733953.93,1214683.72,73.33,80.0,9
凛御银灰,16,1,15,6,16945159.21,918869.75,70.0,86.67,10
予愿安洁莉娜,10,1,9,6,15671307.55,1075906.22,66.67,66.67,11
Mon3tr,7,1,6,5,13526593.87,815119.76,63.33,40.0,12
荒芜拉普兰德,16,1,15,7,13140149.69,755626.0,60.0,90.0,13
塑心,17,1,16,6,12848310.99,807996.31,56.67,93.33,14
赤刃明霄陈,5,1,4,4,12796282.68,988966.71,53.33,30.0,15
重岳,8,1,7,5,12435465.62,741796.03,50.0,55.0,16
怒潮凛冬,7,1,6,5,9976072.39,567376.79,46.67,40.0,17
司霆惊蛰,7,1,6,6,9816198.68,472345.76,43.33,48.33,18
余,10,1,9,7,9578078.14,508301.38,40.0,71.67,19
谬因,7,1,6,6,8306177.68,419607.34,36.67,48.33,20
