sku_id,operator,category,inventory_risk,return_rate_pct,sell_through_rate_pct,risk_tier,category_risk_rank
纯烬艾雅法拉-手办模玩,纯烬艾雅法拉,手办模玩,99.05,8.51,72.47,高风险,1
予愿安洁莉娜-手办模玩,予愿安洁莉娜,手办模玩,97.67,8.3,72.47,高风险,2
归溟幽灵鲨-手办模玩,归溟幽灵鲨,手办模玩,96.55,8.33,72.53,高风险,3
塑心-日用生活,塑心,日用生活,83.67,6.38,78.04,高风险,1
结城理-日用生活,结城理,日用生活,82.68,5.88,78.01,高风险,2
斩业星熊-日用生活,斩业星熊,日用生活,82.42,5.88,78.02,高风险,3
Mon3tr-毛绒玩偶,Mon3tr,毛绒玩偶,74.43,6.22,79.34,高风险,1
怒潮凛冬-毛绒玩偶,怒潮凛冬,毛绒玩偶,73.45,5.83,79.34,高风险,2
斩业星熊-毛绒玩偶,斩业星熊,毛绒玩偶,70.88,6.37,79.4,高风险,3
死芒-装饰摆件,死芒,装饰摆件,62.36,5.4,81.11,高风险,1
黍-装饰摆件,黍,装饰摆件,58.6,4.95,81.1,中风险,2
赤刃明霄陈-装饰摆件,赤刃明霄陈,装饰摆件,58.02,5.44,81.22,中风险,3
重岳-亚克力制品,重岳,亚克力制品,46.07,5.14,84.58,中风险,1
望-亚克力制品,望,亚克力制品,44.49,4.32,84.47,中风险,2
死芒-亚克力制品,死芒,亚克力制品,42.25,4.23,84.52,中风险,3
缇缇-通行证,缇缇,通行证,29.82,4.32,85.65,中风险,1
维娜·维多利亚-通行证,维娜·维多利亚,通行证,29.43,3.83,85.57,低风险,2
赤刃明霄陈-通行证,赤刃明霄陈,通行证,29.05,3.55,85.51,低风险,3
缇缇-吧唧（徽章）,缇缇,吧唧（徽章）,19.26,3.56,86.85,低风险,1
斩业星熊-吧唧（徽章）,斩业星熊,吧唧（徽章）,17.64,3.62,86.89,低风险,2
结城理-吧唧（徽章）,结城理,吧唧（徽章）,16.45,3.1,86.78,低风险,3
