validation_queue_rank,operator,content_heat,commercial_heat,content_commerce_gap,business_quadrant,recommended_action,evidence_risk
1,纯烬艾雅法拉,59.36,0.0,59.36,内容热、商业供给待验证,补采淘宝并小批量测试低成本SKU,高证据风险
2,维娜·维多利亚,59.71,0.0,59.71,内容热、商业供给待验证,补采淘宝并小批量测试低成本SKU,高证据风险
3,黍,55.42,0.0,55.42,内容热、商业供给待验证,补采淘宝并小批量测试低成本SKU,高证据风险
4,予愿安洁莉娜,62.17,0.0,62.17,内容热、商业供给待验证,补采淘宝并小批量测试低成本SKU,高证据风险
5,归溟幽灵鲨,56.66,0.0,56.66,内容热、商业供给待验证,补采淘宝并小批量测试低成本SKU,高证据风险
6,赤刃明霄陈,58.81,0.0,58.81,内容热、商业供给待验证,补采淘宝并小批量测试低成本SKU,高证据风险
7,缪尔赛思,48.76,0.0,48.76,低成本观察,维持基础款并观察版本事件,高证据风险
8,缄默德克萨斯,50.79,0.0,50.79,低成本观察,维持基础款并观察版本事件,高证据风险
9,凛御银灰,56.77,0.0,56.77,内容热、商业供给待验证,补采淘宝并小批量测试低成本SKU,高证据风险
10,丰川祥子,61.74,0.0,61.74,内容热、商业供给待验证,补采淘宝并小批量测试低成本SKU,高证据风险
11,余,46.61,0.0,46.61,低成本观察,维持基础款并观察版本事件,高证据风险
12,重岳,52.26,0.0,52.26,内容热、商业供给待验证,补采淘宝并小批量测试低成本SKU,高证据风险
13,望,51.81,0.0,51.81,内容热、商业供给待验证,补采淘宝并小批量测试低成本SKU,高证据风险
14,焰狐龙梓兰,58.81,0.0,58.81,内容热、商业供给待验证,补采淘宝并小批量测试低成本SKU,高证据风险
15,Mon3tr,54.06,0.0,54.06,内容热、商业供给待验证,补采淘宝并小批量测试低成本SKU,高证据风险
