operator,operator_sku_rank,sku_id,category,selection_score,simulated_gross_profit,risk_tier,portfolio_role
新约能天使,1,新约能天使-吧唧（徽章）,吧唧（徽章）,78.08,9298.8,低风险,直播核心款
纯烬艾雅法拉,1,纯烬艾雅法拉-吧唧（徽章）,吧唧（徽章）,74.64,7698.6,低风险,直播核心款
凯尔希·思衡托,1,凯尔希·思衡托-吧唧（徽章）,吧唧（徽章）,74.63,8152.2,低风险,直播核心款
归溟幽灵鲨,1,归溟幽灵鲨-吧唧（徽章）,吧唧（徽章）,74.2,7257.6,低风险,直播核心款
凯尔希·思衡托,2,凯尔希·思衡托-通行证,通行证,73.19,15699.84,低风险,直播核心款
黍,1,黍-吧唧（徽章）,吧唧（徽章）,71.28,7182.0,低风险,直播核心款
重岳,1,重岳-吧唧（徽章）,吧唧（徽章）,70.34,8265.6,低风险,直播核心款
赤刃明霄陈,1,赤刃明霄陈-吧唧（徽章）,吧唧（徽章）,69.95,7837.2,低风险,直播核心款
司霆惊蛰,1,司霆惊蛰-吧唧（徽章）,吧唧（徽章）,69.61,6350.4,低风险,直播核心款
结城理,1,结城理-吧唧（徽章）,吧唧（徽章）,69.09,8933.4,低风险,直播核心款
佩佩,1,佩佩-吧唧（徽章）,吧唧（徽章）,68.21,5959.8,低风险,直播核心款
酒神,1,酒神-吧唧（徽章）,吧唧（徽章）,67.77,5682.6,低风险,直播核心款
娜斯提,1,娜斯提-吧唧（徽章）,吧唧（徽章）,67.68,6501.6,低风险,直播核心款
新约能天使,2,新约能天使-通行证,通行证,67.4,15540.72,低风险,直播核心款
缪尔赛思,1,缪尔赛思-吧唧（徽章）,吧唧（徽章）,66.98,7169.4,低风险,直播核心款
荒芜拉普兰德,1,荒芜拉普兰德-吧唧（徽章）,吧唧（徽章）,66.96,6867.0,低风险,直播核心款
死芒,1,死芒-吧唧（徽章）,吧唧（徽章）,65.42,5178.6,低风险,直播核心款
予愿安洁莉娜,1,予愿安洁莉娜-通行证,通行证,64.97,14983.8,低风险,利润承接款
焰狐龙梓兰,1,焰狐龙梓兰-吧唧（徽章）,吧唧（徽章）,64.89,5569.2,低风险,利润承接款
Mon3tr,1,Mon3tr-吧唧（徽章）,吧唧（徽章）,64.69,6615.0,低风险,利润承接款
