operator,preference_mentions,weighted_preference_score,first_choice_count,mention_share,operator_rank
德克萨斯,44,97,17,0.18106995884773663,1
维什戴尔,43,91,15,0.17695473251028807,2
史尔特尔,40,85,18,0.1646090534979424,3
令,32,67,14,0.13168724279835392,4
能天使,35,65,10,0.1440329218106996,5
浊心斯卡蒂,32,65,12,0.13168724279835392,5
幽灵鲨,29,65,13,0.11934156378600823,5
阿米娅,27,54,10,0.1111111111111111,8
塞雷娅,25,52,8,0.102880658436214,9
泥岩,24,50,5,0.09876543209876543,10
拉普兰德,27,49,6,0.1111111111111111,11
逻各斯,26,49,6,0.10699588477366255,11
玛恩纳,24,49,8,0.09876543209876543,11
W,26,48,7,0.10699588477366255,14
斯卡蒂,24,46,10,0.09876543209876543,15
温蒂,22,46,10,0.09053497942386832,15
煌,22,44,7,0.09053497942386832,17
凯尔希,26,43,4,0.10699588477366255,18
夕,19,39,5,0.07818930041152264,19
缪尔赛思,17,34,7,0.06995884773662552,20
银灰,18,33,4,0.07407407407407407,21
棘刺,15,32,7,0.06172839506172839,22
陈,17,31,4,0.06995884773662552,23
锏,15,31,5,0.06172839506172839,23
黍,15,27,3,0.06172839506172839,25
铃兰,15,27,4,0.06172839506172839,25
艾雅法拉,13,26,4,0.053497942386831275,27
年,11,26,6,0.04526748971193416,27
霍尔海雅,14,24,3,0.05761316872427984,29
诗怀雅,11,24,5,0.04526748971193416,29
伊芙利特,12,22,4,0.04938271604938271,31
夜莺,9,17,2,0.037037037037037035,32
