category,price_band,respondent_count,price_midpoint_proxy,category_share
亚克力制品,31～50元,120,40.5,0.49382716049382713
亚克力制品,30元内,64,30.0,0.26337448559670784
亚克力制品,51～80元,47,65.5,0.1934156378600823
亚克力制品,80元以上,12,100.0,0.04938271604938271
吧唧（徽章）,16～25元,109,20.5,0.448559670781893
吧唧（徽章）,15元内,76,15.0,0.31275720164609055
吧唧（徽章）,26～35元,50,30.5,0.205761316872428
吧唧（徽章）,36元以上,8,45.0,0.03292181069958848
手办模玩,201～500元,117,350.5,0.48148148148148145
手办模玩,501～1000元,75,750.5,0.30864197530864196
手办模玩,200元内,38,200.0,0.15637860082304528
手办模玩,1000元以上,13,1250.0,0.053497942386831275
日用生活,51～100元,116,75.5,0.4773662551440329
日用生活,50元内,63,50.0,0.25925925925925924
日用生活,101～200元,56,150.5,0.23045267489711935
日用生活,200元以上,8,250.0,0.03292181069958848
毛绒玩偶,81～150元,116,115.5,0.4773662551440329
毛绒玩偶,80元内,70,80.0,0.2880658436213992
毛绒玩偶,151～250元,41,200.5,0.16872427983539096
毛绒玩偶,250元以上,16,312.5,0.06584362139917696
装饰摆件,51～100元,116,75.5,0.4773662551440329
装饰摆件,50元内,62,50.0,0.2551440329218107
装饰摆件,101～200元,52,150.5,0.2139917695473251
装饰摆件,200元以上,13,250.0,0.053497942386831275
通行证,21～40元,110,30.5,0.45267489711934156
通行证,20元内,61,20.0,0.25102880658436216
通行证,41～60元,54,50.5,0.2222222222222222
通行证,60元以上,18,75.0,0.07407407407407407
