operator,category,respondent_count,purchase_intent_mean,high_intent_share,acceptable_price_median,acceptable_price_p25,acceptable_price_p75,prior_buyer_share,limited_preference_mean,monthly_budget_median,survey_evidence_grade,research_note
维什戴尔,日用生活,3,4.666666666666667,1.0,250.0,225.0,275.0,1.0,4.333333333333333,400.0,D,样本不足，不进入决策
令,手办模玩,2,4.0,1.0,650.0,575.0,725.0,0.5,4.5,475.0,D,样本不足，不进入决策
令,日用生活,2,4.5,1.0,400.0,350.0,450.0,0.5,4.0,225.0,D,样本不足，不进入决策
令,毛绒玩偶,2,5.0,1.0,175.0,162.5,187.5,0.0,4.0,475.0,D,样本不足，不进入决策
史尔特尔,吧唧（徽章）,2,4.5,1.0,55.0,52.5,57.5,0.5,4.5,475.0,D,样本不足，不进入决策
德克萨斯,毛绒玩偶,2,4.0,1.0,175.0,162.5,187.5,1.0,3.5,400.0,D,样本不足，不进入决策
德克萨斯,装饰摆件,2,4.0,1.0,175.0,162.5,187.5,0.5,3.5,625.0,D,样本不足，不进入决策
棘刺,亚克力制品,2,4.5,1.0,105.0,82.5,127.5,0.5,3.0,50.0,D,样本不足，不进入决策
诗怀雅,毛绒玩偶,2,4.0,1.0,200.0,175.0,225.0,1.0,4.0,800.0,D,样本不足，不进入决策
逻各斯,日用生活,2,4.0,1.0,225.0,187.5,262.5,0.5,4.5,125.0,D,样本不足，不进入决策
W,亚克力制品,1,5.0,1.0,120.0,120.0,120.0,1.0,5.0,0.0,D,样本不足，不进入决策
伊芙利特,通行证,1,4.0,1.0,80.0,80.0,80.0,0.0,4.0,50.0,D,样本不足，不进入决策
塞雷娅,装饰摆件,1,4.0,1.0,150.0,150.0,150.0,1.0,4.0,750.0,D,样本不足，不进入决策
塞雷娅,通行证,1,4.0,1.0,100.0,100.0,100.0,0.0,4.0,400.0,D,样本不足，不进入决策
夕,毛绒玩偶,1,4.0,1.0,250.0,250.0,250.0,0.0,3.0,50.0,D,样本不足，不进入决策
夜莺,亚克力制品,1,5.0,1.0,100.0,100.0,100.0,1.0,4.0,200.0,D,样本不足，不进入决策
夜莺,吧唧（徽章）,1,5.0,1.0,50.0,50.0,50.0,1.0,4.0,400.0,D,样本不足，不进入决策
德克萨斯,日用生活,1,4.0,1.0,300.0,300.0,300.0,0.0,5.0,1200.0,D,样本不足，不进入决策
斯卡蒂,亚克力制品,1,4.0,1.0,120.0,120.0,120.0,1.0,3.0,1200.0,D,样本不足，不进入决策
斯卡蒂,装饰摆件,1,4.0,1.0,150.0,150.0,150.0,1.0,5.0,200.0,D,样本不足，不进入决策
斯卡蒂,通行证,1,4.0,1.0,80.0,80.0,80.0,1.0,5.0,,D,样本不足，不进入决策
浊心斯卡蒂,吧唧（徽章）,1,4.0,1.0,50.0,50.0,50.0,0.0,1.0,200.0,D,样本不足，不进入决策
浊心斯卡蒂,日用生活,1,4.0,1.0,200.0,200.0,200.0,1.0,4.0,400.0,D,样本不足，不进入决策
浊心斯卡蒂,通行证,1,4.0,1.0,50.0,50.0,50.0,0.0,3.0,200.0,D,样本不足，不进入决策
温蒂,亚克力制品,1,5.0,1.0,100.0,100.0,100.0,0.0,4.0,400.0,D,样本不足，不进入决策
温蒂,日用生活,1,4.0,1.0,100.0,100.0,100.0,0.0,4.0,200.0,D,样本不足，不进入决策
