operator,category,respondent_count,acceptable_price_median,acceptable_price_p25,acceptable_price_p75,good_value_price_median,expensive_price_median,too_expensive_price_median,directional_price_floor,directional_price_ceiling
史尔特尔,日用生活,7,200.0,150.0,200.0,75.5,,,75.5,200.0
德克萨斯,亚克力制品,6,100.0,85.0,100.0,35.25,,,35.25,100.0
幽灵鲨,装饰摆件,5,100.0,100.0,100.0,75.5,,,75.5,100.0
浊心斯卡蒂,亚克力制品,5,80.0,80.0,100.0,40.5,,,40.5,100.0
逻各斯,手办模玩,4,800.0,725.0,850.0,800.25,,,800.25,850.0
缪尔赛思,装饰摆件,4,225.0,137.5,325.0,62.75,,,62.75,325.0
幽灵鲨,毛绒玩偶,4,200.0,175.0,225.0,158.0,,,158.0,225.0
维什戴尔,亚克力制品,4,135.0,115.0,150.0,30.0,,,30.0,150.0
史尔特尔,亚克力制品,4,80.0,80.0,97.5,53.0,,,53.0,97.5
维什戴尔,吧唧（徽章）,4,40.0,37.5,45.0,20.5,,,20.5,45.0
锏,手办模玩,3,1500.0,1500.0,1750.0,350.5,,,350.5,1750.0
幽灵鲨,手办模玩,3,1000.0,900.0,1500.0,750.5,,,750.5,1500.0
史尔特尔,手办模玩,3,800.0,800.0,1150.0,350.5,,,350.5,1150.0
维什戴尔,日用生活,3,250.0,225.0,275.0,75.5,,,75.5,275.0
W,装饰摆件,3,200.0,175.0,200.0,75.5,,,75.5,200.0
令,装饰摆件,3,200.0,175.0,250.0,75.5,,,75.5,250.0
塞雷娅,毛绒玩偶,3,200.0,200.0,225.0,115.5,,,115.5,225.0
斯卡蒂,毛绒玩偶,3,200.0,175.0,225.0,115.5,,,115.5,225.0
银灰,日用生活,3,150.0,125.0,175.0,75.5,,,75.5,175.0
年,亚克力制品,3,80.0,80.0,100.0,40.5,,,40.5,100.0
令,吧唧（徽章）,3,50.0,40.0,50.0,20.5,,,20.5,50.0
拉普兰德,通行证,3,50.0,50.0,65.0,20.0,,,20.0,65.0
诗怀雅,手办模玩,2,1400.0,1100.0,1700.0,550.5,,,550.5,1700.0
维什戴尔,手办模玩,2,1250.0,1125.0,1375.0,475.25,,,475.25,1375.0
阿米娅,手办模玩,2,1150.0,975.0,1325.0,475.25,,,475.25,1325.0
德克萨斯,手办模玩,2,800.0,800.0,800.0,475.25,,,475.25,800.0
斯卡蒂,手办模玩,2,750.0,625.0,875.0,475.25,,,475.25,875.0
温蒂,手办模玩,2,750.0,625.0,875.0,550.5,,,550.5,875.0
令,手办模玩,2,650.0,575.0,725.0,550.5,,,550.5,725.0
煌,日用生活,2,500.0,500.0,500.0,75.5,,,75.5,500.0
令,日用生活,2,400.0,350.0,450.0,62.75,,,62.75,450.0
拉普兰德,装饰摆件,2,350.0,325.0,375.0,113.0,,,113.0,375.0
温蒂,毛绒玩偶,2,325.0,287.5,362.5,115.5,,,115.5,362.5
塞雷娅,日用生活,2,300.0,300.0,300.0,162.75,,,162.75,300.0
逻各斯,日用生活,2,225.0,187.5,262.5,100.25,,,100.25,262.5
W,毛绒玩偶,2,200.0,175.0,225.0,214.0,,,214.0,225.0
浊心斯卡蒂,装饰摆件,2,200.0,150.0,250.0,62.75,,,62.75,250.0
诗怀雅,毛绒玩偶,2,200.0,175.0,225.0,115.5,,,115.5,225.0
阿米娅,装饰摆件,2,200.0,150.0,250.0,200.25,,,200.25,250.0
令,毛绒玩偶,2,175.0,162.5,187.5,97.75,,,97.75,187.5
德克萨斯,毛绒玩偶,2,175.0,162.5,187.5,158.0,,,158.0,187.5
德克萨斯,装饰摆件,2,175.0,162.5,187.5,150.5,,,150.5,187.5
能天使,毛绒玩偶,2,175.0,162.5,187.5,158.0,,,158.0,187.5
泥岩,装饰摆件,2,150.0,125.0,175.0,75.5,,,75.5,175.0
锏,装饰摆件,2,150.0,125.0,175.0,62.75,,,62.75,175.0
能天使,装饰摆件,2,125.0,112.5,137.5,62.75,,,62.75,137.5
阿米娅,亚克力制品,2,125.0,112.5,137.5,53.0,,,53.0,137.5
棘刺,亚克力制品,2,105.0,82.5,127.5,30.0,,,30.0,127.5
玛恩纳,亚克力制品,2,90.0,75.0,105.0,40.5,,,40.5,105.0
令,亚克力制品,2,80.0,70.0,90.0,30.0,,,30.0,90.0
温蒂,通行证,2,80.0,70.0,90.0,35.25,,,35.25,90.0
年,吧唧（徽章）,2,65.0,57.5,72.5,15.0,,,15.0,72.5
德克萨斯,通行证,2,65.0,57.5,72.5,25.25,,,25.25,72.5
阿米娅,通行证,2,65.0,57.5,72.5,47.5,,,47.5,72.5
能天使,亚克力制品,2,60.0,60.0,60.0,40.5,,,40.5,60.0
史尔特尔,吧唧（徽章）,2,55.0,52.5,57.5,30.5,,,30.5,57.5
煌,通行证,2,55.0,52.5,57.5,40.5,,,40.5,57.5
斯卡蒂,吧唧（徽章）,2,50.0,45.0,55.0,25.5,,,25.5,55.0
缪尔赛思,吧唧（徽章）,2,50.0,45.0,55.0,20.5,,,20.5,55.0
夕,吧唧（徽章）,2,45.0,42.5,47.5,17.75,,,17.75,47.5
棘刺,吧唧（徽章）,2,45.0,42.5,47.5,22.75,,,22.75,47.5
玛恩纳,吧唧（徽章）,2,45.0,42.5,47.5,22.75,,,22.75,47.5
德克萨斯,吧唧（徽章）,2,35.0,32.5,37.5,17.75,,,17.75,37.5
能天使,吧唧（徽章）,2,35.0,32.5,37.5,20.5,,,20.5,37.5
伊芙利特,手办模玩,1,2000.0,2000.0,2000.0,750.5,,,750.5,2000.0
浊心斯卡蒂,手办模玩,1,2000.0,2000.0,2000.0,350.5,,,350.5,2000.0
年,手办模玩,1,1500.0,1500.0,1500.0,350.5,,,350.5,1500.0
棘刺,手办模玩,1,1500.0,1500.0,1500.0,200.0,,,200.0,1500.0
玛恩纳,手办模玩,1,1000.0,1000.0,1000.0,750.5,,,750.5,1000.0
缪尔赛思,手办模玩,1,1000.0,1000.0,1000.0,350.5,,,350.5,1000.0
银灰,手办模玩,1,1000.0,1000.0,1000.0,200.0,,,200.0,1000.0
泥岩,手办模玩,1,800.0,800.0,800.0,350.5,,,350.5,800.0
艾雅法拉,手办模玩,1,800.0,800.0,800.0,350.5,,,350.5,800.0
陈,手办模玩,1,800.0,800.0,800.0,350.5,,,350.5,800.0
铃兰,手办模玩,1,500.0,500.0,500.0,750.5,,,750.5,500.0
温蒂,装饰摆件,1,400.0,400.0,400.0,50.0,,,50.0,400.0
艾雅法拉,装饰摆件,1,400.0,400.0,400.0,50.0,,,50.0,400.0
黍,装饰摆件,1,400.0,400.0,400.0,250.0,,,250.0,400.0
史尔特尔,毛绒玩偶,1,300.0,300.0,300.0,80.0,,,80.0,300.0
史尔特尔,装饰摆件,1,300.0,300.0,300.0,75.5,,,75.5,300.0
德克萨斯,日用生活,1,300.0,300.0,300.0,150.5,,,150.5,300.0
玛恩纳,毛绒玩偶,1,300.0,300.0,300.0,115.5,,,115.5,300.0
能天使,日用生活,1,300.0,300.0,300.0,75.5,,,75.5,300.0
艾雅法拉,毛绒玩偶,1,300.0,300.0,300.0,115.5,,,115.5,300.0
阿米娅,毛绒玩偶,1,300.0,300.0,300.0,115.5,,,115.5,300.0
陈,日用生活,1,300.0,300.0,300.0,50.0,,,50.0,300.0
陈,毛绒玩偶,1,300.0,300.0,300.0,115.5,,,115.5,300.0
夕,毛绒玩偶,1,250.0,250.0,250.0,80.0,,,80.0,250.0
维什戴尔,毛绒玩偶,1,250.0,250.0,250.0,115.5,,,115.5,250.0
黍,毛绒玩偶,1,250.0,250.0,250.0,312.5,,,312.5,250.0
凯尔希,毛绒玩偶,1,200.0,200.0,200.0,115.5,,,115.5,200.0
拉普兰德,日用生活,1,200.0,200.0,200.0,150.5,,,150.5,200.0
浊心斯卡蒂,日用生活,1,200.0,200.0,200.0,150.5,,,150.5,200.0
玛恩纳,日用生活,1,200.0,200.0,200.0,75.5,,,75.5,200.0
