snapshot_at,query,query_scope,target_operator,sort,collection_method,item_id,url,rank,raw_text,price,sales_proxy_min,sales_proxy_censored,category,rights_type,fulfillment_type,free_shipping,return_insurance,fast_dispatch,operator_mentions,operator_mention_count,target_relevance,ip_scope,source_file,is_simulated,rank_weight,numeric_sales_available
2026-09-02T11:55:00+08:00,明日方舟 周边,market_baseline,,销量,logged_in_visible_search_snapshot,1030292586188,https://item.taobao.com/item.htm?id=1030292586188,1,明日方舟通行证挂绳黑色挂绳挂钩挂扣挂件周边官挂现货保护套卡套 在售 12岁以上 ¥ 6 .9 400+人收货 山东 滨州 退货宝 48小时内发 包邮 万事屋の,6.9,400.0,True,亚克力立牌,未标明,现货/在售,True,True,True,,0,1.0,arknights,taobao_arknights_market_baseline_2026-09-02.json,False,1.0,True
2026-09-02T11:55:00+08:00,明日方舟 周边,market_baseline,,销量,logged_in_visible_search_snapshot,1065694412211,https://item.taobao.com/item.htm?id=1065694412211,2,明日方舟周边龙泡泡小笼泡毛绒玩偶公仔包包钥匙挂件送女生日礼物 龙泡泡 毛绒公仔 绒布 ¥ 26 .59 优惠后 300+人收货 浙江 金华 超级立减15% 48小时内发 包邮 王林祥的百宝箱,26.59,300.0,True,毛绒抱枕,未标明,现货/在售,True,False,True,,0,1.0,arknights,taobao_arknights_market_baseline_2026-09-02.json,False,0.6309297535714575,True
2026-09-02T11:55:00+08:00,明日方舟 周边,market_baseline,,销量,logged_in_visible_search_snapshot,1074401899214,https://item.taobao.com/item.htm?id=1074401899214,3,明日方舟周边阿米娅山山兔毛绒玩偶朝陇山包包钥匙可爱小玩偶挂件 品牌新客补贴，当日有效 阿米娅 毛绒公仔 绒布 ¥ 29 .87 首单价 300+人收货 浙江 金华 直降3元 48小时内发 包邮 王林祥的百宝箱,29.87,300.0,True,毛绒抱枕,未标明,现货/在售,True,False,True,,0,1.0,arknights,taobao_arknights_market_baseline_2026-09-02.json,False,0.5,True
2026-09-02T11:55:00+08:00,明日方舟 周边,market_baseline,,销量,logged_in_visible_search_snapshot,948765508943,https://item.taobao.com/item.htm?id=948765508943,4,【正版官谷】明日方舟山山兔逻各斯拉普兰德凯尔希澄闪 正版周边 荒芜拉普兰德逻各斯澄闪 毛绒公仔 现货 ¥ 69 200+人收货 江苏 无锡 退货宝 48小时内发 公益宝贝 舟游纪,69.0,200.0,True,毛绒抱枕,官方/授权,现货/在售,False,True,True,凯尔希·思衡托|荒芜拉普兰德,2,1.0,arknights,taobao_arknights_market_baseline_2026-09-02.json,False,0.43067655807339306,True
2026-09-02T11:55:00+08:00,明日方舟 周边,market_baseline,,销量,logged_in_visible_search_snapshot,991098521939,https://item.taobao.com/item.htm?id=991098521939,5,0826尾款 明日方舟 日服6周年fes 值日担当 徽章立牌 周边补款 官方正版 阿米娅 亚克力 ¥ 106 100+人收货 广东 东莞 包邮 梦谷小屋,106.0,100.0,True,徽章吧唧,官方/授权,预售/补款,True,False,False,,0,1.0,arknights,taobao_arknights_market_baseline_2026-09-02.json,False,0.38685280723454163,True
2026-09-02T11:55:00+08:00,明日方舟 周边,market_baseline,,销量,logged_in_visible_search_snapshot,823963830706,https://item.taobao.com/item.htm?id=823963830706,6,明日方舟镭射扑克牌维什戴尔佩佩逻各斯黍塑心花切收藏卡牌周边 扑克牌 维什 ¥ 28 .41 补贴后 100+人收货 安徽 合肥 淘金币已抵1.49元 退货宝 包邮 6年老店 漫游丶文创空间,28.41,100.0,True,其他周边,未标明,未标明,True,True,False,佩佩|塑心,2,1.0,arknights,taobao_arknights_market_baseline_2026-09-02.json,False,0.3562071871080222,True
2026-09-02T11:55:00+08:00,明日方舟 周边,market_baseline,,销量,logged_in_visible_search_snapshot,1047482947398,https://item.taobao.com/item.htm?id=1047482947398,7,明日方舟特蕾西忠心唤醒钥匙抽拉蛋扣二次元可爱书包背包亚克力 ¥ 12 100+人收货 浙江 温州 包邮 奕造周边定制,12.0,100.0,True,亚克力立牌,未标明,未标明,True,False,False,,0,1.0,arknights,taobao_arknights_market_baseline_2026-09-02.json,False,0.3333333333333333,True
2026-09-02T11:55:00+08:00,明日方舟 周边,market_baseline,,销量,logged_in_visible_search_snapshot,976192942192,https://item.taobao.com/item.htm?id=976192942192,8,明日方舟周边便符界园肉鸽魔改亚克力通行证挂件收藏送朋友钥匙扣 界园肉鸽 亚克力 在售 ¥ 6 .87 补贴后 100+人收货 江西 上饶 超级立减10% 淘金币已抵0.15元 退货宝 新起点文化百货用品店,6.87,100.0,True,亚克力立牌,未标明,现货/在售,False,True,False,,0,1.0,arknights,taobao_arknights_market_baseline_2026-09-02.json,False,0.31546487678572877,True
2026-09-02T11:55:00+08:00,明日方舟 周边,market_baseline,,销量,logged_in_visible_search_snapshot,1066058147311,https://item.taobao.com/item.htm?id=1066058147311,9,明日方舟周边黍龙泡泡毛绒玩偶小笼泡挂件可爱毛绒公仔生日礼物女 毛绒公仔 绒布 在售 ¥ 32 .81 100+人收货 浙江 金华 超级立减15% 包邮 公益宝贝 王林祥的百宝箱,32.81,100.0,True,毛绒抱枕,未标明,现货/在售,True,False,False,,0,1.0,arknights,taobao_arknights_market_baseline_2026-09-02.json,False,0.3010299956639812,True
2026-09-02T11:55:00+08:00,明日方舟 周边,market_baseline,,销量,logged_in_visible_search_snapshot,1043523130588,https://item.taobao.com/item.htm?id=1043523130588,10,明日方舟Q版维维美手办维什戴尔W模型潮玩摆件gk美少女雕像周边 现货 14周岁以上 ¥ 18 .9 优惠后 100+人收货 福建 厦门 退货宝 48小时内发 包邮 小桃动漫周边小店,18.9,100.0,True,其他周边,未标明,现货/在售,True,True,True,,0,1.0,arknights,taobao_arknights_market_baseline_2026-09-02.json,False,0.2890648263178879,True
2026-09-02T11:55:00+08:00,明日方舟 周边,market_baseline,,销量,logged_in_visible_search_snapshot,991101209717,https://item.taobao.com/item.htm?id=991101209717,11,0826尾款 明日方舟 日服6周年fes SP名扎ID卡亚克力徽章 周边补款 官方正版 阿米娅 亚克力 ¥ 212 100+人收货 广东 东莞 包邮 梦谷小屋,212.0,100.0,True,徽章吧唧,官方/授权,预售/补款,True,False,False,,0,1.0,arknights,taobao_arknights_market_baseline_2026-09-02.json,False,0.27894294565112987,True
2026-09-02T11:55:00+08:00,明日方舟 周边,market_baseline,,销量,logged_in_visible_search_snapshot,1044858909914,https://item.taobao.com/item.htm?id=1044858909914,12,明日方舟终末地通行证保护壳外壳硬壳防刮彩窗亚克力二次元周边 ¥ 16 100+人收货 浙江 温州 退货宝 48小时内发 包邮 棉花糖弹弹,16.0,100.0,True,亚克力立牌,未标明,现货/在售,True,True,True,,0,1.0,endfield,taobao_arknights_market_baseline_2026-09-02.json,False,0.27023815442731974,True
2026-09-02T11:55:00+08:00,明日方舟 周边,market_baseline,,销量,logged_in_visible_search_snapshot,923244694850,https://item.taobao.com/item.htm?id=923244694850,13,明日方舟罗德岛龙门币COS道具杰西卡富婆手游周边实体上礼红包 龙门币 游戏道具模型 DIY ¥ 4 .83 100+人收货 浙江 金华 48小时内发 包邮 汐冉漫潮,4.83,100.0,True,其他周边,未标明,现货/在售,True,False,True,,0,1.0,arknights,taobao_arknights_market_baseline_2026-09-02.json,False,0.26264953503719357,True
2026-09-02T11:55:00+08:00,明日方舟 周边,market_baseline,,销量,logged_in_visible_search_snapshot,1064807929821,https://item.taobao.com/item.htm?id=1064807929821,14,（现货）正版场贩明日方舟2026音律联觉-昔时我见通行证正版周边 明日方舟 现货 明日方舟通行证 ¥ 15 100+人收货 浙江 金华 48小时内发 洋芋谷子小屋,15.0,100.0,True,亚克力立牌,官方/授权,现货/在售,False,False,True,,0,1.0,arknights,taobao_arknights_market_baseline_2026-09-02.json,False,0.2559580248098155,True
2026-09-02T11:55:00+08:00,明日方舟 周边,market_baseline,,销量,logged_in_visible_search_snapshot,908407294162,https://item.taobao.com/item.htm?id=908407294162,15,明日方舟罗德岛人事部笔记本周边道具 罗德岛 DIY 青少年 ¥ 14 .55 补贴后 100+人收货 山东 菏泽 淘金币已抵0.45元 退货宝 48小时内发 泰拉补给站,14.55,100.0,True,生活数码,未标明,现货/在售,False,True,True,,0,1.0,arknights,taobao_arknights_market_baseline_2026-09-02.json,False,0.25,True
2026-09-02T11:55:00+08:00,明日方舟 周边,market_baseline,,销量,logged_in_visible_search_snapshot,1051887554404,https://item.taobao.com/item.htm?id=1051887554404,16,明日方舟终末地周边宏山电网士气章魔术贴徽章背包衣服装饰 异界小屋 在售 常规发售 ¥ 15 100+人收货 江苏 南京 退货宝 48小时内发 包邮 异界小屋,15.0,100.0,True,徽章吧唧,未标明,现货/在售,True,True,True,,0,1.0,endfield,taobao_arknights_market_baseline_2026-09-02.json,False,0.24465054211822604,True
2026-09-02T11:55:00+08:00,明日方舟 周边,market_baseline,,销量,logged_in_visible_search_snapshot,816019959819,https://item.taobao.com/item.htm?id=816019959819,17,"明日方舟技巧概要笔记本周边道具 博士,凯尔西,阿米娅 DIY 青少年 ¥ 14 .55 补贴后 100+人收货 山东 菏泽 淘金币已抵0.45元 退货宝 48小时内发 泰拉补给站",14.55,100.0,True,生活数码,未标明,现货/在售,False,True,True,凯尔希·思衡托,1,1.0,arknights,taobao_arknights_market_baseline_2026-09-02.json,False,0.23981246656813146,True
