operator,organic_sku_count,sales_proxy_min,numeric_sales_coverage,median_price,average_rank,market_visibility,category_breadth,official_share,fanmade_share,presale_share,taobao_observed,supply_score,demand_proxy_score,visibility_score,price_power_score,assortment_score,commercial_heat_score,commerce_confidence_score,commerce_data_grade,commerce_rank
凯尔希·思衡托,2.0,200.0,1.0,41.775,10.5,0.455150745604828,2.0,0.5,0.0,0.0,True,100.0,100.0,100.0,60.0,33.33333333333333,89.33333333333333,76.0,B,1
新约能天使,1.0,100.0,1.0,104.0,18.0,0.23540891336663824,1.0,1.0,0.0,1.0,True,50.0,70.0,80.0,100.0,16.666666666666664,64.66666666666667,68.0,B,2
荒芜拉普兰德,1.0,100.0,1.0,69.0,4.0,0.21533827903669653,1.0,1.0,0.0,0.0,True,50.0,70.0,60.0,80.0,16.666666666666664,58.666666666666664,68.0,B,3
佩佩,1.0,50.0,1.0,28.41,6.0,0.1781035935540111,1.0,0.0,0.0,0.0,True,50.0,30.0,30.0,30.0,16.666666666666664,33.666666666666664,68.0,B,4
塑心,1.0,50.0,1.0,28.41,6.0,0.1781035935540111,1.0,0.0,0.0,0.0,True,50.0,30.0,30.0,30.0,16.666666666666664,33.666666666666664,68.0,B,5
予愿安洁莉娜,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,10.0,D,6
丰川祥子,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,10.0,D,7
维娜·维多利亚,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,10.0,D,8
焰狐龙梓兰,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,10.0,D,9
纯烬艾雅法拉,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,10.0,D,10
赤刃明霄陈,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,10.0,D,11
凛御银灰,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,10.0,D,12
归溟幽灵鲨,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,10.0,D,13
黍,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,10.0,D,14
Mon3tr,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,10.0,D,15
重岳,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,10.0,D,16
望,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,10.0,D,17
缄默德克萨斯,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,10.0,D,18
死芒,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,10.0,D,19
真言,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,10.0,D,20
缪尔赛思,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,10.0,D,21
贝洛内,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,10.0,D,22
司霆惊蛰,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,10.0,D,23
余,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,10.0,D,24
酒神,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,10.0,D,25
斩业星熊,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,10.0,D,26
怒潮凛冬,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,10.0,D,27
谬因,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,10.0,D,28
娜斯提,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,10.0,D,29
缇缇,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,10.0,D,30
