response_id,valid,exclusion_reason
SYN-0001,True,
SYN-0002,True,
SYN-0003,True,
SYN-0004,True,
SYN-0005,True,
SYN-0006,True,
SYN-0007,True,
SYN-0008,True,
SYN-0009,True,
SYN-0010,True,
SYN-0011,True,
SYN-0012,True,
SYN-0013,True,
SYN-0014,True,
SYN-0015,True,
SYN-0016,True,
SYN-0017,True,
SYN-0018,True,
SYN-0019,True,
SYN-0020,True,
SYN-0021,True,
SYN-0022,True,
SYN-0023,True,
SYN-0024,True,
SYN-0025,True,
SYN-0026,True,
SYN-0027,True,
SYN-0028,True,
SYN-0029,True,
SYN-0030,True,
SYN-0031,True,
SYN-0032,True,
SYN-0033,True,
SYN-0034,True,
SYN-0035,True,
SYN-0036,True,
SYN-0037,True,
SYN-0038,True,
SYN-0039,True,
SYN-0040,True,
SYN-0041,True,
SYN-0042,True,
SYN-0043,True,
SYN-0044,True,
SYN-0045,True,
SYN-0046,True,
SYN-0047,True,
SYN-0048,True,
SYN-0049,True,
SYN-0050,True,
SYN-0051,True,
SYN-0052,True,
SYN-0053,True,
SYN-0054,True,
SYN-0055,True,
SYN-0056,True,
SYN-0057,True,
SYN-0058,True,
SYN-0059,True,
SYN-0060,True,
SYN-0061,True,
SYN-0062,True,
SYN-0063,True,
SYN-0064,True,
SYN-0065,True,
SYN-0066,True,
SYN-0067,True,
SYN-0068,True,
SYN-0069,True,
SYN-0070,True,
SYN-0071,True,
SYN-0072,True,
SYN-0073,True,
SYN-0074,True,
SYN-0075,True,
SYN-0076,True,
SYN-0077,True,
SYN-0078,True,
SYN-0079,True,
SYN-0080,True,
SYN-0081,True,
SYN-0082,True,
SYN-0083,True,
SYN-0084,True,
SYN-0085,True,
SYN-0086,True,
SYN-0087,True,
SYN-0088,True,
SYN-0089,True,
SYN-0090,True,
SYN-0091,True,
SYN-0092,True,
SYN-0093,True,
SYN-0094,True,
SYN-0095,True,
SYN-0096,True,
SYN-0097,True,
SYN-0098,True,
SYN-0099,True,
SYN-0100,True,
SYN-0101,True,
SYN-0102,True,
SYN-0103,True,
SYN-0104,True,
SYN-0105,True,
SYN-0106,True,
SYN-0107,True,
SYN-0108,True,
SYN-0109,True,
SYN-0110,True,
SYN-0111,True,
SYN-0112,True,
SYN-0113,True,
SYN-0114,True,
SYN-0115,True,
SYN-0116,True,
SYN-0117,True,
SYN-0118,True,
SYN-0119,True,
SYN-0120,True,
SYN-0121,True,
SYN-0122,True,
SYN-0123,True,
SYN-0124,True,
SYN-0125,True,
SYN-0126,True,
SYN-0127,True,
SYN-0128,True,
SYN-0129,True,
SYN-0130,True,
SYN-0131,True,
SYN-0132,True,
SYN-0133,True,
SYN-0134,True,
SYN-0135,True,
SYN-0136,True,
SYN-0137,True,
SYN-0138,True,
SYN-0139,True,
SYN-0140,True,
SYN-0141,True,
SYN-0142,True,
SYN-0143,True,
SYN-0144,True,
SYN-0145,True,
SYN-0146,True,
SYN-0147,True,
SYN-0148,True,
SYN-0149,True,
SYN-0150,True,
SYN-0151,True,
SYN-0152,True,
SYN-0153,True,
SYN-0154,True,
SYN-0155,True,
SYN-0156,True,
SYN-0157,True,
SYN-0158,True,
SYN-0159,True,
SYN-0160,True,
SYN-0161,True,
SYN-0162,True,
SYN-0163,True,
SYN-0164,True,
SYN-0165,True,
SYN-0166,True,
SYN-0167,True,
SYN-0168,True,
SYN-0169,True,
SYN-0170,True,
SYN-0171,True,
SYN-0172,True,
SYN-0173,True,
SYN-0174,True,
SYN-0175,True,
SYN-0176,True,
SYN-0177,True,
SYN-0178,True,
SYN-0179,True,
SYN-0180,True,
SYN-0181,True,
SYN-0182,True,
SYN-0183,True,
SYN-0184,True,
SYN-0185,True,
SYN-0186,True,
SYN-0187,True,
SYN-0188,True,
SYN-0189,True,
SYN-0190,True,
SYN-0191,True,
SYN-0192,True,
SYN-0193,True,
SYN-0194,True,
SYN-0195,True,
SYN-0196,True,
SYN-0197,True,
SYN-0198,True,
SYN-0199,True,
SYN-0200,True,
