response_id,category,price_band,price_lower_bound,price_upper_bound,price_midpoint_proxy,is_simulated
REAL-ARK-SURVEY-20260903-001,吧唧（徽章）,15元内,15.0,15.0,15.0,False
REAL-ARK-SURVEY-20260903-001,通行证,20元内,20.0,20.0,20.0,False
REAL-ARK-SURVEY-20260903-001,亚克力制品,30元内,30.0,30.0,30.0,False
REAL-ARK-SURVEY-20260903-001,毛绒玩偶,250元以上,250.0,,312.5,False
REAL-ARK-SURVEY-20260903-001,手办模玩,201～500元,201.0,500.0,350.5,False
REAL-ARK-SURVEY-20260903-001,装饰摆件,50元内,50.0,50.0,50.0,False
REAL-ARK-SURVEY-20260903-001,日用生活,50元内,50.0,50.0,50.0,False
REAL-ARK-SURVEY-20260903-002,吧唧（徽章）,16～25元,16.0,25.0,20.5,False
REAL-ARK-SURVEY-20260903-002,通行证,20元内,20.0,20.0,20.0,False
REAL-ARK-SURVEY-20260903-002,亚克力制品,31～50元,31.0,50.0,40.5,False
REAL-ARK-SURVEY-20260903-002,毛绒玩偶,250元以上,250.0,,312.5,False
REAL-ARK-SURVEY-20260903-002,手办模玩,501～1000元,501.0,1000.0,750.5,False
REAL-ARK-SURVEY-20260903-002,装饰摆件,101～200元,101.0,200.0,150.5,False
REAL-ARK-SURVEY-20260903-002,日用生活,101～200元,101.0,200.0,150.5,False
REAL-ARK-SURVEY-20260903-003,吧唧（徽章）,15元内,15.0,15.0,15.0,False
REAL-ARK-SURVEY-20260903-003,通行证,20元内,20.0,20.0,20.0,False
REAL-ARK-SURVEY-20260903-003,亚克力制品,30元内,30.0,30.0,30.0,False
REAL-ARK-SURVEY-20260903-003,毛绒玩偶,80元内,80.0,80.0,80.0,False
REAL-ARK-SURVEY-20260903-003,手办模玩,501～1000元,501.0,1000.0,750.5,False
REAL-ARK-SURVEY-20260903-003,装饰摆件,50元内,50.0,50.0,50.0,False
REAL-ARK-SURVEY-20260903-003,日用生活,101～200元,101.0,200.0,150.5,False
REAL-ARK-SURVEY-20260903-004,吧唧（徽章）,16～25元,16.0,25.0,20.5,False
REAL-ARK-SURVEY-20260903-004,通行证,60元以上,60.0,,75.0,False
REAL-ARK-SURVEY-20260903-004,亚克力制品,31～50元,31.0,50.0,40.5,False
REAL-ARK-SURVEY-20260903-004,毛绒玩偶,81～150元,81.0,150.0,115.5,False
REAL-ARK-SURVEY-20260903-004,手办模玩,201～500元,201.0,500.0,350.5,False
REAL-ARK-SURVEY-20260903-004,装饰摆件,50元内,50.0,50.0,50.0,False
REAL-ARK-SURVEY-20260903-004,日用生活,101～200元,101.0,200.0,150.5,False
REAL-ARK-SURVEY-20260903-005,吧唧（徽章）,15元内,15.0,15.0,15.0,False
REAL-ARK-SURVEY-20260903-005,通行证,41～60元,41.0,60.0,50.5,False
REAL-ARK-SURVEY-20260903-005,亚克力制品,51～80元,51.0,80.0,65.5,False
REAL-ARK-SURVEY-20260903-005,毛绒玩偶,81～150元,81.0,150.0,115.5,False
REAL-ARK-SURVEY-20260903-005,手办模玩,501～1000元,501.0,1000.0,750.5,False
REAL-ARK-SURVEY-20260903-005,装饰摆件,51～100元,51.0,100.0,75.5,False
REAL-ARK-SURVEY-20260903-005,日用生活,50元内,50.0,50.0,50.0,False
REAL-ARK-SURVEY-20260903-006,吧唧（徽章）,16～25元,16.0,25.0,20.5,False
REAL-ARK-SURVEY-20260903-006,通行证,41～60元,41.0,60.0,50.5,False
REAL-ARK-SURVEY-20260903-006,亚克力制品,31～50元,31.0,50.0,40.5,False
REAL-ARK-SURVEY-20260903-006,毛绒玩偶,80元内,80.0,80.0,80.0,False
REAL-ARK-SURVEY-20260903-006,手办模玩,501～1000元,501.0,1000.0,750.5,False
REAL-ARK-SURVEY-20260903-006,装饰摆件,200元以上,200.0,,250.0,False
REAL-ARK-SURVEY-20260903-006,日用生活,51～100元,51.0,100.0,75.5,False
REAL-ARK-SURVEY-20260903-007,吧唧（徽章）,15元内,15.0,15.0,15.0,False
REAL-ARK-SURVEY-20260903-007,通行证,21～40元,21.0,40.0,30.5,False
REAL-ARK-SURVEY-20260903-007,亚克力制品,30元内,30.0,30.0,30.0,False
REAL-ARK-SURVEY-20260903-007,毛绒玩偶,81～150元,81.0,150.0,115.5,False
REAL-ARK-SURVEY-20260903-007,手办模玩,201～500元,201.0,500.0,350.5,False
REAL-ARK-SURVEY-20260903-007,装饰摆件,51～100元,51.0,100.0,75.5,False
REAL-ARK-SURVEY-20260903-007,日用生活,101～200元,101.0,200.0,150.5,False
REAL-ARK-SURVEY-20260903-008,吧唧（徽章）,15元内,15.0,15.0,15.0,False
REAL-ARK-SURVEY-20260903-008,通行证,20元内,20.0,20.0,20.0,False
REAL-ARK-SURVEY-20260903-008,亚克力制品,30元内,30.0,30.0,30.0,False
REAL-ARK-SURVEY-20260903-008,毛绒玩偶,80元内,80.0,80.0,80.0,False
REAL-ARK-SURVEY-20260903-008,手办模玩,201～500元,201.0,500.0,350.5,False
REAL-ARK-SURVEY-20260903-008,装饰摆件,50元内,50.0,50.0,50.0,False
REAL-ARK-SURVEY-20260903-008,日用生活,51～100元,51.0,100.0,75.5,False
REAL-ARK-SURVEY-20260903-009,吧唧（徽章）,15元内,15.0,15.0,15.0,False
REAL-ARK-SURVEY-20260903-009,通行证,20元内,20.0,20.0,20.0,False
REAL-ARK-SURVEY-20260903-009,亚克力制品,31～50元,31.0,50.0,40.5,False
REAL-ARK-SURVEY-20260903-009,毛绒玩偶,81～150元,81.0,150.0,115.5,False
REAL-ARK-SURVEY-20260903-009,手办模玩,201～500元,201.0,500.0,350.5,False
REAL-ARK-SURVEY-20260903-009,装饰摆件,51～100元,51.0,100.0,75.5,False
REAL-ARK-SURVEY-20260903-009,日用生活,51～100元,51.0,100.0,75.5,False
REAL-ARK-SURVEY-20260903-010,吧唧（徽章）,16～25元,16.0,25.0,20.5,False
REAL-ARK-SURVEY-20260903-010,通行证,41～60元,41.0,60.0,50.5,False
REAL-ARK-SURVEY-20260903-010,亚克力制品,31～50元,31.0,50.0,40.5,False
REAL-ARK-SURVEY-20260903-010,毛绒玩偶,81～150元,81.0,150.0,115.5,False
REAL-ARK-SURVEY-20260903-010,手办模玩,501～1000元,501.0,1000.0,750.5,False
REAL-ARK-SURVEY-20260903-010,装饰摆件,51～100元,51.0,100.0,75.5,False
REAL-ARK-SURVEY-20260903-010,日用生活,200元以上,200.0,,250.0,False
REAL-ARK-SURVEY-20260903-011,吧唧（徽章）,15元内,15.0,15.0,15.0,False
REAL-ARK-SURVEY-20260903-011,通行证,21～40元,21.0,40.0,30.5,False
REAL-ARK-SURVEY-20260903-011,亚克力制品,31～50元,31.0,50.0,40.5,False
REAL-ARK-SURVEY-20260903-011,毛绒玩偶,80元内,80.0,80.0,80.0,False
REAL-ARK-SURVEY-20260903-011,手办模玩,201～500元,201.0,500.0,350.5,False
REAL-ARK-SURVEY-20260903-011,装饰摆件,51～100元,51.0,100.0,75.5,False
REAL-ARK-SURVEY-20260903-011,日用生活,51～100元,51.0,100.0,75.5,False
REAL-ARK-SURVEY-20260903-012,吧唧（徽章）,26～35元,26.0,35.0,30.5,False
REAL-ARK-SURVEY-20260903-012,通行证,21～40元,21.0,40.0,30.5,False
REAL-ARK-SURVEY-20260903-012,亚克力制品,51～80元,51.0,80.0,65.5,False
REAL-ARK-SURVEY-20260903-012,毛绒玩偶,151～250元,151.0,250.0,200.5,False
REAL-ARK-SURVEY-20260903-012,手办模玩,201～500元,201.0,500.0,350.5,False
REAL-ARK-SURVEY-20260903-012,装饰摆件,51～100元,51.0,100.0,75.5,False
