response_id,operator,preference_rank,preference_weight,is_simulated
REAL-ARK-SURVEY-20260903-001,伊芙利特,1,3,False
REAL-ARK-SURVEY-20260903-001,夕,2,2,False
REAL-ARK-SURVEY-20260903-001,令,3,1,False
REAL-ARK-SURVEY-20260903-002,维什戴尔,1,3,False
REAL-ARK-SURVEY-20260903-002,锏,2,2,False
REAL-ARK-SURVEY-20260903-002,陈,3,1,False
REAL-ARK-SURVEY-20260903-003,幽灵鲨,1,3,False
REAL-ARK-SURVEY-20260903-003,铃兰,2,2,False
REAL-ARK-SURVEY-20260903-003,玛恩纳,3,1,False
REAL-ARK-SURVEY-20260903-004,温蒂,1,3,False
REAL-ARK-SURVEY-20260903-004,史尔特尔,2,2,False
REAL-ARK-SURVEY-20260903-004,斯卡蒂,3,1,False
REAL-ARK-SURVEY-20260903-005,史尔特尔,1,3,False
REAL-ARK-SURVEY-20260903-005,德克萨斯,2,2,False
REAL-ARK-SURVEY-20260903-005,维什戴尔,3,1,False
REAL-ARK-SURVEY-20260903-006,令,1,3,False
REAL-ARK-SURVEY-20260903-006,德克萨斯,2,2,False
REAL-ARK-SURVEY-20260903-006,浊心斯卡蒂,3,1,False
REAL-ARK-SURVEY-20260903-007,维什戴尔,1,3,False
REAL-ARK-SURVEY-20260903-007,逻各斯,2,2,False
REAL-ARK-SURVEY-20260903-007,银灰,3,1,False
REAL-ARK-SURVEY-20260903-008,浊心斯卡蒂,1,3,False
REAL-ARK-SURVEY-20260903-008,棘刺,2,2,False
REAL-ARK-SURVEY-20260903-008,W,3,1,False
REAL-ARK-SURVEY-20260903-009,令,1,3,False
REAL-ARK-SURVEY-20260903-009,德克萨斯,2,2,False
REAL-ARK-SURVEY-20260903-009,W,3,1,False
REAL-ARK-SURVEY-20260903-010,诗怀雅,1,3,False
REAL-ARK-SURVEY-20260903-010,夕,2,2,False
REAL-ARK-SURVEY-20260903-010,凯尔希,3,1,False
REAL-ARK-SURVEY-20260903-011,史尔特尔,1,3,False
REAL-ARK-SURVEY-20260903-011,黍,2,2,False
REAL-ARK-SURVEY-20260903-011,幽灵鲨,3,1,False
REAL-ARK-SURVEY-20260903-012,煌,1,3,False
REAL-ARK-SURVEY-20260903-012,幽灵鲨,2,2,False
REAL-ARK-SURVEY-20260903-012,能天使,3,1,False
REAL-ARK-SURVEY-20260903-013,幽灵鲨,1,3,False
REAL-ARK-SURVEY-20260903-013,浊心斯卡蒂,2,2,False
REAL-ARK-SURVEY-20260903-013,阿米娅,3,1,False
REAL-ARK-SURVEY-20260903-014,德克萨斯,1,3,False
REAL-ARK-SURVEY-20260903-014,W,2,2,False
REAL-ARK-SURVEY-20260903-014,浊心斯卡蒂,3,1,False
REAL-ARK-SURVEY-20260903-015,能天使,1,3,False
REAL-ARK-SURVEY-20260903-015,维什戴尔,2,2,False
REAL-ARK-SURVEY-20260903-015,诗怀雅,3,1,False
REAL-ARK-SURVEY-20260903-016,锏,1,3,False
REAL-ARK-SURVEY-20260903-016,幽灵鲨,2,2,False
REAL-ARK-SURVEY-20260903-016,浊心斯卡蒂,3,1,False
REAL-ARK-SURVEY-20260903-017,缪尔赛思,1,3,False
REAL-ARK-SURVEY-20260903-017,泥岩,2,2,False
REAL-ARK-SURVEY-20260903-017,凯尔希,3,1,False
REAL-ARK-SURVEY-20260903-018,锏,1,3,False
REAL-ARK-SURVEY-20260903-018,塞雷娅,2,2,False
REAL-ARK-SURVEY-20260903-018,艾雅法拉,3,1,False
REAL-ARK-SURVEY-20260903-019,能天使,1,3,False
REAL-ARK-SURVEY-20260903-019,维什戴尔,2,2,False
REAL-ARK-SURVEY-20260903-019,凯尔希,3,1,False
REAL-ARK-SURVEY-20260903-020,诗怀雅,1,3,False
REAL-ARK-SURVEY-20260903-020,银灰,2,2,False
REAL-ARK-SURVEY-20260903-020,铃兰,3,1,False
REAL-ARK-SURVEY-20260903-021,史尔特尔,1,3,False
REAL-ARK-SURVEY-20260903-021,银灰,2,2,False
REAL-ARK-SURVEY-20260903-021,能天使,3,1,False
REAL-ARK-SURVEY-20260903-022,斯卡蒂,1,3,False
REAL-ARK-SURVEY-20260903-022,黍,2,2,False
REAL-ARK-SURVEY-20260903-022,幽灵鲨,3,1,False
REAL-ARK-SURVEY-20260903-023,夕,1,3,False
REAL-ARK-SURVEY-20260903-023,能天使,2,2,False
REAL-ARK-SURVEY-20260903-023,泥岩,3,1,False
REAL-ARK-SURVEY-20260903-024,缪尔赛思,1,3,False
REAL-ARK-SURVEY-20260903-024,霍尔海雅,2,2,False
REAL-ARK-SURVEY-20260903-024,史尔特尔,3,1,False
REAL-ARK-SURVEY-20260903-025,塞雷娅,1,3,False
REAL-ARK-SURVEY-20260903-025,泥岩,2,2,False
REAL-ARK-SURVEY-20260903-025,斯卡蒂,3,1,False
REAL-ARK-SURVEY-20260903-026,浊心斯卡蒂,1,3,False
REAL-ARK-SURVEY-20260903-026,史尔特尔,2,2,False
REAL-ARK-SURVEY-20260903-026,阿米娅,3,1,False
REAL-ARK-SURVEY-20260903-027,史尔特尔,1,3,False
REAL-ARK-SURVEY-20260903-027,缪尔赛思,2,2,False
REAL-ARK-SURVEY-20260903-027,夜莺,3,1,False
REAL-ARK-SURVEY-20260903-028,能天使,1,3,False
REAL-ARK-SURVEY-20260903-028,陈,2,2,False
REAL-ARK-SURVEY-20260903-028,W,3,1,False
REAL-ARK-SURVEY-20260903-029,煌,1,3,False
REAL-ARK-SURVEY-20260903-029,德克萨斯,2,2,False
REAL-ARK-SURVEY-20260903-029,缪尔赛思,3,1,False
REAL-ARK-SURVEY-20260903-030,温蒂,1,3,False
REAL-ARK-SURVEY-20260903-030,德克萨斯,2,2,False
REAL-ARK-SURVEY-20260903-030,幽灵鲨,3,1,False
REAL-ARK-SURVEY-20260903-031,温蒂,1,3,False
REAL-ARK-SURVEY-20260903-031,维什戴尔,2,2,False
REAL-ARK-SURVEY-20260903-031,凯尔希,3,1,False
REAL-ARK-SURVEY-20260903-032,拉普兰德,1,3,False
REAL-ARK-SURVEY-20260903-032,夕,2,2,False
REAL-ARK-SURVEY-20260903-032,斯卡蒂,3,1,False
