response_id,question_count,valid,exclusion_reason,duplicate_fingerprint,submitted_at_available,completion_seconds_available,acceptable_price_numeric
REAL-ARK-SURVEY-20260903-001,25,True,,False,False,False,True
REAL-ARK-SURVEY-20260903-002,25,True,,False,False,False,True
REAL-ARK-SURVEY-20260903-003,25,True,,False,False,False,True
REAL-ARK-SURVEY-20260903-004,25,True,,False,False,False,True
REAL-ARK-SURVEY-20260903-005,25,True,,False,False,False,True
REAL-ARK-SURVEY-20260903-006,25,True,,False,False,False,True
REAL-ARK-SURVEY-20260903-007,25,True,,False,False,False,True
REAL-ARK-SURVEY-20260903-008,25,True,,False,False,False,True
REAL-ARK-SURVEY-20260903-009,25,True,,False,False,False,True
REAL-ARK-SURVEY-20260903-010,25,True,,False,False,False,True
REAL-ARK-SURVEY-20260903-011,25,True,,False,False,False,True
REAL-ARK-SURVEY-20260903-012,25,True,,False,False,False,False
REAL-ARK-SURVEY-20260903-013,25,True,,False,False,False,True
REAL-ARK-SURVEY-20260903-014,25,True,,False,False,False,True
REAL-ARK-SURVEY-20260903-015,25,True,,False,False,False,True
REAL-ARK-SURVEY-20260903-016,25,True,,False,False,False,True
REAL-ARK-SURVEY-20260903-017,25,True,,False,False,False,True
REAL-ARK-SURVEY-20260903-018,25,True,,False,False,False,True
REAL-ARK-SURVEY-20260903-019,25,True,,False,False,False,True
REAL-ARK-SURVEY-20260903-020,25,True,,False,False,False,True
REAL-ARK-SURVEY-20260903-021,25,True,,False,False,False,True
REAL-ARK-SURVEY-20260903-022,25,True,,False,False,False,True
REAL-ARK-SURVEY-20260903-023,25,True,,False,False,False,True
REAL-ARK-SURVEY-20260903-024,25,True,,False,False,False,True
REAL-ARK-SURVEY-20260903-025,25,True,,False,False,False,True
REAL-ARK-SURVEY-20260903-026,25,True,,False,False,False,True
REAL-ARK-SURVEY-20260903-027,25,True,,False,False,False,True
REAL-ARK-SURVEY-20260903-028,25,True,,False,False,False,True
REAL-ARK-SURVEY-20260903-029,25,True,,False,False,False,True
REAL-ARK-SURVEY-20260903-030,25,True,,False,False,False,True
REAL-ARK-SURVEY-20260903-031,25,True,,False,False,False,True
REAL-ARK-SURVEY-20260903-032,25,True,,False,False,False,True
REAL-ARK-SURVEY-20260903-033,25,True,,False,False,False,True
REAL-ARK-SURVEY-20260903-034,25,True,,False,False,False,True
REAL-ARK-SURVEY-20260903-035,25,True,,False,False,False,True
REAL-ARK-SURVEY-20260903-036,25,True,,False,False,False,True
REAL-ARK-SURVEY-20260903-037,25,True,,False,False,False,True
REAL-ARK-SURVEY-20260903-038,25,True,,False,False,False,True
REAL-ARK-SURVEY-20260903-039,25,True,,False,False,False,True
REAL-ARK-SURVEY-20260903-040,25,True,,False,False,False,True
REAL-ARK-SURVEY-20260903-041,25,True,,False,False,False,True
REAL-ARK-SURVEY-20260903-042,25,True,,False,False,False,True
REAL-ARK-SURVEY-20260903-043,25,True,,False,False,False,True
REAL-ARK-SURVEY-20260903-044,25,True,,False,False,False,True
REAL-ARK-SURVEY-20260903-045,25,True,,False,False,False,True
