response_id,respondent_id,submitted_at,consent,consent_source,response_source,validation_profile,completion_seconds,questionnaire_version,randomization_group,age_band,activity_days_30d,player_tenure_months,player_status,monthly_merch_budget,has_purchased_merch,purchase_history,annual_merch_spend,purchase_frequency_12m,preferred_operator_1,preferred_operator_2,preferred_operator_3,operator,category,purchase_intent,acceptable_price,channel,limited_preference,purchase_motivation,purchase_barrier,promotion_preference,preorder_tolerance_days,price_good_value,concept_appeal,concept_strength,concept_concern,concept_variant,attribute_priority,product_improvement,open_feedback,is_simulated,is_real_survey_response,data_type,source_batch_id,source_note
REAL-ARK-SURVEY-20260903-001,REAL-ARK-SURVEY-20260903-001,,True,batch_owner_attestation,anonymous_questionnaire_batch,anonymous_batch_without_timing,,v2.2-paper-batch,A,18～22岁,6,84.0,玩过《明日方舟》,50.0,False,还没有买过正版周边,0.0,0,伊芙利特,夕,令,伊芙利特,通行证,4,80.0,B站会员购,4,材质和做工让人放心｜价格合适,价格比预期高｜运费太高｜发货进度不透明,包邮,75.0,20.0,4,角色选择｜收藏价值｜配件或玩法,实物图和细节｜材质和工艺｜具体尺寸,更喜欢A款,角色和画面设计=2｜材质与做工=1｜正版授权=4｜实用性=6｜价格=3｜限定或收藏价值=5,希望减少容易刮花的材质,-,False,True,real_anonymous_survey_user_attested,ARK-SURVEY-20260903,Batch owner confirmed real responses; source TXT header was mislabeled.
REAL-ARK-SURVEY-20260903-002,REAL-ARK-SURVEY-20260903-002,,True,batch_owner_attestation,anonymous_questionnaire_batch,anonymous_batch_without_timing,,v2.2-paper-batch,B,23～26岁,2,48.0,玩过《明日方舟》,400.0,True,买过《明日方舟》官方或正版授权周边,3500.0,8,维什戴尔,锏,陈,维什戴尔,亚克力制品,3,120.0,淘宝/天猫,4,画面或造型设计很好看｜材质和做工让人放心｜很喜欢这个角色,运费太高｜价格比预期高｜发货进度不透明,直接降价,135.0,40.5,3,角色选择｜材质与工艺,售后规则｜实物图和细节,更喜欢B款,角色和画面设计=4｜材质与做工=3｜正版授权=1｜实用性=2｜价格=6｜限定或收藏价值=5,-,希望包装在保护商品的同时不要过度增加体积和运费。,False,True,real_anonymous_survey_user_attested,ARK-SURVEY-20260903,Batch owner confirmed real responses; source TXT header was mislabeled.
REAL-ARK-SURVEY-20260903-003,REAL-ARK-SURVEY-20260903-003,,True,batch_owner_attestation,anonymous_questionnaire_batch,anonymous_batch_without_timing,,v2.2-paper-batch,A,18～22岁,6,48.0,玩过《明日方舟》,200.0,True,买过《明日方舟》官方或正版授权周边,350.0,2,幽灵鲨,铃兰,玛恩纳,幽灵鲨,装饰摆件,3,100.0,官方商城,4,材质和做工让人放心｜是限定、联名或活动纪念款｜价格合适,设计不太喜欢｜价格比预期高,包邮,30.0,50.0,3,角色选择｜配色｜尺寸,是否容易缺货或限量｜是否为正版授权｜最终价格,更喜欢A款,角色和画面设计=1｜材质与做工=5｜正版授权=4｜实用性=6｜价格=2｜限定或收藏价值=3,-,想看到更多阵营主题、干员小队主题的组合周边。,False,True,real_anonymous_survey_user_attested,ARK-SURVEY-20260903,Batch owner confirmed real responses; source TXT header was mislabeled.
REAL-ARK-SURVEY-20260903-004,REAL-ARK-SURVEY-20260903-004,,True,batch_owner_attestation,anonymous_questionnaire_batch,anonymous_batch_without_timing,,v2.2-paper-batch,B,23～26岁,28,48.0,玩过《明日方舟》,400.0,False,没买过方舟正版周边，但买过其他ACG正版周边,750.0,4,温蒂,史尔特尔,斯卡蒂,温蒂,毛绒玩偶,4,250.0,B站会员购,5,材质和做工让人放心｜平时真的能用到｜画面或造型设计很好看,设计不太喜欢｜运费太高,包邮,30.0,115.5,4,材质与工艺｜角色选择,最终价格｜是否为正版授权｜实物图和细节,更喜欢B款,角色和画面设计=5｜材质与做工=3｜正版授权=6｜实用性=4｜价格=2｜限定或收藏价值=1,希望售后规则更明确,-,False,True,real_anonymous_survey_user_attested,ARK-SURVEY-20260903,Batch owner confirmed real responses; source TXT header was mislabeled.
REAL-ARK-SURVEY-20260903-005,REAL-ARK-SURVEY-20260903-005,,True,batch_owner_attestation,anonymous_questionnaire_batch,anonymous_batch_without_timing,,v2.2-paper-batch,B,18～22岁,16,84.0,玩过《明日方舟》,200.0,True,买过《明日方舟》官方或正版授权周边,350.0,4,史尔特尔,德克萨斯,维什戴尔,史尔特尔,亚克力制品,3,150.0,其他：线下谷店,5,有收藏或凑套装的价值｜很喜欢这个角色,运费太高｜发货进度不透明,直接降价,135.0,65.5,1,暂时没有特别吸引我的地方,是否为正版授权｜售后规则｜最终价格,更喜欢B款,角色和画面设计=2｜材质与做工=1｜正版授权=6｜实用性=5｜价格=3｜限定或收藏价值=4,希望尺寸标注更清楚,希望同一角色能做统一主题套装，方便收藏。,False,True,real_anonymous_survey_user_attested,ARK-SURVEY-20260903,Batch owner confirmed real responses; source TXT header was mislabeled.
REAL-ARK-SURVEY-20260903-006,REAL-ARK-SURVEY-20260903-006,,True,batch_owner_attestation,anonymous_questionnaire_batch,anonymous_batch_without_timing,,v2.2-paper-batch,B,23～26岁,28,48.0,玩过《明日方舟》,200.0,False,没买过方舟正版周边，但买过其他ACG正版周边,350.0,2,令,德克萨斯,浊心斯卡蒂,令,毛绒玩偶,5,150.0,B站会员购,3,很喜欢这个角色｜有收藏或凑套装的价值｜价格合适,售后或退换不方便｜材质、尺寸或实物效果说不清楚,角色套装更优惠,30.0,80.0,5,配件或玩法｜画面或造型｜收藏价值,最终价格｜是否为正版授权｜实物图和细节,更喜欢B款,角色和画面设计=5｜材质与做工=2｜正版授权=1｜实用性=3｜价格=4｜限定或收藏价值=6,-,希望多出一些冷门角色的周边，不要总集中在少数热门角色。,False,True,real_anonymous_survey_user_attested,ARK-SURVEY-20260903,Batch owner confirmed real responses; source TXT header was mislabeled.
REAL-ARK-SURVEY-20260903-007,REAL-ARK-SURVEY-20260903-007,,True,batch_owner_attestation,anonymous_questionnaire_batch,anonymous_batch_without_timing,,v2.2-paper-batch,tie,18～22岁,28,84.0,玩过《明日方舟》,50.0,True,买过《明日方舟》官方或正版授权周边,350.0,8,维什戴尔,逻各斯,银灰,维什戴尔,亚克力制品,4,100.0,官方商城,4,很喜欢这个角色｜平时真的能用到｜想支持作品或官方,已经有很多同类周边｜售后或退换不方便｜发货进度不透明,直接降价,0.0,30.0,4,收藏价值｜角色选择｜画面或造型,材质和工艺,两款都可以,角色和画面设计=1｜材质与做工=3｜正版授权=4｜实用性=6｜价格=2｜限定或收藏价值=5,-,可以接受联名，但希望不要为了限定把价格抬得太高。,False,True,real_anonymous_survey_user_attested,ARK-SURVEY-20260903,Batch owner confirmed real responses; source TXT header was mislabeled.
REAL-ARK-SURVEY-20260903-008,REAL-ARK-SURVEY-20260903-008,,True,batch_owner_attestation,anonymous_questionnaire_batch,anonymous_batch_without_timing,,v2.2-paper-batch,A,18～22岁,2,24.0,玩过《明日方舟》,50.0,False,还没有买过正版周边,0.0,0,浊心斯卡蒂,棘刺,W,浊心斯卡蒂,装饰摆件,4,300.0,官方商城,4,画面或造型设计很好看｜是限定、联名或活动纪念款｜价格合适,已经有很多同类周边｜运费太高｜担心不是正版,直接降价,45.0,50.0,3,角色选择｜收藏价值,具体尺寸｜发货时间,更喜欢A款,角色和画面设计=3｜材质与做工=5｜正版授权=1｜实用性=6｜价格=4｜限定或收藏价值=2,希望材质和做工更扎实,没有特别建议，主要还是看角色和成品质量。,False,True,real_anonymous_survey_user_attested,ARK-SURVEY-20260903,Batch owner confirmed real responses; source TXT header was mislabeled.
REAL-ARK-SURVEY-20260903-009,REAL-ARK-SURVEY-20260903-009,,True,batch_owner_attestation,anonymous_questionnaire_batch,anonymous_batch_without_timing,,v2.2-paper-batch,B,18～22岁,0,0.0,没玩过《明日方舟》,50.0,False,没买过方舟正版周边，但买过其他ACG正版周边,100.0,2,令,德克萨斯,W,令,装饰摆件,2,200.0,淘宝/天猫,4,价格合适｜朋友推荐或社区评价很好｜画面或造型设计很好看,设计不太喜欢｜价格比预期高｜材质、尺寸或实物效果说不清楚,包邮,0.0,75.5,2,暂时没有特别吸引我的地方,实物图和细节｜是否为正版授权,更喜欢B款,角色和画面设计=2｜材质与做工=1｜正版授权=4｜实用性=3｜价格=5｜限定或收藏价值=6,希望尺寸标注更清楚,希望包装在保护商品的同时不要过度增加体积和运费。,False,True,real_anonymous_survey_user_attested,ARK-SURVEY-20260903,Batch owner confirmed real responses; source TXT header was mislabeled.
REAL-ARK-SURVEY-20260903-010,REAL-ARK-SURVEY-20260903-010,,True,batch_owner_attestation,anonymous_questionnaire_batch,anonymous_batch_without_timing,,v2.2-paper-batch,A,18～22岁,2,84.0,玩过《明日方舟》,200.0,True,买过《明日方舟》官方或正版授权周边,2000.0,8,诗怀雅,夕,凯尔希,诗怀雅,手办模玩,3,2000.0,官方商城,4,是限定、联名或活动纪念款,运费太高｜设计不太喜欢｜材质、尺寸或实物效果说不清楚,角色套装更优惠,75.0,750.5,3,实用性｜画面或造型,实物图和细节,更喜欢A款,角色和画面设计=2｜材质与做工=1｜正版授权=4｜实用性=5｜价格=3｜限定或收藏价值=6,-,没有特别建议，主要还是看角色和成品质量。,False,True,real_anonymous_survey_user_attested,ARK-SURVEY-20260903,Batch owner confirmed real responses; source TXT header was mislabeled.
REAL-ARK-SURVEY-20260903-011,REAL-ARK-SURVEY-20260903-011,,True,batch_owner_attestation,anonymous_questionnaire_batch,anonymous_batch_without_timing,,v2.2-paper-batch,tie,18～22岁,28,24.0,玩过《明日方舟》,50.0,False,没买过方舟正版周边，但买过其他ACG正版周边,100.0,4,史尔特尔,黍,幽灵鲨,史尔特尔,日用生活,3,150.0,B站会员购,5,想支持作品或官方｜材质和做工让人放心,价格比预期高｜运费太高｜不确定买回来怎么摆或怎么用,预售特典,45.0,75.5,3,画面或造型｜配色｜材质与工艺,具体尺寸｜实物图和细节｜最终价格,两款都可以,角色和画面设计=2｜材质与做工=3｜正版授权=1｜实用性=4｜价格=5｜限定或收藏价值=6,希望材质和做工更扎实,希望同一角色能做统一主题套装，方便收藏。,False,True,real_anonymous_survey_user_attested,ARK-SURVEY-20260903,Batch owner confirmed real responses; source TXT header was mislabeled.
REAL-ARK-SURVEY-20260903-012,REAL-ARK-SURVEY-20260903-012,,True,batch_owner_attestation,anonymous_questionnaire_batch,anonymous_batch_without_timing,,v2.2-paper-batch,B,18～22岁,16,24.0,玩过《明日方舟》,400.0,True,买过《明日方舟》官方或正版授权周边,2000.0,8,煌,幽灵鲨,能天使,煌,日用生活,5,,官方商城,4,价格合适｜很喜欢这个角色｜朋友推荐或社区评价很好,设计不太喜欢｜已经有很多同类周边｜价格比预期高,直接降价,75.0,75.5,1,实用性｜角色选择,最终价格｜材质和工艺｜实物图和细节,更喜欢B款,角色和画面设计=2｜材质与做工=1｜正版授权=4｜实用性=3｜价格=5｜限定或收藏价值=6,-,想要更多能日常使用的周边，比如包、杯子、文具和服饰。,False,True,real_anonymous_survey_user_attested,ARK-SURVEY-20260903,Batch owner confirmed real responses; source TXT header was mislabeled.
REAL-ARK-SURVEY-20260903-013,REAL-ARK-SURVEY-20260903-013,,True,batch_owner_attestation,anonymous_questionnaire_batch,anonymous_batch_without_timing,,v2.2-paper-batch,tie,18～22岁,16,48.0,玩过《明日方舟》,200.0,True,买过《明日方舟》官方或正版授权周边,350.0,2,幽灵鲨,浊心斯卡蒂,阿米娅,幽灵鲨,毛绒玩偶,5,150.0,淘宝/天猫,5,价格合适,发货进度不透明｜价格比预期高｜预售时间太长,不太在意促销，更看重商品本身,45.0,200.5,4,画面或造型｜尺寸｜材质与工艺,发货时间｜是否容易缺货或限量｜实物图和细节,两款都可以,角色和画面设计=1｜材质与做工=3｜正版授权=5｜实用性=6｜价格=2｜限定或收藏价值=4,希望价格再友好一点,没有特别建议，主要还是看角色和成品质量。,False,True,real_anonymous_survey_user_attested,ARK-SURVEY-20260903,Batch owner confirmed real responses; source TXT header was mislabeled.
REAL-ARK-SURVEY-20260903-014,REAL-ARK-SURVEY-20260903-014,,True,batch_owner_attestation,anonymous_questionnaire_batch,anonymous_batch_without_timing,,v2.2-paper-batch,tie,18～22岁,16,84.0,玩过《明日方舟》,200.0,False,没买过方舟正版周边，但买过其他ACG正版周边,350.0,4,德克萨斯,W,浊心斯卡蒂,德克萨斯,亚克力制品,2,100.0,其他：线下谷店,4,画面或造型设计很好看｜有收藏或凑套装的价值｜朋友推荐或社区评价很好,担心不是正版｜设计不太喜欢,包邮,75.0,30.0,2,暂时没有特别吸引我的地方,是否容易缺货或限量｜材质和工艺｜最终价格,两款都可以,角色和画面设计=1｜材质与做工=2｜正版授权=5｜实用性=6｜价格=3｜限定或收藏价值=4,希望增加可替换配件或玩法,-,False,True,real_anonymous_survey_user_attested,ARK-SURVEY-20260903,Batch owner confirmed real responses; source TXT header was mislabeled.
REAL-ARK-SURVEY-20260903-015,REAL-ARK-SURVEY-20260903-015,,True,batch_owner_attestation,anonymous_questionnaire_batch,anonymous_batch_without_timing,,v2.2-paper-batch,tie,23～26岁,16,48.0,玩过《明日方舟》,50.0,False,没买过方舟正版周边，但买过其他ACG正版周边,100.0,2,能天使,维什戴尔,诗怀雅,能天使,通行证,3,50.0,淘宝/天猫,4,有收藏或凑套装的价值｜很喜欢这个角色｜价格合适,预售时间太长｜已经有很多同类周边｜价格比预期高,直接降价,45.0,20.0,4,画面或造型,是否为正版授权｜材质和工艺｜发货时间,两款都可以,角色和画面设计=1｜材质与做工=2｜正版授权=5｜实用性=4｜价格=3｜限定或收藏价值=6,希望实物图和细节展示更充分,希望包装在保护商品的同时不要过度增加体积和运费。,False,True,real_anonymous_survey_user_attested,ARK-SURVEY-20260903,Batch owner confirmed real responses; source TXT header was mislabeled.
REAL-ARK-SURVEY-20260903-016,REAL-ARK-SURVEY-20260903-016,,True,batch_owner_attestation,anonymous_questionnaire_batch,anonymous_batch_without_timing,,v2.2-paper-batch,tie,23～26岁,6,24.0,玩过《明日方舟》,200.0,True,买过《明日方舟》官方或正版授权周边,350.0,8,锏,幽灵鲨,浊心斯卡蒂,锏,手办模玩,3,1500.0,B站会员购,4,有收藏或凑套装的价值｜是限定、联名或活动纪念款｜画面或造型设计很好看,不确定买回来怎么摆或怎么用｜设计不太喜欢｜价格比预期高,不太在意促销，更看重商品本身,30.0,350.5,2,暂时没有特别吸引我的地方,是否为正版授权｜实物图和细节｜材质和工艺,两款都不太喜欢,角色和画面设计=2｜材质与做工=1｜正版授权=5｜实用性=4｜价格=3｜限定或收藏价值=6,-,-,False,True,real_anonymous_survey_user_attested,ARK-SURVEY-20260903,Batch owner confirmed real responses; source TXT header was mislabeled.
