operator,scenario,score,rank,in_top_k
Mon3tr,balanced,58.972048766,26.0,False
W,balanced,60.390625,23.0,False
予愿安洁莉娜,balanced,74.7222717811,7.0,True
令,balanced,61.1371722098,21.0,False
伊芙利特,balanced,22.6236208826,56.0,False
余,balanced,26.8952819903,54.0,False
佩佩,balanced,39.7291109129,42.0,False
凛御银灰,balanced,77.0467836257,4.0,True
凯尔希,balanced,64.46284378,18.0,False
凯尔希·思衡托,balanced,81.8859070935,3.0,True
史尔特尔,balanced,68.5421330349,13.0,False
司霆惊蛰,balanced,44.1748934483,37.0,False
塑心,balanced,41.051937754,40.0,False
塞雷娅,balanced,75.2761232811,6.0,True
夕,balanced,23.3805364567,55.0,False
夜莺,balanced,14.7625519667,60.0,False
娜斯提,balanced,37.4353751611,44.0,False
年,balanced,16.2756835625,59.0,False
幽灵鲨,balanced,48.1583786377,33.0,False
归溟幽灵鲨,balanced,53.2028446823,32.0,False
德克萨斯,balanced,60.1325151903,25.0,False
怒潮凛冬,balanced,28.3636138369,52.0,False
拉普兰德,balanced,41.6546410297,39.0,False
斩业星熊,balanced,60.3302606799,24.0,False
斯卡蒂,balanced,44.3165374161,36.0,False
新约能天使,balanced,94.5785467671,1.0,True
望,balanced,67.1196848052,14.0,False
棘刺,balanced,65.4880876239,15.0,False
死芒,balanced,58.1232034889,28.0,False
泥岩,balanced,58.6699512312,27.0,False
浊心斯卡蒂,balanced,71.3222537576,10.0,True
温蒂,balanced,44.8167173009,35.0,False
焰狐龙梓兰,balanced,71.5174943007,8.0,True
煌,balanced,28.9021026543,51.0,False
玛恩纳,balanced,69.0509074193,12.0,False
真言,balanced,54.3094954901,31.0,False
纯烬艾雅法拉,balanced,60.52998315,22.0,False
结城理,balanced,65.1361879274,17.0,False
维什戴尔,balanced,92.4998001279,2.0,True
维娜·维多利亚,balanced,62.0628407176,19.0,False
缄默德克萨斯,balanced,34.685746853,45.0,False
缇缇,balanced,33.613836852,46.0,False
缪尔赛思,balanced,40.7159936856,41.0,False
能天使,balanced,70.2621322354,11.0,False
艾雅法拉,balanced,27.1377318516,53.0,False
荒芜拉普兰德,balanced,61.9769695543,20.0,False
诗怀雅,balanced,29.5193076431,50.0,False
谬因,balanced,32.0887104768,48.0,False
贝洛内,balanced,42.2087917534,38.0,False
赤刃明霄陈,balanced,71.3806125483,9.0,True
逻各斯,balanced,65.2200591621,16.0,False
酒神,balanced,57.1347011597,29.0,False
重岳,balanced,56.2080979284,30.0,False
铃兰,balanced,31.3447393668,49.0,False
银灰,balanced,47.1101495043,34.0,False
锏,balanced,32.8112008315,47.0,False
阿米娅,balanced,76.1008954269,5.0,True
陈,balanced,18.0790294212,58.0,False
霍尔海雅,balanced,18.7365086345,57.0,False
黍,balanced,39.6332336324,43.0,False
Mon3tr,content_led,58.8075060533,25.0,False
W,content_led,60.390625,22.0,False
予愿安洁莉娜,content_led,81.6162227603,4.0,True
令,content_led,59.4100900424,24.0,False
伊芙利特,content_led,23.3388506356,54.0,False
余,content_led,31.2308313156,47.0,False
佩佩,content_led,32.1549636804,45.0,False
凛御银灰,content_led,74.880952381,7.0,True
凯尔希,content_led,65.7196769068,17.0,False
凯尔希·思衡托,content_led,86.479519774,3.0,True
史尔特尔,content_led,66.9359110169,16.0,False
司霆惊蛰,content_led,38.7691686844,41.0,False
塑心,content_led,34.991928975,43.0,False
塞雷娅,content_led,75.522378178,6.0,True
夕,content_led,22.2755561441,56.0,False
夜莺,content_led,15.4608050847,60.0,False
娜斯提,content_led,28.2788539144,49.0,False
年,content_led,15.8600370763,59.0,False
幽灵鲨,content_led,45.9666313559,35.0,False
归溟幽灵鲨,content_led,61.0330912026,21.0,False
德克萨斯,content_led,57.7873411017,27.0,False
怒潮凛冬,content_led,23.8216303471,52.0,False
拉普兰德,content_led,40.3992319915,40.0,False
斩业星熊,content_led,53.1275221953,29.0,False
斯卡蒂,content_led,43.352092161,37.0,False
新约能天使,content_led,95.3848870056,1.0,True
望,content_led,62.2851089588,20.0,False
棘刺,content_led,67.0736228814,15.0,False
死芒,content_led,52.096448749,30.0,False
泥岩,content_led,58.5573358051,26.0,False
浊心斯卡蒂,content_led,70.5250264831,11.0,False
温蒂,content_led,43.952595339,36.0,False
焰狐龙梓兰,content_led,70.4075867635,12.0,False
煌,content_led,27.5331038136,51.0,False
玛恩纳,content_led,69.3173993644,14.0,False
真言,content_led,49.2635189669,32.0,False
纯烬艾雅法拉,content_led,71.2671509282,10.0,True
结城理,content_led,59.7730024213,23.0,False
维什戴尔,content_led,92.2841631356,2.0,True
维娜·维多利亚,content_led,71.3942695722,9.0,True
缄默德克萨斯,content_led,41.6505246166,39.0,False
缇缇,content_led,23.0589184826,55.0,False
缪尔赛思,content_led,42.9588433773,38.0,False
能天使,content_led,69.4762976695,13.0,False
艾雅法拉,content_led,27.7019332627,50.0,False
荒芜拉普兰德,content_led,63.0967514124,19.0,False
诗怀雅,content_led,30.2873411017,48.0,False
谬因,content_led,23.6339790153,53.0,False
贝洛内,content_led,37.8369652946,42.0,False
赤刃明霄陈,content_led,74.7336561743,8.0,True
逻各斯,content_led,65.4488877119,18.0,False
酒神,content_led,46.107748184,34.0,False
重岳,content_led,57.4717514124,28.0,False
铃兰,content_led,31.8379237288,46.0,False
银灰,content_led,47.9164459746,33.0,False
锏,content_led,32.9329978814,44.0,False
阿米娅,content_led,76.0169491525,5.0,True
陈,content_led,17.4668961864,58.0,False
霍尔海雅,content_led,19.1810116525,57.0,False
黍,content_led,49.6547394852,31.0,False
Mon3tr,survey_led,59.0381355932,26.0,False
W,survey_led,60.390625,24.0,False
予愿安洁莉娜,survey_led,71.9533898305,13.0,False
令,survey_led,72.4865693099,11.0,False
伊芙利特,survey_led,17.9235396489,58.0,False
余,survey_led,25.1539548023,53.0,False
佩佩,survey_led,42.7711864407,40.0,False
凛御银灰,survey_led,77.9166666667,5.0,True
凯尔希,survey_led,56.203654661,30.0,False
凯尔希·思衡托,survey_led,81.7672316384,3.0,True
史尔特尔,survey_led,79.0973062954,4.0,True
司霆惊蛰,survey_led,46.3460451977,37.0,False
塑心,survey_led,43.4858757062,39.0,False
塞雷娅,survey_led,73.657876816,10.0,True
夕,survey_led,30.6418356538,50.0,False
夜莺,survey_led,10.174031477,60.0,False
娜斯提,survey_led,41.1129943503,43.0,False
年,survey_led,19.0070747579,57.0,False
幽灵鲨,survey_led,62.5612893462,20.0,False
归溟幽灵鲨,survey_led,50.0579096045,35.0,False
德克萨斯,survey_led,75.543659201,8.0,True
怒潮凛冬,survey_led,30.1878531073,51.0,False
拉普兰德,survey_led,49.9044718523,36.0,False
斩业星熊,survey_led,63.2231638418,19.0,False
斯卡蒂,survey_led,50.6543205206,33.0,False
新约能天使,survey_led,94.015819209,1.0,True
望,survey_led,69.061440678,15.0,False
棘刺,survey_led,55.0688559322,32.0,False
死芒,survey_led,60.5437853107,23.0,False
泥岩,survey_led,59.40999546,25.0,False
浊心斯卡蒂,survey_led,76.5611758475,7.0,True
温蒂,survey_led,50.4952330508,34.0,False
焰狐龙梓兰,survey_led,71.9632768362,12.0,False
煌,survey_led,37.8983807506,44.0,False
玛恩纳,survey_led,67.2996746368,16.0,False
真言,survey_led,56.3361581921,28.0,False
纯烬艾雅法拉,survey_led,56.2175141243,29.0,False
结城理,survey_led,67.2902542373,17.0,False
维什戴尔,survey_led,93.9168432203,2.0,True
维娜·维多利亚,survey_led,58.3149717514,27.0,False
缄默德克萨斯,survey_led,31.8884180791,48.0,False
缇缇,survey_led,37.8531073446,45.0,False
缪尔赛思,survey_led,41.2539822662,42.0,False
能天使,survey_led,75.426187954,9.0,True
艾雅法拉,survey_led,23.4301225787,55.0,False
荒芜拉普兰德,survey_led,62.1548022599,21.0,False
诗怀雅,survey_led,24.4722306295,54.0,False
谬因,survey_led,35.4844632768,46.0,False
贝洛内,survey_led,43.9646892655,38.0,False
赤刃明霄陈,survey_led,70.0338983051,14.0,False
逻各斯,survey_led,63.7163286925,18.0,False
酒神,survey_led,61.563559322,22.0,False
重岳,survey_led,55.7005649718,31.0,False
铃兰,survey_led,28.1038135593,52.0,False
银灰,survey_led,41.8116298426,41.0,False
锏,survey_led,32.0108202179,47.0,False
阿米娅,survey_led,76.6525423729,6.0,True
陈,survey_led,22.1016192494,56.0,False
霍尔海雅,survey_led,15.8154888015,59.0,False
黍,survey_led,31.432517263,49.0,False
Mon3tr,community_led,59.2687651332,24.0,False
W,community_led,60.390625,23.0,False
予愿安洁莉娜,community_led,62.2905569007,22.0,False
令,community_led,46.3336107748,36.0,False
伊芙利特,community_led,28.7541616223,52.0,False
余,community_led,19.0770782889,56.0,False
佩佩,community_led,53.387409201,31.0,False
凛御银灰,community_led,80.9523809524,4.0,True
凯尔希,community_led,75.2356991525,10.0,True
凯尔希·思衡托,community_led,83.011299435,3.0,True
史尔特尔,community_led,54.7745157385,26.0,False
司霆惊蛰,community_led,53.9229217111,30.0,False
塑心,community_led,51.9798224374,33.0,False
塞雷娅,community_led,77.38687954,6.0,True
夕,community_led,13.9092766344,58.0,False
夜莺,community_led,20.7475786925,55.0,False
娜斯提,community_led,53.9471347861,28.0,False
年,community_led,12.7129993947,60.0,False
幽灵鲨,community_led,29.3719733656,51.0,False
归溟幽灵鲨,community_led,39.0827280065,40.0,False
德克萨斯,community_led,40.0310230024,39.0,False
怒潮凛冬,community_led,36.5540758676,42.0,False
拉普兰德,community_led,30.8939921308,49.0,False
斩业星熊,community_led,73.3188054883,13.0,False
斯卡蒂,community_led,36.0498638015,44.0,False
新约能天使,community_led,91.5247175141,1.0,True
望,community_led,75.8377723971,8.0,True
棘刺,community_led,79.0783898305,5.0,True
死芒,community_led,68.9911218725,15.0,False
泥岩,community_led,57.7046761501,25.0,False
浊心斯卡蒂,community_led,64.4888771186,18.0,False
温蒂,community_led,37.4099576271,41.0,False
焰狐龙梓兰,community_led,73.5189669088,12.0,False
煌,community_led,17.1678268765,57.0,False
玛恩纳,community_led,71.335124092,14.0,False
真言,community_led,63.4087974173,21.0,False
纯烬艾雅法拉,community_led,41.1678773204,38.0,False
结城理,community_led,74.8075060533,11.0,False
维什戴尔,community_led,90.6514830508,2.0,True
维娜·维多利亚,community_led,45.2356739306,37.0,False
缄默德克萨斯,community_led,22.1263115416,54.0,False
缇缇,community_led,52.6472962066,32.0,False
缪尔赛思,community_led,35.1019695543,46.0,False
能天使,community_led,63.526407385,19.0,False
艾雅法拉,community_led,31.9737439467,48.0,False
荒芜拉普兰德,community_led,63.4918785311,20.0,False
诗怀雅,community_led,36.1024515738,43.0,False
谬因,community_led,47.3349475383,35.0,False
贝洛内,community_led,50.0924132365,34.0,False
赤刃明霄陈,community_led,65.3341404358,17.0,False
逻各斯,community_led,67.1814467312,16.0,False
酒神,community_led,77.01937046,7.0,True
重岳,community_led,53.9293785311,29.0,False
铃兰,community_led,35.5720338983,45.0,False
银灰,community_led,54.0212621065,27.0,False
锏,community_led,33.8551755448,47.0,False
阿米娅,community_led,75.3813559322,9.0,True
陈,community_led,12.8321731235,59.0,False
霍尔海雅,community_led,22.5465345036,53.0,False
黍,community_led,30.3590709353,50.0,False
Mon3tr,commerce_led,58.9612590799,25.0,False
W,commerce_led,60.390625,23.0,False
予愿安洁莉娜,commerce_led,75.1743341404,5.0,True
令,commerce_led,63.7689164649,17.0,False
伊芙利特,commerce_led,21.5337469734,56.0,False
余,commerce_led,27.1795803067,53.0,False
佩佩,commerce_led,39.2324455206,42.0,False
凛御银灰,commerce_led,76.9047619048,3.0,True
凯尔希,commerce_led,62.5476694915,21.0,False
凯尔希·思衡托,commerce_led,67.6617231638,13.0,False
史尔特尔,commerce_led,70.9897094431,11.0,False
司霆惊蛰,commerce_led,43.8204196933,37.0,False
塑心,commerce_led,40.6545601291,41.0,False
塞雷娅,commerce_led,74.900877724,6.0,True
夕,commerce_led,25.0643159806,55.0,False
夜莺,commerce_led,13.6985472155,60.0,False
娜斯提,commerce_led,36.8349475383,44.0,False
年,commerce_led,16.9090496368,59.0,False
幽灵鲨,commerce_led,51.4981840194,33.0,False
归溟幽灵鲨,commerce_led,53.7163034705,32.0,False
德克萨斯,commerce_led,63.7061138015,18.0,False
怒潮凛冬,commerce_led,28.0657788539,52.0,False
拉普兰德,commerce_led,43.5676452785,38.0,False
斩业星熊,commerce_led,59.8579499596,24.0,False
斯卡蒂,commerce_led,45.7861682809,36.0,False
新约能天使,commerce_led,97.0490819209,1.0,True
望,commerce_led,66.8026634383,14.0,False
棘刺,commerce_led,63.0720338983,19.0,False
死芒,commerce_led,57.7280064568,27.0,False
泥岩,commerce_led,58.8415556901,26.0,False
浊心斯卡蒂,commerce_led,72.5370762712,7.0,True
温蒂,commerce_led,46.1334745763,34.0,False
焰狐龙梓兰,commerce_led,71.4447134786,10.0,True
煌,commerce_led,30.9881961259,49.0,False
玛恩纳,commerce_led,68.6448244552,12.0,False
真言,commerce_led,53.9786117837,31.0,False
纯烬艾雅法拉,commerce_led,61.2340597256,22.0,False
结城理,commerce_led,64.784503632,16.0,False
维什戴尔,commerce_led,92.8283898305,2.0,True
维娜·维多利亚,commerce_led,62.6747376917,20.0,False
缄默德克萨斯,commerce_led,35.1424535916,45.0,False
缇缇,commerce_led,32.9217110573,46.0,False
缪尔赛思,commerce_led,41.0451335388,40.0,False
能天使,commerce_led,71.459594431,9.0,True
艾雅法拉,commerce_led,26.277996368,54.0,False
荒芜拉普兰德,commerce_led,56.614230226,28.0,False
诗怀雅,commerce_led,28.3489709443,51.0,False
谬因,commerce_led,31.5343018563,48.0,False
贝洛内,commerce_led,41.9221146086,39.0,False
赤刃明霄陈,commerce_led,71.6004842615,8.0,True
逻各斯,commerce_led,64.8713680387,15.0,False
酒神,commerce_led,56.411622276,29.0,False
重岳,commerce_led,56.290960452,30.0,False
铃兰,commerce_led,30.593220339,50.0,False
银灰,commerce_led,45.8815072639,35.0,False
锏,commerce_led,32.6256053269,47.0,False
阿米娅,commerce_led,76.2288135593,4.0,True
陈,commerce_led,19.0118038741,57.0,False
霍尔海雅,commerce_led,18.0591707022,58.0,False
黍,commerce_led,39.0005136107,43.0,False
Mon3tr,without_content,59.5762711864,31.0,False
W,without_content,60.390625,28.0,False
予愿安洁莉娜,without_content,49.406779661,36.0,False
令,without_content,61.1371722098,27.0,False
伊芙利特,without_content,22.6236208826,52.0,False
余,without_content,10.9745762712,59.0,False
佩佩,without_content,67.5423728814,20.0,False
凛御银灰,without_content,85.0,5.0,True
凯尔希,without_content,64.46284378,23.0,False
凯尔希·思衡托,without_content,71.9279661017,14.0,False
史尔特尔,without_content,68.5421330349,19.0,False
司霆惊蛰,without_content,64.0254237288,24.0,False
塑心,without_content,63.3050847458,25.0,False
塞雷娅,without_content,75.2761232811,11.0,False
夕,without_content,23.3805364567,51.0,False
夜莺,without_content,14.7625519667,58.0,False
娜斯提,without_content,71.0593220339,16.0,False
年,without_content,16.2756835625,57.0,False
幽灵鲨,without_content,48.1583786377,37.0,False
归溟幽灵鲨,without_content,24.4491525424,50.0,False
德克萨斯,without_content,60.1325151903,29.0,False
怒潮凛冬,without_content,45.0423728814,39.0,False
拉普兰德,without_content,41.6546410297,42.0,False
斩业星熊,without_content,86.7796610169,4.0,True
斯卡蒂,without_content,44.3165374161,41.0,False
新约能天使,without_content,92.1080508475,3.0,True
望,without_content,84.8728813559,6.0,True
棘刺,without_content,65.4880876239,21.0,False
死芒,without_content,80.2542372881,8.0,True
泥岩,without_content,58.6699512312,33.0,False
浊心斯卡蒂,without_content,71.3222537576,15.0,False
温蒂,without_content,44.8167173009,40.0,False
焰狐龙梓兰,without_content,75.593220339,10.0,True
煌,without_content,28.9021026543,47.0,False
玛恩纳,without_content,69.0509074193,18.0,False
真言,without_content,72.8389830508,12.0,False
纯烬艾雅法拉,without_content,21.1016949153,53.0,False
结城理,without_content,84.8305084746,7.0,True
维什戴尔,without_content,92.4998001279,2.0,True
维娜·维多利亚,without_content,27.7966101695,48.0,False
缄默德克萨斯,without_content,9.1101694915,60.0,False
缇缇,without_content,72.3728813559,13.0,False
缪尔赛思,without_content,35.5130716342,43.0,False
能天使,without_content,70.2621322354,17.0,False
艾雅法拉,without_content,27.1377318516,49.0,False
荒芜拉普兰德,without_content,59.8252118644,30.0,False
诗怀雅,without_content,29.5193076431,46.0,False
谬因,without_content,63.1355932203,26.0,False
贝洛内,without_content,58.2627118644,34.0,False
赤刃明霄陈,without_content,59.0677966102,32.0,False
逻各斯,without_content,65.2200591621,22.0,False
酒神,without_content,97.6271186441,1.0,True
重岳,without_content,51.5677966102,35.0,False
铃兰,without_content,31.3447393668,45.0,False
银灰,without_content,47.1101495043,38.0,False
锏,without_content,32.8112008315,44.0,False
阿米娅,without_content,76.1008954269,9.0,True
陈,without_content,18.0790294212,56.0,False
霍尔海雅,without_content,18.7365086345,54.0,False
黍,without_content,18.4809721778,55.0,False
Mon3tr,without_survey,58.972048766,21.0,False
W,without_survey,,,False
予愿安洁莉娜,without_survey,74.7222717811,8.0,True
令,without_survey,28.8983050847,46.0,False
伊芙利特,without_survey,35.9745762712,41.0,False
余,without_survey,26.8952819903,51.0,False
佩佩,without_survey,39.7291109129,36.0,False
凛御银灰,without_survey,77.0467836257,7.0,True
凯尔希,without_survey,87.9237288136,4.0,True
凯尔希·思衡托,without_survey,81.8859070935,5.0,True
