operator,best_rank,worst_rank,perturb_top_k_share,baseline_rank,evidence_sources,rank_range,next_action
新约能天使,1.0,3.0,1.0,1.0,3,2.0,可优先评审；仍需商品意向与供给验证
维什戴尔,2.0,3.0,1.0,2.0,2,1.0,补充缺失来源，勿将少量来源当成多源共识
凯尔希·思衡托,3.0,14.0,1.0,3.0,3,11.0,对换权重或去源敏感，先比较分源证据
凛御银灰,3.0,17.0,1.0,4.0,2,14.0,补充缺失来源，勿将少量来源当成多源共识
阿米娅,4.0,14.0,1.0,5.0,2,10.0,补充缺失来源，勿将少量来源当成多源共识
塞雷娅,5.0,16.0,1.0,6.0,2,11.0,补充缺失来源，勿将少量来源当成多源共识
予愿安洁莉娜,4.0,36.0,1.0,7.0,2,32.0,补充缺失来源，勿将少量来源当成多源共识
焰狐龙梓兰,7.0,18.0,0.835,8.0,2,11.0,补充缺失来源，勿将少量来源当成多源共识
赤刃明霄陈,8.0,32.0,0.895,9.0,2,24.0,补充缺失来源，勿将少量来源当成多源共识
浊心斯卡蒂,7.0,25.0,0.895,10.0,2,18.0,补充缺失来源，勿将少量来源当成多源共识
能天使,9.0,27.0,0.2,11.0,2,18.0,补充缺失来源，勿将少量来源当成多源共识
玛恩纳,10.0,19.0,0.08,12.0,2,9.0,补充缺失来源，勿将少量来源当成多源共识
史尔特尔,4.0,38.0,0.055,13.0,2,34.0,补充缺失来源，勿将少量来源当成多源共识
望,6.0,30.0,0.015,14.0,2,24.0,补充缺失来源，勿将少量来源当成多源共识
棘刺,1.0,41.0,0.025,15.0,2,40.0,补充缺失来源，勿将少量来源当成多源共识
逻各斯,13.0,22.0,0.0,16.0,2,9.0,补充缺失来源，勿将少量来源当成多源共识
结城理,7.0,32.0,0.0,17.0,2,25.0,补充缺失来源，勿将少量来源当成多源共识
凯尔希,4.0,35.0,0.0,18.0,2,31.0,补充缺失来源，勿将少量来源当成多源共识
维娜·维多利亚,8.0,48.0,0.0,19.0,2,40.0,补充缺失来源，勿将少量来源当成多源共识
荒芜拉普兰德,18.0,30.0,0.0,20.0,3,12.0,对换权重或去源敏感，先比较分源证据
令,7.0,46.0,0.0,21.0,2,39.0,补充缺失来源，勿将少量来源当成多源共识
纯烬艾雅法拉,6.0,53.0,0.0,22.0,2,47.0,补充缺失来源，勿将少量来源当成多源共识
W,21.0,28.0,0.0,23.0,1,7.0,补充缺失来源，勿将少量来源当成多源共识
斩业星熊,4.0,39.0,0.0,24.0,2,35.0,补充缺失来源，勿将少量来源当成多源共识
德克萨斯,1.0,54.0,0.0,25.0,2,53.0,补充缺失来源，勿将少量来源当成多源共识
Mon3tr,21.0,31.0,0.0,26.0,2,10.0,补充缺失来源，勿将少量来源当成多源共识
泥岩,22.0,33.0,0.0,27.0,2,11.0,补充缺失来源，勿将少量来源当成多源共识
死芒,8.0,37.0,0.0,28.0,2,29.0,补充缺失来源，勿将少量来源当成多源共识
酒神,1.0,47.0,0.0,29.0,2,46.0,补充缺失来源，勿将少量来源当成多源共识
重岳,26.0,35.0,0.0,30.0,2,9.0,补充缺失来源，勿将少量来源当成多源共识
真言,12.0,38.0,0.0,31.0,2,26.0,补充缺失来源，勿将少量来源当成多源共识
归溟幽灵鲨,15.0,50.0,0.0,32.0,2,35.0,补充缺失来源，勿将少量来源当成多源共识
幽灵鲨,9.0,56.0,0.0,33.0,2,47.0,补充缺失来源，勿将少量来源当成多源共识
银灰,16.0,42.0,0.0,34.0,2,26.0,补充缺失来源，勿将少量来源当成多源共识
温蒂,27.0,47.0,0.0,35.0,2,20.0,补充缺失来源，勿将少量来源当成多源共识
斯卡蒂,23.0,52.0,0.0,36.0,2,29.0,补充缺失来源，勿将少量来源当成多源共识
司霆惊蛰,24.0,45.0,0.0,37.0,2,21.0,补充缺失来源，勿将少量来源当成多源共识
贝洛内,33.0,44.0,0.0,38.0,2,11.0,补充缺失来源，勿将少量来源当成多源共识
拉普兰德,20.0,53.0,0.0,39.0,2,33.0,补充缺失来源，勿将少量来源当成多源共识
塑心,25.0,48.0,0.0,40.0,2,23.0,补充缺失来源，勿将少量来源当成多源共识
缪尔赛思,34.0,46.0,0.0,41.0,3,12.0,对换权重或去源敏感，先比较分源证据
佩佩,20.0,51.0,0.0,42.0,2,31.0,补充缺失来源，勿将少量来源当成多源共识
黍,30.0,55.0,0.0,43.0,3,25.0,对换权重或去源敏感，先比较分源证据
娜斯提,16.0,56.0,0.0,44.0,2,40.0,补充缺失来源，勿将少量来源当成多源共识
缄默德克萨斯,29.0,60.0,0.0,45.0,2,31.0,补充缺失来源，勿将少量来源当成多源共识
缇缇,13.0,59.0,0.0,46.0,2,46.0,补充缺失来源，勿将少量来源当成多源共识
锏,42.0,48.0,0.0,47.0,2,6.0,补充缺失来源，勿将少量来源当成多源共识
谬因,26.0,58.0,0.0,48.0,2,32.0,补充缺失来源，勿将少量来源当成多源共识
铃兰,35.0,52.0,0.0,49.0,2,17.0,补充缺失来源，勿将少量来源当成多源共识
诗怀雅,32.0,54.0,0.0,50.0,2,22.0,补充缺失来源，勿将少量来源当成多源共识
煌,31.0,58.0,0.0,51.0,2,27.0,补充缺失来源，勿将少量来源当成多源共识
怒潮凛冬,39.0,54.0,0.0,52.0,2,15.0,补充缺失来源，勿将少量来源当成多源共识
艾雅法拉,39.0,55.0,0.0,53.0,2,16.0,补充缺失来源，勿将少量来源当成多源共识
余,40.0,59.0,0.0,54.0,2,19.0,补充缺失来源，勿将少量来源当成多源共识
夕,36.0,59.0,0.0,55.0,2,23.0,补充缺失来源，勿将少量来源当成多源共识
伊芙利特,41.0,58.0,0.0,56.0,2,17.0,补充缺失来源，勿将少量来源当成多源共识
霍尔海雅,50.0,59.0,0.0,57.0,2,9.0,补充缺失来源，勿将少量来源当成多源共识
陈,46.0,59.0,0.0,58.0,2,13.0,补充缺失来源，勿将少量来源当成多源共识
年,49.0,60.0,0.0,59.0,2,11.0,补充缺失来源，勿将少量来源当成多源共识
夜莺,49.0,60.0,0.0,60.0,2,11.0,补充缺失来源，勿将少量来源当成多源共识
